fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st,E,N,cl,osm_near
9093,CRT Seasonal,56.4,23.2,56.418773,23.246161,CRT Seasonal,Agricultural,4.0,EXisting,440542.821359992,2570889.169379476,-1,
9094,CRT Time of Use,56.4,23.2,56.418773,23.246161,CRT Seasonal,Agricultural,4.0,EXisting,440542.821359992,2570889.169379476,-1,
9114,CRT Time of Use,56.5,23.2,56.454892,23.22112,CRT Time of Use,Residential-Commercial,2.0,EXisting,444227.3246965952,2568102.63440157,81,D Building [building=yes] 5m | Hostel [amenity=parking] 12m | Hostel Gards [building=yes] 41m
9115,CRT Time of Use,56.5,23.2,56.454892,23.22112,CRT Time of Use,Residential-Commercial,2.0,EXisting,444227.3246965952,2568102.63440157,81,D Building [building=yes] 5m | Hostel [amenity=parking] 12m | Hostel Gards [building=yes] 41m
9116,CRT Time of Use,56.5,23.2,56.454892,23.22112,CRT Time of Use,Residential-Commercial,2.0,EXisting,444227.3246965952,2568102.63440157,81,D Building [building=yes] 5m | Hostel [amenity=parking] 12m | Hostel Gards [building=yes] 41m
9117,CRT Time of Use,56.5,23.2,56.454892,23.22112,CRT Time of Use,Residential-Commercial,2.0,EXisting,444227.3246965952,2568102.63440157,81,D Building [building=yes] 5m | Hostel [amenity=parking] 12m | Hostel Gards [building=yes] 41m
9118,CRT Time of Use,56.5,23.2,56.454892,23.22112,CRT Time of Use,Residential-Commercial,2.0,EXisting,444227.3246965952,2568102.63440157,81,D Building [building=yes] 5m | Hostel [amenity=parking] 12m | Hostel Gards [building=yes] 41m
9230,CRT Seasonal,56.5,23.2,56.495041,23.216813,CRT Seasonal,Residential,0.0,EXisting,448333.58595136297,2567610.982274305,139,Al-huad Pharmacy [amenity=pharmacy;healthcare=pharmacy] 27m
9286,CRT Time of Use,56.5,23.2,56.48747,23.217121,CRT Time of Use,Residential,0.0,EXisting,447559.0420969256,2567647.7913059234,-1,رمال الظاهرة لغسيل السيارات [amenity=car_wash] 35m | الربيع للحلاقة [shop=hairdresser] 46m | أحلام الواعدة للمواد الغذائية [shop=yes] 49m
9309,CRT Seasonal,56.5,23.2,56.491746,23.217225,CRT Seasonal,Residential-Commercial,2.0,EXisting,447996.6014030984,2567657.7682348345,138,المنظري للتصوير [craft=photographer] 20m | Ibri Opticals [shop=optician] 29m | Muscat Pharmacy - Ibri branch [amenity=pharmacy;healthcare=pharmacy] 47m
9311,CRT Time of Use,56.5,23.2,56.49034,23.217784,CRT Time of Use,Residential-Commercial,2.0,EXisting,447852.9570534807,2567720.156569018,137,Makkah Hypermarket [shop=supermarket] 65m | ? [amenity=atm] 73m | Time Zone [shop=watches] 77m
9389,CRT Time of Use,56.4,23.2,56.44256,23.224416,Commercial,Residential,0.0,EXisting,442966.9497810245,2568472.309734947,-1,
9778,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9779,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9780,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9781,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9782,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9783,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9784,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9785,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9786,CRT Seasonal,56.5,23.2,56.458512,23.216572,CRT Seasonal,Residential,0.0,EXisting,444595.8363252295,2567597.757742852,78,Chicking [amenity=fast_food] 13m | Star Cinema [amenity=cinema] 31m | ? [amenity=food_court] 33m
9787,CRT Seasonal,56.5,23.2,56.45849,23.216694,CRT Seasonal,Residential,0.0,EXisting,444593.63559646544,2567611.2722836924,78,Chicking [amenity=fast_food] 9m | ? [amenity=food_court] 24m | Deli Pizza [amenity=fast_food] 29m
9788,CRT Seasonal,56.5,23.2,56.45849,23.216694,CRT Seasonal,Residential,0.0,EXisting,444593.63559646544,2567611.2722836924,78,Chicking [amenity=fast_food] 9m | ? [amenity=food_court] 24m | Deli Pizza [amenity=fast_food] 29m
9790,CRT Seasonal,56.4,23.2,56.446459,23.221626,CRT Seasonal,Residential,0.0,EXisting,443364.6979753776,2568161.913627804,-1,chamber of commerce and industry oman [building=yes] 21m | Directorate General Of Manpower [building=yes] 76m
10080,CRT Time of Use,56.5,23.2,56.487773,23.21571,Commercial,Residential-Commercial,2.0,EXisting,447589.4944552306,2567491.4761001123,-1,New Al Yahar Yemeni Restaurant [amenity=restaurant] 6m | Al Laith Pastries & Sweets [shop=pastry] 6m | Burthukal Juices [amenity=fast_food] 20m
