PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P01375,C02,secondary main sewer,lateral,200,173.7,0.5,0.429,0.284,0.832,8.9,below Mara's slope
P01376,C02,secondary main sewer,lateral,200,25.1,1.15,0.19,0.291,1.209,2.4,below Mara's slope
P01377,C02,secondary main sewer,lateral,200,289.2,0.5,0.542,0.305,0.746,3.3,below Mara's slope
P01379,C16,secondary main sewer,lateral,200,40.0,0.5,0.18,0.214,1.242,0.9,below Mara's slope
P01380,C16,secondary main sewer,lateral,200,48.0,0.5,0.085,0.167,1.756,0.8,below Mara's slope
P01381,C02,secondary main sewer,lateral,200,49.1,0.5,0.086,0.168,1.742,0.6,below Mara's slope
P01382,C02,secondary main sewer,lateral,200,84.2,0.5,0.484,0.295,0.787,2.7,below Mara's slope
P01383,C02,secondary main sewer,lateral,200,22.9,0.7,0.087,0.189,1.737,0.6,below Mara's slope
P01384,C16,secondary main sewer,lateral,200,47.3,0.5,0.083,0.166,1.774,0.8,below Mara's slope
P01385,C16,secondary main sewer,lateral,200,57.3,0.5,0.036,0.125,2.596,0.2,below Mara's slope
P01386,C02,secondary main sewer,lateral,200,56.4,0.5,0.151,0.202,1.346,1.6,below Mara's slope
P01387,C16,secondary main sewer,lateral,200,28.3,0.5,0.15,0.202,1.351,0.0,below Mara's slope
P01390,C08,secondary header,sub main,200,87.7,0.5,0.128,0.192,1.449,1.7,below Mara's slope
P01391,C08,secondary main sewer,lateral,200,80.4,0.95,0.113,0.229,1.539,1.4,below Mara's slope
P01392,C08,secondary header,sub main,200,42.9,0.5,0.196,0.22,1.193,3.7,below Mara's slope
P01395,C02,secondary main sewer,lateral,200,147.5,0.5,0.577,0.312,0.725,12.1,below Mara's slope
P01396,C08,secondary main sewer,lateral,200,84.2,0.5,0.145,0.2,1.371,2.2,below Mara's slope
P01397,C01,secondary header,sub main,200,205.4,0.5,0.416,0.281,0.844,8.4,below Mara's slope
P01399,C08,secondary main sewer,lateral,200,53.7,0.5,0.077,0.162,1.837,0.7,below Mara's slope
P01401,C01,secondary main sewer,lateral,200,131.6,0.85,0.072,0.189,1.893,0.4,below Mara's slope
P01403,C02,secondary main sewer,lateral,200,43.5,1.3,0.056,0.201,2.127,0.2,below Mara's slope
P01404,C01,secondary header,sub main,200,106.0,0.5,0.658,0.325,0.682,14.9,below Mara's slope
P01409,C02,secondary header,sub main,200,214.0,0.85,0.395,0.332,0.864,7.7,below Mara's slope
P01410,C02,secondary main sewer,lateral,200,174.6,0.5,0.589,0.314,0.718,14.1,below Mara's slope
P01411,C02,secondary main sewer,lateral,200,149.9,0.5,0.682,0.328,0.672,15.7,below Mara's slope
P01413,C08,secondary header,sub main,200,242.2,0.5,0.048,0.137,2.293,0.3,below Mara's slope
P01414,C01,secondary main sewer,lateral,200,98.9,0.5,0.159,0.206,1.313,1.5,below Mara's slope
P01415,C02,secondary main sewer,lateral,200,185.4,0.5,0.111,0.183,1.55,0.9,below Mara's slope
P01416,C08,secondary main sewer,lateral,200,88.3,0.5,0.081,0.165,1.791,0.8,below Mara's slope
P01417,C08,secondary header,sub main,200,115.9,0.5,0.113,0.184,1.54,1.4,below Mara's slope
P01418,C02,secondary main sewer,lateral,200,80.8,0.5,0.42,0.282,0.84,7.3,below Mara's slope
P01419,C01,secondary main sewer,lateral,200,74.7,0.5,0.294,0.251,0.99,4.6,below Mara's slope
P01420,C24,secondary main sewer,lateral,200,8.0,0.5,0.0,0.0,,0.0,no flow in 2030
P01421,C01,secondary header,sub main,200,117.7,0.5,0.202,0.222,1.178,2.6,below Mara's slope
P01422,C01,secondary header,sub main,200,302.8,0.5,0.0,0.0,,0.0,no flow in 2030
P01423,C24,secondary main sewer,lateral,200,70.4,0.5,0.0,0.0,,0.0,no flow in 2030
P01426,C02,secondary main sewer,lateral,200,39.8,0.5,0.363,0.269,0.898,6.8,below Mara's slope
P01429,C01,secondary main sewer,lateral,200,125.6,0.5,0.157,0.205,1.321,1.5,below Mara's slope
P01432,C20,secondary main sewer,lateral,200,227.3,0.5,0.069,0.155,1.935,0.6,below Mara's slope
P01433,C02,secondary main sewer,lateral,200,74.4,1.0,0.135,0.247,1.415,1.2,below Mara's slope
P01435,C01,secondary header,sub main,200,73.7,0.5,0.517,0.301,0.763,11.5,below Mara's slope
P01436,C01,secondary header,sub main,200,122.9,0.5,0.486,0.295,0.785,10.6,below Mara's slope
P01437,C02,secondary main sewer,lateral,200,43.2,0.5,0.499,0.298,0.775,8.0,below Mara's slope
P01438,C02,secondary header,sub main,200,71.9,0.5,0.54,0.305,0.748,9.2,below Mara's slope
P01439,C01,secondary main sewer,lateral,200,115.0,0.5,0.395,0.276,0.864,7.2,below Mara's slope
P01440,C01,secondary header,sub main,200,79.5,0.5,0.578,0.312,0.725,12.9,below Mara's slope
