fid,NDVI_MEAN,NDVI_SHARE,GREEN_M2,NDVI_PX
820,0.085,0.0,0.0,17
821,0.077,0.0,0.0,17
822,0.075,0.0,0.0,16
823,0.078,0.0,0.0,16
824,0.08,0.0,0.0,16
825,0.074,0.0,0.0,16
826,0.076,0.0,0.0,17
827,0.073,0.0,0.0,16
828,0.076,0.0,0.0,17
829,0.076,0.0,0.0,18
830,0.081,0.0,0.0,17
831,0.078,0.0,0.0,14
832,0.083,0.0,0.0,16
833,0.078,0.0,0.0,17
834,0.08,0.0,0.0,16
835,0.078,0.0,0.0,17
836,0.083,0.0,0.0,17
837,0.058,0.0,0.0,15
838,0.062,0.0,0.0,17
839,0.058,0.0,0.0,15
840,0.061,0.0,0.0,16
841,0.058,0.0,0.0,18
842,0.053,0.0,0.0,17
843,0.066,0.0,0.0,16
844,0.06,0.0,0.0,16
845,0.055,0.0,0.0,17
846,0.054,0.0,0.0,14
847,0.044,0.0,0.0,17
848,0.04,0.0,0.0,17
849,0.035,0.0,0.0,16
850,-0.01,0.0,0.0,17
851,0.057,0.0,0.0,15
852,0.065,0.0,0.0,14
853,0.072,0.0,0.0,17
854,0.071,0.0,0.0,17
855,0.076,0.0,0.0,17
856,0.077,0.0,0.0,16
