NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N007273,S014,12.03,N007524,1434.1,N007564,S006,102.0,13.54,0
N002135,S002,12.02,N003536,6308.2,N003486,S031,200.3,12.91,0
N002384,S004,12.0,N001038,3025.2,N000999,S156,85.0,12.52,0
N008731,S012,12.0,N008125,3224.8,N008145,S104,63.1,12.22,0
N001471,S021,11.98,N001886,1207.9,N001826,S040,222.7,12.04,0
N006340,S010,11.98,N005516,3795.0,N005669,S141,298.8,14.73,0
N008779,S013,11.98,N007765,4385.8,N007736,S006,161.9,13.72,0
N006811,S037,11.96,N006903,1548.6,N006852,S029,253.7,14.3,0
N008807,S013,11.96,N007765,4812.4,N007736,S006,161.9,13.7,0
N006639,S029,11.95,N006735,289.6,N006812,S037,411.4,13.7,0
N006965,S035,11.95,N007077,1325.8,N007007,S037,417.4,12.68,0
N007798,S006,11.95,N007488,2642.6,N007474,S170,75.7,11.23,0
