NODE,SUBNET,WAS_M,DIVERT_AT,DIVERT_DOWN_M,TO_NODE,TO_SUBNET,EXTRA_M,DEF_M,RESCUED
N008661,S012,13.8,N008125,2956.7,N008145,S104,63.1,14.02,0
N008633,S012,13.78,N008125,3304.0,N008145,S104,63.1,14.0,0
N006420,S010,13.76,N005516,4514.3,N005669,S141,298.8,16.51,0
N008618,S012,13.76,N008125,3247.2,N008145,S104,63.1,13.98,0
N008834,S012,13.76,N008125,3698.7,N008145,S104,63.1,13.98,0
N008901,S012,13.76,N008125,4301.0,N008145,S104,63.1,13.98,0
N007833,S006,13.75,N007488,3096.8,N007474,S170,75.7,13.03,0
N007331,S001,13.72,N005298,9875.9,N004766,S002,1536.5,14.59,0
N002821,S011,13.7,N001615,2338.1,N001264,S004,586.3,12.34,0
N002378,S003,13.68,N003270,1942.7,N003298,S160,116.2,13.85,0
N008640,S013,13.68,N007765,4581.9,N007736,S006,161.9,15.41,0
N002449,S003,13.67,N003270,2837.4,N003298,S160,116.2,13.83,0
N006397,S001,13.67,N005298,6471.9,N004766,S002,1536.5,14.54,0
N008582,S013,13.67,N007765,4325.0,N007736,S006,161.9,15.41,0
N008802,S017,13.67,N008055,4050.7,N008094,S104,80.1,14.17,0
N008590,S012,13.66,N008125,2780.6,N008145,S104,63.1,13.88,0
N001065,S007,13.65,N001225,302.8,N001502,S043,489.5,11.36,0
N001491,S004,13.65,N001038,2601.9,N000999,S156,85.0,14.16,0
N006528,S001,13.65,N005298,6828.0,N004766,S002,1536.5,14.52,0
N007716,S006,13.65,N007488,2583.8,N007474,S170,75.7,12.93,0
N002865,S003,13.64,N003270,3287.3,N003298,S160,116.2,13.8,0
N005222,S001,13.64,N005298,4930.0,N004766,S002,1536.5,14.51,0
N005258,S001,13.64,N005298,4179.7,N004766,S002,1536.5,14.51,0
N008987,S027,13.64,N009060,2068.5,N009068,S108,105.7,14.38,0
N007227,S014,13.63,N007524,2155.2,N007564,S006,102.0,15.14,0
N001426,S021,13.62,N001886,1441.4,N001826,S040,222.7,13.67,0
N001472,S004,13.62,N001038,2484.5,N000999,S156,85.0,14.14,0
N008922,S012,13.62,N008922,0.0,N008996,S027,445.4,11.28,0
N001347,S021,13.6,N001886,1184.4,N001826,S040,222.7,13.65,0
N007242,S014,13.59,N007524,2070.2,N007564,S006,102.0,15.1,0
N006499,S001,13.57,N005298,6872.1,N004766,S002,1536.5,14.44,0
N008844,S012,13.57,N008125,3773.3,N008145,S104,63.1,13.79,0
N000715,S009,13.56,N000715,0.0,N000845,S021,355.0,26.97,0
N006494,S001,13.56,N005298,6745.0,N004766,S002,1536.5,14.43,0
N007745,S006,13.56,N007488,2687.1,N007474,S170,75.7,12.84,0
