tree,arcs,km,uphill_pct,uphill_pct_all,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,weight
"A naive shortest-path tree, LENGTH only",9550,1270.9650372801152,46.62447648381989,33.133975567330054,592.5807949242401,3776.441864013672,4960.472320556641,2.971318449558074,0.7613069119171897,20.725128173828125,193,2265.7550000000006,7170.118899999999,13661.927000000001,38.64507982457602,90.98666747070313,3845,1254,9743,1270965.0372801153
"B optimum branching, LENGTH only",9550,1064.903036297286,47.63223990448445,28.362012587012593,507.2371689992624,3561.551483154297,4399.145111083984,3.344484297404171,0.8096008186183025,20.725128173828125,193,3751.0859999999993,12826.463929055555,18862.546000000002,55.02299172896627,117.01368825195311,5460,1223,9743,1064903.036297286
"C shortest-path tree, slope-weighted",9550,1280.9579538396995,41.94439391025689,30.042410319747013,537.2900499832903,3271.2351989746094,5266.193756103516,2.5537412755578823,0.6211763847813707,20.725128173828125,193,2345.6850000000004,7282.961202678688,13684.181,36.76788004785156,90.98666747070313,3082,939,9743,3320584.0596911013
"D optimum branching, slope-weighted",9550,1153.8404560368042,28.564472520284323,18.428837740824783,329.5884399925563,1995.6031188964844,6326.895812988281,1.7295312436443382,0.3154158339070125,20.725128173828125,193,5423.902999999999,17377.55862895802,22384.221999999998,59.24596440625001,96.97712325195313,5615,613,9743,2599204.541259875
"E optimum branching, slope + detour  <- SHIPPED",9550,1146.5334866100786,35.92223526690673,23.029052609951094,411.8604564739411,2441.8771362304688,5730.371734619141,2.1297913796223207,0.4261289230990464,20.725128173828125,193,2724.134,8978.0484,15075.324,46.42483015722656,95.48372325195314,3606,1018,9743,2973557.0474788314
