tree,arcs,km,uphill_pct,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,uphill_pct_all,weight,LAMBDA_SLOPE,LAMBDA_DETOUR,SHIPPED,PARETO
branching,9550,1195.5779726593523,26.551754054947907,317.44692283564353,1944.8928527832031,6815.756805419922,1.6267386128377157,0.285352442627738,20.725128173828125,193,5102.192000000003,17255.1488,22448.07876037542,58.02134546093751,96.97712325195313,5383,637,9743,17.74994848846739,4981618.939863347,8.0,0.0,0,1
branching,9550,1188.0679814791913,27.03415804841038,321.1841758356435,1958.90771484375,6735.978851318359,1.6488178668066056,0.29081262843637856,20.725128173828125,193,5027.853000000001,16762.402199999997,22201.129999999997,55.54820491992189,96.97712325195313,5316,607,9743,17.958915857392604,5130077.896620117,8.0,0.25,0,1
branching,9550,1184.5169274217901,27.461370564256544,325.2845828356435,1978.1804504394531,6651.671600341797,1.6700313897118757,0.2973959884516554,20.725128173828125,193,4752.226,16265.89752773865,22115.730999999996,53.68779441503903,95.70426325195314,4878,608,9743,18.18818887217446,5264320.602741219,8.0,0.5,0,1
branching,9550,1173.9744911752512,27.471535903031757,322.50882383564345,1966.677978515625,6571.910003662109,1.6752305891645127,0.29925515982716133,20.725128173828125,193,5115.685,17851.0126,22432.34476037542,58.96839295019536,96.97712325195313,5430,640,9743,18.032983148879705,3557004.212737577,5.0,0.0,0,0
branching,9550,1167.713867479191,28.152800098651028,328.74415083564344,1989.3471984863281,6487.030609130859,1.7036255660651205,0.3066653016383506,20.725128173828125,193,4773.191,16641.147218262977,22115.730999999996,55.16607028613282,96.97712325195313,4903,608,9743,18.38162956847676,3698861.675262905,5.0,0.25,0,0
branching,9550,1179.9096549673004,28.5586463767743,336.966225927529,2032.4522094726562,6482.8428955078125,1.7225490112028814,0.3135124886152976,20.725128173828125,193,4285.989,14600.088850269369,22298.822999999997,55.27687547656248,95.67296825195314,4666,602,9743,18.841364405550106,5499514.411647088,8.0,1.0,0,1
branching,9550,1153.8404560368042,28.564472520284323,329.5884399925563,1995.6031188964844,6326.895812988281,1.7295312436443382,0.3154158339070125,20.725128173828125,193,5423.902999999999,17377.55862895802,22384.221999999998,59.24596440625001,96.97712325195313,5615,613,9743,18.428837740824783,2599204.541259875,3.0,0.0,0,0
branching,9550,1164.0637560595837,29.049845226481647,338.1587194728779,2038.2590637207031,6366.291748046875,1.75098576268736,0.32016425642855967,20.725128173828125,193,4400.105,14406.305765122113,22298.822999999997,55.64220489453123,96.94582825195313,4861,604,9743,18.908042320754635,3821564.2867642464,5.0,0.5,0,1
branching,9550,1144.665400577753,29.737229875304184,340.3917814728778,2064.9942932128906,6175.735504150391,1.8040156469922262,0.3343722042216859,20.725128173828125,193,4172.64,14696.207386099079,22298.822999999997,56.2624089150391,96.94582825195313,4774,611,9743,19.03290330575802,2731074.3963582003,3.0,0.25,0,0
branching,9550,1134.0670778075773,29.921715328987418,339.33232266134956,2059.6888427734375,6095.5999755859375,1.8161966633890019,0.3378976394486009,20.725128173828125,193,5067.454000000001,17569.203641357086,22384.221999999998,60.12388669921874,96.97712325195313,5360,611,9743,18.973663987379066,2113430.3080539173,2.0,0.0,0,0
