tree,arcs,km,uphill_pct,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,uphill_pct_all,weight,JOIN_COST_M
branching,9550,1146.5334866100786,35.92223526690673,411.8604564739411,2441.8771362304688,5730.371734619141,2.1297913796223207,0.4261289230990464,20.725128173828125,193,2724.134,8978.0484,15075.324,46.42483015722656,95.48372325195314,3606,1018,9743,23.029052609951094,2973557.0474788314,0.0
branching,9564,1146.8151516100788,35.91341254043486,411.8604564739411,2441.9090881347656,5733.712188720703,2.1292961509153687,0.4258862335187425,20.725128173828125,179,2724.134,8978.0484,15075.324,46.42483015722656,95.48372325195314,3606,1018,9743,23.029052609951094,2992265.826698131,100.0
branching,9670,1158.0841716100788,35.59414277295988,412.21013347394114,2442.69189453125,5804.1278076171875,2.109252465764373,0.42085425674560856,20.725128173828125,73,2794.6479999999997,9186.273703655756,15075.324,46.96844643907502,95.64451682617188,3623,987,9743,23.048604693436925,3042149.891613482,500.0
branching,9711,1167.2855096100789,35.31810290454594,412.2630974739411,2436.828125,5854.219879150391,2.0876024802312507,0.4162515544861378,20.725128173828125,32,3626.8650000000002,10763.544999999991,15320.815653646298,48.60271438562723,95.64451682617188,4331,765,9743,23.051566159446253,3066010.4639032013,1000.0
branching,9727,1174.8941246100785,35.086471524466155,412.22889247394113,2431.6996154785156,5892.360931396484,2.0697180831383792,0.41268680649238587,20.725128173828125,16,4968.9580000000005,12167.119500000004,17173.641653646297,49.57452706933593,99.02473085937498,5100,744,9743,23.049653597237036,3089464.4480229653,2000.0
branching,9739,1184.0953866100785,34.71849431411694,411.1000894739411,2434.1699829101562,5934.5731201171875,2.0557211947923295,0.4101676622129293,20.725128173828125,4,9619.863000000003,29376.562604706458,45041.42940470648,71.77654122941549,121.51677050640842,8001,609,9743,22.986536919574355,3115290.037896744,5000.0
branching,9742,1187.876383708103,34.79516229472676,413.32351557196563,2444.857879638672,5932.7811279296875,2.0581753397662017,0.412093051626166,20.725128173828125,1,41333.224984605105,64951.37458931156,80616.24138931159,219.49698027565904,274.0410529796661,9114,700,9743,23.11085911603893,3149633.5475860247,20000.0
