MAIN_SNAP_M,roots,km,uphill_pct,path_med_m,path_p95_m,n_over_budget,n_over_floor,n_below_outfall,n_nodes
5.0,193,1146.5334866100786,35.92223526690673,2724.134,8978.0484,3606,1018,3309,9743
15.0,322,1120.9249342029138,36.37318131912212,2292.4709999999995,8340.829749999995,3275,990,3589,9778
25.0,355,1117.384963891773,36.294082215430215,2273.158,8332.032999999998,3256,995,3572,9781
50.0,501,1092.534089597124,36.53558044914915,1859.486,6661.392000000001,2765,594,3216,9781
100.0,867,1046.0751702557584,36.417234821523145,1467.636,5893.760799999998,2149,404,2669,9783
