tree,arcs,km,uphill_pct,uphill_km,climb_m,descent_m,climb_per_km,ratio,worst_rise_m,joins,path_med_m,path_p95_m,path_max_m,def_p95_m,def_max_m,n_over_budget,n_over_floor,n_nodes,uphill_pct_all,weight,LAMBDA_SLOPE
branching,9550,1149.835576706877,46.45901918246967,534.2023311491087,3568.6217041015625,4694.307525634766,3.1035930496446076,0.7602019434419164,20.725128173828125,193,2303.045,7246.465599999999,14165.094000000001,39.10711658329564,90.98666747070313,3478,1235,9743,29.869761456863035,1186513.1760099246,0.0
branching,9550,1142.6855671322885,44.16334092522754,504.6481227160023,3238.1484985351562,4891.2344970703125,2.8338053719026948,0.66203092500977,20.725128173828125,193,2357.3829999999994,7294.222845132184,14227.332000000002,39.81787329824812,90.98666747070313,3435,1197,9743,28.217246848691303,1515406.660894584,0.5
branching,9550,1140.7183435787958,42.46709206141562,484.4299091290626,3000.5789184570312,5082.229888916016,2.6304292688441056,0.5904059800602649,20.725128173828125,193,2372.1809999999996,7422.4809,14227.332000000002,41.5245611923828,90.98666747070313,3358,1194,9743,27.086751563081567,1828140.9594491937,1.0
branching,9550,1139.060302070714,38.58473842250892,439.503438028625,2632.5200805664062,5443.544342041016,2.311133199691632,0.4836040482365875,20.725128173828125,193,2549.1299999999997,8522.666107732926,15008.459,44.78487630344525,97.74325325195312,3421,1098,9743,24.574701546410722,2417683.558173609,2.0
branching,9550,1146.5334866100786,35.92223526690673,411.8604564739411,2441.8771362304688,5730.371734619141,2.1297913796223207,0.4261289230990464,20.725128173828125,193,2724.134,8978.0484,15075.324,46.42483015722656,95.48372325195314,3606,1018,9743,23.029052609951094,2973557.0474788314,3.0
branching,9550,1160.2401087823475,31.301449587337498,363.17197274257626,2166.665008544922,6147.709533691406,1.8674281229760281,0.35243451185696195,20.725128173828125,193,3197.8660000000004,12058.964499999996,21575.770999999997,54.2289918515625,95.48372325195314,3997,839,9743,20.306650797095116,4016440.4801112516,5.0
branching,9550,1179.9096549673004,28.5586463767743,336.966225927529,2032.4522094726562,6482.8428955078125,1.7225490112028814,0.3135124886152976,20.725128173828125,193,4285.989,14600.088850269369,22298.822999999997,55.27687547656248,95.67296825195314,4666,602,9743,18.841364405550106,5499514.411647088,8.0
