pass_,inlets,sharp,sharp_pct,worst_deg,uphill_pct,km,kept
0,9361,2170,23.181284050849268,23.183217001007904,35.92223526690673,1146.5334866100786,False
1,9361,2136,22.818074991988034,23.183217001007904,35.988042134597634,1145.848441571688,False
2,9361,2121,22.657835701313964,23.183217001007904,35.982281405462764,1146.387846571688,False
3,9360,2104,22.478632478632477,23.183217001007904,36.11176713188074,1146.3601807123455,True
