MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-1247,Sanitary Pattern Load,0.0496,Fixed
MH-1177,Sanitary Pattern Load,0.0297,Fixed
MH-1156,Sanitary Pattern Load,0.0297,Fixed
MH-1134,Sanitary Pattern Load,0.0297,Fixed
MH-1083,Sanitary Pattern Load,0.0496,Fixed
MH-1061,Sanitary Pattern Load,0.0397,Fixed
MH-1110,Sanitary Pattern Load,0.0099,Fixed
MH-1067,Sanitary Pattern Load,0.0198,Fixed
MH-1047,Sanitary Pattern Load,0.0099,Fixed
MH-1013,Sanitary Pattern Load,0.0198,Fixed
MH-1022,Sanitary Pattern Load,0.0099,Fixed
MH-1147,Sanitary Pattern Load,0.0198,Fixed
MH-1119,Sanitary Pattern Load,0.0198,Fixed
MH-1103,Sanitary Pattern Load,0.0198,Fixed
MH-1024,Sanitary Pattern Load,0.0099,Fixed
MH-0985,Sanitary Pattern Load,0.0397,Fixed
MH-0964,Sanitary Pattern Load,0.0297,Fixed
MH-0973,Sanitary Pattern Load,0.0297,Fixed
MH-1051,Sanitary Pattern Load,0.0397,Fixed
MH-1139,Sanitary Pattern Load,0.0297,Fixed
MH-1150,Sanitary Pattern Load,0.0099,Fixed
MH-1173,Sanitary Pattern Load,0.0397,Fixed
MH-1208,Sanitary Pattern Load,0.0397,Fixed
MH-1238,Sanitary Pattern Load,0.0297,Fixed
MH-1272,Sanitary Pattern Load,0.0099,Fixed
MH-1270,Sanitary Pattern Load,0.0099,Fixed
MH-1276,Sanitary Pattern Load,0.0099,Fixed
MH-1262,Sanitary Pattern Load,0.0099,Fixed
MH-1255,Sanitary Pattern Load,0.0397,Fixed
MH-1292,Sanitary Pattern Load,0.0198,Fixed
MH-1298,Sanitary Pattern Load,0.0099,Fixed
MH-1282,Sanitary Pattern Load,0.0397,Fixed
MH-1105,Sanitary Pattern Load,0.0099,Fixed
MH-1101,Sanitary Pattern Load,0.0099,Fixed
MH-1076,Sanitary Pattern Load,0.0099,Fixed
MH-1073,Sanitary Pattern Load,0.0099,Fixed
MH-0950,Sanitary Pattern Load,0.0099,Fixed
MH-0961,Sanitary Pattern Load,0.0397,Fixed
MH-0745,Sanitary Pattern Load,0.0099,Fixed
MH-0831,Sanitary Pattern Load,0.0397,Fixed
MH-1029,Sanitary Pattern Load,0.0099,Fixed
MH-1007,Sanitary Pattern Load,0.0099,Fixed
MH-1037,Sanitary Pattern Load,0.0099,Fixed
