LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0297,200,5.0,1.88,0.448,0.208,,,,,
P-0298,200,5.0,0.29,0.249,0.085,,,,,
P-0299,200,5.0,1.88,0.448,0.208,,,,,
P-0300,200,5.0,2.38,0.481,0.234,,,,,
P-0301,200,20.945,0.0,0.039,0.004,,,,,
P-0302,200,5.0,9.0,0.7,0.47,,,,,
P-0303,200,5.0,9.0,0.7,0.47,,,,,
P-0304,200,5.0,9.0,0.7,0.47,,,,,
P-0305,200,5.0,9.03,0.7,0.471,,,,,
P-0306,200,5.0,1.35,0.405,0.177,,,,,
P-0307,200,8.428,1.49,0.502,0.163,,,,,
P-0308,200,18.881,0.85,0.558,0.103,,,,,
P-0309,200,5.0,0.04,0.125,0.034,,,,,
P-0310,200,5.0,0.04,0.126,0.034,,,,,
P-0311,200,5.0,1.88,0.448,0.208,,,,,
P-0312,200,5.0,0.11,0.181,0.055,,,,,
P-0313,200,6.343,0.14,0.231,0.056,,,,,
P-0314,200,6.343,0.18,0.214,0.069,,,,,
P-0315,200,5.0,1.77,0.441,0.202,,,,,
P-0316,200,5.0,0.18,0.213,0.069,,,,,
P-0317,200,5.0,0.18,0.214,0.069,,,,,
P-0318,200,8.618,0.21,0.273,0.066,,,,,
P-0319,200,5.0,0.57,0.31,0.117,,,,,
P-0320,200,5.0,0.0,0.024,0.006,,,,,
P-0321,200,5.0,0.0,0.03,0.007,,,,,
P-0322,200,5.0,0.14,0.198,0.062,,,,,
P-0323,200,5.0,0.43,0.283,0.103,,,,,
P-0324,200,5.0,0.57,0.31,0.117,,,,,
P-0325,200,5.0,0.0,0.025,0.006,,,,,
P-0326,200,5.0,0.57,0.31,0.117,,,,,
P-0327,200,5.0,0.11,0.181,0.055,,,,,
P-0328,200,5.0,1.6,0.427,0.192,,,,,
P-0329,200,5.0,0.11,0.181,0.055,,,,,
P-0330,200,5.0,0.64,0.322,0.124,,,,,
P-0331,200,5.0,0.67,0.327,0.127,,,,,
P-0332,200,5.0,0.14,0.199,0.062,,,,,
P-0333,200,5.0,1.56,0.424,0.19,,,,,
P-0334,200,5.0,2.42,0.483,0.235,,,,,
P-0335,200,5.0,0.71,0.333,0.13,,,,,
P-0336,200,5.0,0.29,0.249,0.085,,,,,
P-0337,200,5.0,0.43,0.283,0.103,,,,,
P-0338,200,5.0,0.43,0.283,0.103,,,,,
P-0339,200,5.0,0.07,0.158,0.046,,,,,
P-0340,200,7.73,0.04,0.144,0.03,,,,,
P-0341,200,5.0,0.11,0.18,0.055,,,,,
P-0342,200,5.0,0.0,0.02,0.005,,,,,
P-0343,200,5.0,0.07,0.158,0.046,,,,,
P-0344,200,5.0,0.46,0.29,0.106,,,,,
