PIPE_ID,CATCH,TIER,ROLE,DN_MM,LEN_M,SLOPE_PCT,Q_LOW_LS,V_LOW_MS,S_MARA_PCT,CONNECTED_2030,WHY
P08216,C01,secondary main sewer,lateral,200,123.5,0.5,0.464,0.291,0.802,10.0,below Mara's slope
P08217,C01,secondary main sewer,lateral,200,200.5,0.7,0.351,0.299,0.912,6.5,below Mara's slope
P08218,C01,secondary main sewer,lateral,200,104.8,0.5,0.44,0.286,0.822,9.2,below Mara's slope
P08219,C01,secondary main sewer,lateral,200,147.3,0.5,0.49,0.296,0.782,10.9,below Mara's slope
P08220,C21,secondary main sewer,lateral,200,86.8,0.5,0.191,0.218,1.207,2.3,below Mara's slope
P08221,C36,secondary main sewer,lateral,200,159.9,0.7,0.04,0.145,2.491,0.2,below Mara's slope
P08222,C05,secondary main sewer,lateral,200,166.5,0.5,0.128,0.192,1.451,1.9,below Mara's slope
P08224,C01,secondary header,sub main,200,65.4,0.5,1.085,0.379,0.542,28.8,below Mara's slope
P08226,C01,secondary header,sub main,200,179.6,0.8,0.292,0.295,0.993,4.5,below Mara's slope
P08227,C01,secondary main sewer,lateral,200,99.3,0.5,0.435,0.285,0.826,8.8,below Mara's slope
P08230,C36,secondary header,sub main,200,110.3,0.5,0.662,0.325,0.681,12.8,below Mara's slope
P08231,C126,secondary header,sub main,200,207.8,0.5,0.115,0.185,1.527,1.1,below Mara's slope
P08233,C01,secondary main sewer,lateral,200,111.1,0.5,0.29,0.25,0.996,4.6,below Mara's slope
P08234,C149,secondary header,sub main,200,86.8,0.5,0.199,0.221,1.186,2.9,below Mara's slope
P08235,C01,secondary header,sub main,200,675.2,0.5,0.719,0.334,0.655,24.1,below Mara's slope
P08236,C05,secondary main sewer,lateral,200,29.5,0.5,0.036,0.125,2.599,0.1,below Mara's slope
P08237,C01,secondary main sewer,lateral,200,197.8,0.5,0.168,0.209,1.281,1.8,below Mara's slope
P08238,C130,secondary header,sub main,200,281.1,0.5,0.176,0.213,1.254,2.0,below Mara's slope
P08239,C05,secondary header,sub main,200,164.1,0.5,0.746,0.338,0.644,29.3,below Mara's slope
