WHAT,median_m,mean_m,p90_m,max_m,per_km,over_tab12_pct
this design,27.18,26.29,29.43,30.0,38.16,0.0
NAMA built,29.77,29.23,38.25,71.38,34.23,0.0
G203-p30 Tab 12 ceiling (DN200-315),,,,100.0,,0.0
