A,A_TRIG,A_ORIENT,A_ARC,B,B_TRIG,B_ORIENT,B_ARC,GAP_M
N0004287,chamber,N004286,,N0004289,chamber,N004288,,0.464
N0008724,chamber,N008723,,N0008725,chamber,N008724,,1.212
N0005925,head,N005924,,N0005928,junction,N005927,,1.861
N0004766,junction,N004765,,N0004767,head,N004766,,2.023
N0009407,chamber,N009406,,N0009408,chamber,N009407,,2.101
