fid,Name,Classes,Build,SETTLE,AREA_M2,PROPS,POP,G_NDOM,G_GOV,G_SPEC,WORKERS,W_DOM,W_NDOM,W_GOV,W_SPEC,S_DOM,S_NDOM,S_GOV,S_SPEC,QADF,FUT_CAP,FUT_PROPS
32330,NULL,Residential,Future,AL AKHEEDAR,1126.6,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32331,NULL,Residential,Future,AL AKHEEDAR,831.4,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32332,NULL,Residential,Future,AL AKHEEDAR,981.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32333,NULL,Residential,Future,AL AKHEEDAR,600.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32334,Primary Account Tariff,Residential,EXisting,AL AKHEEDAR,599.9,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32335,NULL,Residential,Future,AL AKHEEDAR,600.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32336,NULL,Residential,Future,AL AKHEEDAR,53254.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32337,NULL,Residential,Future,AL AKHEEDAR,169.2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32338,NULL,Residential,Future,AL AKHEEDAR,10.7,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32339,NULL,Residential,Future,AL AKHEEDAR,6.6,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32340,NULL,Residential,Future,AL AKHEEDAR,8.8,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32341,NULL,Residential,Future,AL AKHEEDAR,11482.4,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32342,NULL,Agricultural,Future,AL AKHEEDAR,35.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32343,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32344,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32345,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32346,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32347,NULL,Residential,Future,HIJAR,700.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32348,NULL,Residential,Future,HIJAR,737.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.66
32349,Additional Account Tariff,Residential,EXisting,HIJAR,729.7,2,10.64,0,0,0,0.0,1.745,0.0,0.0,0.0,1.4832,0.0,0.0,0.0,1.4832,0,0.0
32350,NULL,Agricultural,Future,AL AKHEEDAR,22000.4,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32351,NULL,Residential-Commercial,Future,AL AKHEEDAR,3169.9,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32352,NULL,Residential,Future,AL AKHEEDAR,1106.2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32353,NULL,Residential,Future,AL AKHEEDAR,1007.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3.529
32354,NULL,Residential-Commercial,Future,AL AKHEEDAR,2113.2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32355,NULL,Residential-Commercial,Future,AL AKHEEDAR,2100.1,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32356,NULL,Residential-Commercial,Future,AL AKHEEDAR,2123.7,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32357,NULL,Residential-Commercial,Future,AL AKHEEDAR,3721.3,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
32358,NULL,Residential-Commercial,Future,AL AKHEEDAR,2793.2,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
