fid,VEGFRAC
0,0.201
1,0.507
2,0.638
3,0.12
4,0.13
5,0.155
6,0.591
7,0.235
8,0.73
9,0.028
10,0.539
11,0.976
12,0.293
13,0.022
14,0.024
15,1.0
16,1.0
17,0.999
18,0.502
19,0.18
20,0.737
21,0.677
22,0.54
23,0.702
24,0.725
25,0.666
26,0.972
27,0.238
28,0.0
29,0.0
30,0.53
31,0.0
32,0.0
33,0.395
34,0.007
35,0.366
36,0.442
37,0.731
38,0.831
39,0.0
40,0.002
41,0.11
42,0.008
43,0.147
44,0.048
45,0.392
46,0.054
47,0.184
48,0.261
49,0.365
50,0.155
51,0.114
52,0.034
53,0.0
54,0.286
55,0.422
56,0.607
57,0.0
58,1.0
59,0.346
60,0.762
61,0.286
62,0.781
63,0.451
64,0.584
65,0.732
66,0.76
67,0.229
68,0.022
69,0.171
70,0.008
71,0.0
72,0.419
73,0.539
74,0.018
75,0.088
76,0.047
77,0.158
78,0.002
79,0.112
80,0.484
81,0.442
82,0.644
83,0.677
84,0.287
85,0.03
86,0.009
87,0.205
88,0.652
89,0.044
90,0.0
91,0.218
92,0.13
93,0.029
94,0.012
95,0.171
96,0.165
97,0.403
98,0.19
99,0.413
100,0.425
101,0.189
102,0.134
103,0.203
104,0.738
105,0.846
106,0.482
107,0.334
108,0.873
109,0.552
110,0.757
111,0.495
112,0.473
113,0.06
114,0.199
115,0.0
116,0.028
117,0.298
118,0.539
119,0.129
120,0.125
121,0.165
122,0.004
123,0.05
124,0.192
125,0.154
126,0.376
127,0.152
128,0.488
129,0.64
130,0.285
131,0.311
132,0.152
133,0.043
134,0.286
135,0.201
136,0.417
137,0.201
138,0.443
139,0.235
140,0.091
141,0.219
142,0.272
143,0.127
144,0.072
145,0.372
146,0.023
147,0.185
148,0.242
149,0.669
150,0.658
151,0.854
152,0.379
153,0.0
154,0.0
155,0.0
156,0.0
157,0.104
158,0.054
159,0.0
160,0.008
161,0.0
162,0.0
163,0.054
164,0.151
165,0.0
166,0.005
167,0.335
168,0.07
169,0.0
170,0.0
171,0.036
172,0.006
173,0.231
174,0.0
175,0.006
176,0.0
177,0.0
178,0.007
179,0.0
180,0.004
181,0.0
182,0.0
183,0.0
184,0.082
185,0.012
186,0.032
187,0.092
188,0.051
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.014
195,0.062
196,0.0
197,0.022
198,0.09
199,0.181
200,0.096
201,0.0
202,0.012
203,0.149
204,0.09
205,0.084
206,0.339
207,0.0
208,0.315
209,0.171
210,0.002
211,0.635
212,0.122
213,0.592
214,0.821
215,0.908
216,0.444
217,0.323
218,0.0
219,0.042
220,0.096
221,0.671
222,0.01
223,0.11
224,0.044
225,0.0
226,0.135
227,0.3
228,0.079
229,0.281
230,0.048
231,0.323
232,0.179
233,0.166
234,0.102
235,0.139
236,0.215
237,0.398
238,0.042
239,0.0
240,0.0
241,0.03
242,0.636
243,0.69
244,0.056
245,0.311
246,0.332
247,0.916
248,0.06
249,0.695
250,1.0
251,0.107
252,0.06
253,0.379
254,0.569
255,0.25
256,0.305
257,0.2
258,0.435
259,0.283
260,0.375
261,0.108
