fid,Name,SETTLE,Buiding_St,Classes,DERIVED,CLASS2,GREEN,VEGFRAC,HIGH,G_DOM,G_NDOM,G_GOV,G_SPEC,G_AGR
55,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.422,0,0,0,0,0,0
56,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.607,0,0,0,0,0,0
57,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
58,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,1.0,0,0,0,0,0,0
59,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.346,0,0,0,0,0,0
60,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.762,0,0,0,0,0,0
61,,AL JIBAYYAH,Future,Residential,Unmetered,Unmetered,0,0.286,0,0,0,0,0,0
62,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.781,0,0,0,0,0,0
63,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.451,0,0,0,0,0,0
64,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.584,0,0,0,0,0,0
65,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.732,0,0,0,0,0,0
66,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.76,0,0,0,0,0,0
67,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.229,0,0,0,0,0,0
68,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.022,0,0,0,0,0,0
69,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.171,0,0,0,0,0,0
70,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.008,0,0,0,0,0,0
71,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
72,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.419,0,0,0,0,0,0
73,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.539,0,0,0,0,0,0
74,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.018,0,0,0,0,0,0
75,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.088,0,0,0,0,0,0
76,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.047,0,0,0,0,0,0
77,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.158,0,0,0,0,0,0
78,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.002,0,0,0,0,0,0
79,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.112,0,0,0,0,0,0
80,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.484,0,0,0,0,0,0
81,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.442,0,0,0,0,0,0
82,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.644,0,0,0,0,0,0
83,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.677,0,0,0,0,0,0
84,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.287,0,0,0,0,0,0
85,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.03,0,0,0,0,0,0
86,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.009,0,0,0,0,0,0
87,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.205,0,0,0,0,0,0
88,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.652,0,0,0,0,0,0
89,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.044,0,0,0,0,0,0
90,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
91,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.218,0,0,0,0,0,0
92,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.13,0,0,0,0,0,0
93,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.029,0,0,0,0,0,0
94,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.012,0,0,0,0,0,0
95,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.171,0,0,0,0,0,0
96,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.165,0,0,0,0,0,0
97,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.403,0,0,0,0,0,0
98,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.19,0,0,0,0,0,0
99,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.413,0,0,0,0,0,0
100,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.425,0,0,0,0,0,0
101,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.189,0,0,0,0,0,0
102,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.134,0,0,0,0,0,0
103,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.203,0,0,0,0,0,0
104,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.738,0,0,0,0,0,0
105,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.846,0,0,0,0,0,0
106,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.482,0,0,0,0,0,0
107,Primary Account Tariff (with National Subsidy),AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.334,0,1,0,0,0,0
108,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.873,0,0,0,0,0,0
109,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.552,0,0,0,0,0,0
110,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.757,0,0,0,0,0,0
111,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.495,0,0,0,0,0,0
112,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.473,0,0,0,0,0,0
113,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.06,0,0,0,0,0,0
114,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.199,0,0,0,0,0,0
115,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.0,0,0,0,0,0,0
116,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.028,0,0,0,0,0,0
117,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.298,0,0,0,0,0,0
118,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.539,0,0,0,0,0,0
119,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.129,0,0,0,0,0,0
120,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.125,0,0,0,0,0,0
121,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.165,0,0,0,0,0,0
122,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.004,0,0,0,0,0,0
123,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.05,0,0,0,0,0,0
124,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.192,0,0,0,0,0,0
125,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.154,0,0,0,0,0,0
126,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.376,0,0,0,0,0,0
127,Primary Account Tariff,AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.152,0,1,0,0,0,0
128,Primary Account Tariff (with National Subsidy),AT TAYYIB,EXisting,Residential,Residential,Residential,0,0.488,0,1,0,0,0,0
129,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.64,0,0,0,0,0,0
130,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.285,0,0,0,0,0,0
131,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.311,0,0,0,0,0,0
132,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.152,0,0,0,0,0,0
133,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.043,0,0,0,0,0,0
134,,AT TAYYIB,Future,Residential,Unmetered,Unmetered,0,0.286,0,0,0,0,0,0
