CH_M,GROUND_M
3650.0,343.56
3660.0,343.51
3670.0,343.46
3680.0,343.42
3690.0,343.48
3700.0,343.46
3710.0,343.49
3720.0,343.49
3730.0,343.42
3740.0,343.36
3750.0,343.31
3760.0,343.26
3770.0,343.27
3780.0,343.11
3790.0,343.01
3800.0,342.86
3810.0,342.74
3820.0,342.58
3830.0,342.56
3840.0,342.44
3850.0,342.28
3860.0,342.18
3870.0,342.1
3880.0,342.07
3890.0,341.9
3900.0,341.83
3910.0,341.75
3920.0,341.71
3930.0,341.73
3940.0,341.74
3950.0,341.71
3960.0,341.59
3970.0,341.48
3980.0,341.5
3990.0,341.28
4000.0,341.26
4010.0,341.27
4020.0,341.21
4030.0,341.28
4040.0,341.34
4050.0,341.53
4060.0,341.99
4070.0,342.1
4080.0,342.24
4090.0,342.39
4100.0,342.48
4110.0,342.53
4120.0,342.42
4130.0,342.39
4140.0,342.33
4150.0,342.32
4160.0,342.31
4170.0,342.38
4180.0,342.28
4190.0,342.09
4200.0,341.99
4210.0,341.95
4220.0,341.84
4230.0,341.75
4240.0,341.77
4250.0,341.81
4260.0,341.94
4270.0,342.02
4280.0,342.09
4290.0,342.11
4300.0,342.13
4310.0,341.99
4320.0,341.92
4330.0,341.94
4340.0,342.03
4350.0,342.24
4360.0,342.63
4370.0,343.01
4380.0,343.3
4390.0,343.47
4400.0,343.68
4410.0,343.69
4420.0,343.69
4430.0,343.7
4440.0,343.61
4450.0,343.5
4460.0,343.43
4470.0,343.35
4480.0,343.19
4490.0,343.08
4500.0,343.0
4510.0,342.91
4520.0,342.91
4530.0,342.91
4540.0,343.06
4550.0,343.22
4560.0,343.39
4570.0,343.51
4580.0,343.48
4590.0,343.47
4600.0,343.45
4610.0,343.39
4620.0,343.52
4630.0,343.33
4640.0,343.25
4650.0,343.15
4660.0,343.08
4670.0,342.93
4680.0,342.82
4690.0,342.77
4700.0,342.69
4710.0,342.72
4720.0,342.73
4730.0,342.78
4740.0,342.79
4750.0,342.78
4760.0,342.74
4770.0,342.57
4780.0,342.49
4790.0,342.32
4800.0,342.17
4810.0,342.09
4820.0,342.11
4830.0,341.93
4840.0,341.8
4850.0,341.73
4860.0,341.59
4870.0,341.54
4880.0,341.49
4890.0,341.31
4900.0,341.16
4910.0,341.04
4920.0,340.91
4930.0,340.79
4940.0,340.68
4950.0,340.61
4960.0,340.59
4970.0,340.65
4980.0,340.71
4990.0,340.76
5000.0,340.88
5010.0,340.97
5020.0,340.91
5030.0,340.95
5040.0,341.03
5050.0,341.11
5060.0,341.29
5070.0,341.48
5080.0,341.63
5090.0,341.73
5100.0,341.87
5110.0,341.86
5120.0,341.87
5130.0,341.78
5140.0,341.7
5150.0,341.66
5160.0,341.72
5170.0,341.63
5180.0,341.53
5190.0,341.52
5200.0,341.35
5210.0,341.18
5220.0,341.05
5230.0,340.92
5240.0,340.79
5250.0,340.59
5260.0,340.45
5270.0,340.26
5280.0,340.1
5290.0,339.88
5300.0,339.72
5310.0,339.53
5320.0,339.36
5330.0,339.21
5340.0,339.04
5350.0,338.93
5360.0,338.83
5370.0,338.69
5380.0,338.51
5390.0,338.35
5400.0,338.19
5410.0,338.03
5420.0,337.91
5430.0,337.83
5440.0,337.75
5450.0,337.64
5460.0,337.54
5470.0,337.42
5480.0,337.34
5490.0,337.21
5500.0,337.1
5510.0,337.03
5520.0,337.02
5530.0,336.95
5540.0,336.86
5550.0,336.65
5560.0,336.5
5570.0,336.43
5580.0,336.37
5590.0,336.17
5600.0,336.04
5610.0,335.97
5620.0,335.88
5630.0,335.74
5640.0,335.66
5650.0,335.59
5660.0,335.5
5670.0,335.43
5680.0,335.39
5690.0,335.39
5700.0,335.34
5710.0,335.33
5720.0,335.28
5730.0,335.18
5740.0,335.18
5750.0,335.0
5760.0,334.94
5770.0,334.93
5780.0,334.92
5790.0,334.8
5800.0,334.74
5810.0,334.71
5820.0,334.63
5830.0,334.57
5840.0,334.52
5850.0,334.44
5860.0,334.32
5870.0,334.16
5880.0,334.04
5890.0,333.91
5900.0,333.84
5910.0,333.77
5920.0,333.68
5930.0,333.54
5940.0,333.43
5950.0,333.38
5960.0,333.28
5970.0,333.24
5980.0,333.09
5990.0,332.98
6000.0,332.94
6010.0,332.86
6020.0,332.73
6030.0,332.64
6040.0,332.58
6050.0,332.49
6060.0,332.43
6070.0,332.44
6080.0,332.4
6090.0,332.35
6100.0,332.28
6110.0,332.14
6120.0,332.1
6130.0,332.03
6140.0,331.94
6150.0,331.95
6160.0,331.86
6170.0,331.8
6180.0,331.76
6190.0,331.72
6200.0,331.64
