STR_CLS,d
05,0.011996527505876495
05,2.0110659414199543
05,1.3450885010654683
05,0.5646934564318259
05,0.21570158778737977
05,0.9960966324210174
05,1.4697214389509685
05,1.66133668968647
05,1.4545921442342815
05,1.1628459582333748
05,2.7680934431482864
05,3.388341125600712
05,3.9696437984606203
05,3.4593914369718295
05,1.5567345285974339
05,0.9111456560281075
05,1.4360455528020544
05,1.5642980923621082
05,1.4024465698199358
05,2.333852004773182
05,2.704755322886333
05,0.7983856154208374
05,2.7065879793454837
05,4.682661269062739
05,0.566508796255017
05,3.6427059387407144
05,2.304466535764774
05,1.8670860909042641
05,3.5813329832550567
05,5.46955241035202
05,6.5223194261928565
05,6.039223483845805
05,4.069457047510001
05,1.777244666275544
05,0.7808851355442294
05,0.1633657890390044
05,0.7694863000241119
05,0.329173737960872
05,0.11113882452662902
05,0.5514513865658859
05,0.5600632213489134
05,0.46975647575810875
05,1.8700731153782908
05,4.155356666328296
05,5.54653250983445
05,5.976542746513098
05,5.9036007960899175
05,5.830658845207153
05,5.757716894343127
05,5.627182601607655
05,4.904304287910987
05,3.131116396556968
05,1.3073219842151644
05,0.516472428126648
05,0.4930225603639232
05,1.9107051692159638
05,4.276574626094218
05,5.6295555620037385
05,5.290777532525108
05,4.946017333899221
05,4.9231896444017895
05,5.803624153467438
05,6.343332337475145
05,4.720432420017338
05,0.7438049187934741
05,1.6267257431385864
05,4.143982744935072
05,5.656632198705638
05,4.624161945482687
05,1.6914162549744063
05,3.361909701392493
05,17.389874003048924
05,32.42761357552417
05,31.972152256061836
05,31.16070332783474
05,29.815910673402428
05,28.304833198611092
05,26.239997397005897
05,23.464306623072293
05,19.285358739888437
05,14.874441955013767
05,12.139284337011585
05,2.014817198943713
05,0.9285134513593021
05,1.4975923673228473
05,1.5143804877997042
05,0.6474831787311164
05,0.23266853866755238
05,0.8525544726839149
05,0.6309353596252232
05,0.4093162462478437
05,0.18769713318914516
05,0.7221116288721311
05,4.199370837232175
05,6.636404682045136
05,7.09681523957986
05,6.3864295660124535
05,4.535420704607967
05,1.424583534541275
05,0.5230002602448706
05,0.6491665701936329
05,0.3691444807088075
05,0.08912239144213285
05,2.337475931977514
05,2.6013344566194307
05,0.16811535011093115
05,0.36224052555950026
05,0.7456721090314216
05,1.1291036925033429
05,1.5125352759752675
05,1.895966859478378
05,1.8516315723890973
05,0.018772129012465374
05,1.8698804198875487
05,2.5350024047627215
05,3.2001243891799205
05,2.453624510640247
05,1.541927451408839
05,0.6302303921774207
05,0.8982223092780675
05,3.8076490127435267
05,6.717075715755573
05,9.3091579404461
05,11.49371525486514
05,9.472081654892923
05,3.66848897515496
05,2.9941690377593737
05,9.35888230587156
05,12.951584843792755
05,12.809921792189364
05,10.238435092721744
05,5.506569886434079
05,0.1410353841147613
05,2.022182231389009
05,3.903329079084897
05,5.196216215886599
05,5.887010211473015
05,4.711616923281712
05,2.8347839415029346
05,0.9449279803604267
05,3.5364125810000036
05,7.121327488918361
05,7.592359738433509
05,5.653168117889299
05,2.4826813960444176
05,0.7875191193412633
05,3.85124242543896
05,4.459206003815877
05,3.1773263725551195
05,1.3357963465033145
05,0.14409123628358278
05,0.6687712189438222
05,1.193451201557164
05,1.7181311842174023
05,1.499070865266875
05,1.7460341844928307
05,1.6249929434255508
05,2.810890310659012
05,4.679814200301727
05,5.0655446335107195
05,4.98731737940883
05,4.909090125342741
05,4.18789449753736
05,2.7075400044561686
05,1.5345365298160127
05,2.0303166947601916
05,2.526096859337237
05,3.021877024245604
05,3.517657189189804
05,4.013437353766827
05,4.992755647691243
05,6.1196261578508935
05,7.246496668413512
05,7.845833571960772
05,8.142387482714234
05,8.438941393834831
05,8.735495304624083
05,7.94002627183966
05,6.858884072451453
05,5.777741873466232
05,2.202218134732129
05,1.7865416094545332
05,0.24167940690619347
05,1.8221633542057518
05,2.1012605108730313
05,2.3160340970444393
05,1.9216555938590765
05,1.5272770906737134
05,1.1328985874883506
05,0.7385200843029875
05,0.34414158115343607
05,5.280857112140277e-10
05,3.4901167501360054e-10
05,5.426938042729721e-10
05,3.6362012774490893e-10
05,0.049477948255651855
05,0.37284986587592794
05,0.6962217831664078
05,1.0195937008227
05,1.3429656181131688
05,1.6663375357694723
05,0.46790366695914126
05,3.4208579904228555
