frontage_m,surplus_reaches,surplus_km,pct_of_pipe
30.0,2885,308.9,16.4
45.0,1994,230.4,12.2
60.0,1579,195.0,10.4
80.0,1218,160.7,8.5
100.0,978,143.7,7.6
