n,min,mean,max,p5,p25,p50,p75,p90,p95,scope
582,1.0,9.58,31.0,1.0,2.0,5.0,17.75,23.0,24.0,all packages
270,1.0,2.04,5.0,1.0,1.0,2.0,2.75,3.0,3.0,5A-2..5A-5
312,1.0,16.1,31.0,4.0,11.0,17.0,22.0,24.0,26.0,5A-1 only
