SID,village,plots,props,people,q,pipe_km_exclusive,m_per_property,m_per_m3d,km_to_core,km_to_built_net,G201_remote,pkg_eligible,TRANCHE,SOLUTION
87,-,51,51.0,271.32,37.82,0.89,17.5,23.5,2.61,5.0,True,True,1 - sewer,connect to the network
165,BAT (P.A.),1501,1876.94,8202.46,1478.68,33.02,17.6,22.3,7.01,22.48,False,False,1 - sewer,connect to the network
79,-,17,17.0,90.44,12.61,0.31,18.2,24.6,0.89,2.8,True,True,1 - sewer,connect to the network
81,-,26,26.0,138.32,19.28,0.48,18.5,24.9,2.21,4.55,True,True,1 - sewer,connect to the network
88,-,2,2.0,10.64,1.48,0.04,20.0,27.0,2.48,4.69,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
185,-,1,1.46,7.75,1.08,0.03,20.6,27.8,11.79,25.42,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
136,AL DARIZ (P.A.)-C,75,100.61,518.98,82.54,2.44,24.3,29.6,5.99,14.34,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
40,-,57,57.0,303.24,42.27,1.43,25.1,33.8,0.35,2.52,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
64,-,229,271.19,1214.15,253.05,6.97,25.7,27.5,0.25,3.41,False,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
16,-,32,39.4,209.61,29.22,1.05,26.6,35.9,0.09,2.62,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
106,-,6,8.74,46.48,6.48,0.29,33.2,44.8,0.01,0.5,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
36,-,67,67.0,356.44,49.69,2.29,34.2,46.1,1.07,3.19,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
174,-,21,26.41,85.2,21.97,1.12,42.4,51.0,0.89,22.74,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
77,-,1,1.0,5.32,0.74,0.05,50.0,67.4,0.02,1.66,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
176,SWAIDA ALMA (P.A.),37,39.4,204.29,29.04,1.97,50.0,67.8,0.21,22.65,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
186,-,1,1.46,7.75,1.08,0.08,54.9,74.1,11.08,23.74,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
95,-,25,36.4,193.65,27.0,2.12,58.2,78.5,0.29,2.73,True,True,2 - economics decide,"package plant 50-5,000 pe (G201 p83, G203 p96)"
68,-,3,3.0,15.96,2.22,0.2,66.7,89.9,0.04,2.11,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
42,-,9,9.0,47.88,6.67,0.62,68.9,92.9,1.05,2.05,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
67,-,1,1.0,5.32,0.74,0.07,70.0,94.4,0.06,2.27,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
53,-,4,4.0,21.28,2.97,0.31,77.5,104.5,0.88,3.48,True,False,2 - economics decide,septic / holding tank + tanker (G201 p83)
179,-,10,11.46,60.95,8.5,1.08,94.3,127.1,1.34,23.75,True,True,3 - do not sewer,"package plant 50-5,000 pe (G201 p83, G203 p96)"
74,-,3,3.0,15.96,2.22,0.3,100.0,134.8,0.29,2.19,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
167,-,14,6.37,33.88,4.72,0.73,114.6,154.6,8.94,20.52,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
175,-,9,5.82,30.98,4.32,0.72,123.6,166.7,0.3,22.05,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
54,-,3,3.0,15.96,2.22,0.38,126.7,170.8,0.55,3.17,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
69,-,3,3.0,15.96,2.22,0.42,140.0,188.8,0.05,2.02,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
92,-,9,9.0,47.88,6.67,1.28,142.2,191.8,3.2,5.46,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
151,-,55,38.65,200.29,31.25,5.78,149.6,185.0,0.09,20.04,True,True,3 - do not sewer,"package plant 50-5,000 pe (G201 p83, G203 p96)"
48,-,2,2.0,10.64,1.48,0.3,150.0,202.3,0.97,3.46,True,False,3 - do not sewer,septic / holding tank + tanker (G201 p83)
