node,depth,recover_m,best_depth,q
49769,12.363649854876542,79.57940251648745,0.9138320436071581,166.59987134662651
48874,15.69025671075292,36.09604730062432,1.6,4.787821248000001
48473,12.786073005867706,91.85604747608758,1.6,36.20238375844364
48198,19.531157039610264,25.73906693577122,1.6,12.619201727999998
48201,15.022922870012962,20.024585047674808,1.6,18.018107968
46538,15.830759462877154,76.77294736240349,1.6,2.5629972480000003
45125,12.082176819171025,21.02379604162864,1.6,284.9921508841238
44722,12.759736832799263,18.224454309678006,1.6,22.337232959999998
44720,13.389340637362807,23.181611252055752,1.6,76.82235277380106
44699,12.423314903652113,21.770638085805846,0.819096757921443,1.079781248
54381,12.50911699817732,2.402931478484219,1.6,41.126613248
42065,12.138668174919076,19.931738550516634,1.6,43.968502734443646
42119,13.595324939512693,36.89769152546487,1.6,56.92587771044365
40927,12.465197446170919,70.65227802592038,1.6,90.18316250180108
40357,12.29320799290366,17.029386365926403,1.6,136.73700342913503
40277,13.573634395805868,21.340568430061154,1.6,6.478687487999999
40237,12.911754544481767,34.44091892402636,1.6,177.76869085313496
39100,12.601900174048069,26.018065217049603,1.6,1.079781248
39032,14.51115959654436,27.8930467436024,1.6,0.0
18586,12.260769431493316,81.26145395183948,1.6,62.856308815978
38183,20.398766347448884,13.416407864998739,1.6,25.075830863978
38181,13.468785354380259,54.014845615822246,-3.1263137573843665,25.075830863978
36655,13.112297939001564,4.3002091428933165,1.6,11.266508735999999
36392,12.155628518415938,22.02087036407298,1.6,2.159562496
36203,12.079343166107776,35.70290103786936,1.6,32.92739519999999
36110,12.178619478440453,103.84574154712689,1.6,8.638249984
34941,15.068441625059563,86.50629822856487,1.6,236.3612878326501
34489,12.081949789200905,37.46810144377749,1.6,44.275033244946314
33901,12.358314664330862,105.94810050208545,1.6,373.3044238411679
30829,37.37945196146501,34.25047721542767,1.6,0.0
30031,12.252537276960823,35.74965092780053,1.6,123.44926883725307
28503,12.044115507413892,64.8459713474939,1.6,266.10442085489524
28246,18.111689969460258,17.7304500948326,1.6,7.558468736
28254,13.828405559095074,24.609796870835666,-13.34307652535341,9.718031232
28221,13.661032866306698,41.29019436289498,-4.527812087009238,7.558468735999999
27593,14.112366254087647,36.09893507044893,1.6,85.57963241294632
19155,13.285210164528678,97.57297001413762,1.6,160.72040312262652
18633,12.965663069348636,53.44968467667396,1.6,35.066773839978
18629,12.914869067476161,74.65877540567328,1.6,50.04132257597801
23676,13.584933318634228,161.75003283623317,1.6,170.31042029339795
23369,17.96906809229705,257.1298327778644,1.6,83.69820555469583
22431,15.042055404072698,4.000000000116722,-53.27885756875179,0.0
21733,14.33607210562252,63.23353415089528,1.6,261.0697950864436
1186,12.390940381565997,99.78671630841689,1.6,14.636375487999999
21999,12.197866201123702,3.1267481467601335,1.6,45.54635062253084
18889,24.764319354169686,1006.1072860558776,1.6,0.0
18796,14.496623246296622,4.000000000053367,1.6,57.39457396644365
21515,12.331825764002588,2.541116348851808,1.6,156.3803137772707
21338,13.179689473061728,105.6202714499453,1.6,14.701636992000001
21329,12.665090092560149,30.987336407821243,1.6,4.5444917221769465
21197,18.911214797954415,683.5237310036781,1.6,0.0
21187,17.784708498768396,1444.3957919344066,-13.413368071374123,0.0
20379,14.731416013157968,499.7501930202658,1.6,0.0
150,13.513289526974404,105.05544609116527,1.6,64.75954624114557
19858,12.043302988045411,3.995617899361241,1.6,75.21299797560968
19708,14.101984941910132,153.50412490963083,1.65,453.9471845524241
23739,16.069986247403392,123.1134026383211,1.6,168.02785362453668
23446,12.533424072666719,60.0516186826966,1.6,381.73137805056933
18605,14.589958620520179,607.1070391056292,1.6,213.96642642306136
19569,13.993275401589472,1609.8529288043153,1.6,1.821389248
19525,13.408013164394617,47.792040521719834,1.6,44.52397520122119
22558,12.278158369571372,24.414324434793045,-0.043089044173711954,118.91083126492921
22191,12.18245109254326,79.26582415217699,1.6,200.01127140780562
22339,17.173878622209713,313.1927014650899,1.65,571.1897057639371
7845,25.862435426392892,159.89412191131396,1.6,6.917767054443639
21653,12.139734376917374,206.36386426526175,1.6,46.436198120707786
18832,12.020745151752976,1635.8782666444467,1.6,214.5517168899785
18833,20.17804245626911,3.999999999974941,1.6,214.5517168899785
19401,13.032016186496776,195.96571954733398,1.6,246.09961323028836
