package,pipes,median_dist_to_other_pkg_m,pipes_within_60m_of_other_pkg,pct_within_60m,nearest_other_pkg
5A-1,1123,402.0,138,12.3,5A-2
5A-2,679,347.0,89,13.1,5A-1
5A-3,126,237.0,12,9.5,5A-1
5A-4,183,367.0,19,10.4,5A-1
5A-5,1155,3935.0,0,0.0,-
