prefix,pipes,km,zones,props,centroid_e,centroid_n,max_up_len_m,max_up_props
A,304,9.0,86,517,450683.0,2568666.0,32245.0,2704
B,819,23.25,226,2187,450301.0,2569070.0,19619.0,1687
