NODE,X,Y,GROUND,DEPTH_M,LIFT_M,PLOTS_UP,QADF_M3D,QPK_LS,P_KW,EXC_M,EXC_REACHES,STATUS,MAXDEPTH_NOPS,GROUND_RECOV_M,GROUND_FULL_M,DM_M2,DIG_B1,DIG_B15,DIG_B2,PS_CAPEX,PS_OPEX_YR,PS_KWH_YR,PS_LCC,PS_LCC_NOSTAFF,ELIMINABLE,WIN_STAFFED_B1.0,WIN_STAFFED_B1.5,WIN_STAFFED_B2.0,WIN_UNSTAFFED_B1.0,WIN_UNSTAFFED_B1.5,WIN_UNSTAFFED_B2.0
140,450178.0780091369,2561725.731205363,337.57,14.728,13.128,102,105.45,4.246,0.547,657.0,1,REBREACH,16.45,,,8624.3,310476.0,430045.0,635579.0,22856.0,12248.0,2118.0,195479.0,26352.0,0,1,1,1,1,1,1
8094,441995.2856699153,2565934.011976781,323.84,14.706,13.106,19,18.65,0.77,0.099,646.3,1,REBREACH,18.85,,,8471.1,304959.0,446579.0,700586.0,9195.0,12090.0,374.0,179594.0,10467.0,0,1,1,1,1,1,1
18605,459600.9903022833,2577106.5465974268,418.49,14.59,12.99,252,229.12,8.399,1.07,607.1,1,REBREACH,21.24,,,7886.3,283907.0,435550.0,722763.0,32691.0,12385.0,4554.0,207249.0,38121.0,0,1,1,1,1,1,1
5601,456942.2380987734,2568634.66565188,375.22,20.522,18.922,681,741.46,23.58,4.377,417.4,1,REBREACH,21.04,,,7773.4,279843.0,428563.0,715063.0,69245.0,13053.0,21468.0,253207.0,84079.0,0,1,1,1,1,1,1
491,445386.356423851,2564404.93307328,337.9,13.382,11.782,3212,3557.93,93.591,10.818,1806.1,10,CONVERGED,13.38,369.9,,7466.4,268790.0,311995.0,378262.0,112148.0,14292.0,64146.0,313583.0,144455.0,1,0,0,1,1,1,1
185,445782.5440289654,2562428.305950265,327.68,30.241,28.641,582,854.86,26.722,7.508,306.8,1,REBREACH,30.86,,,7405.1,266585.0,501704.0,1044377.0,92315.0,13580.0,37465.0,283713.0,114586.0,0,1,1,1,1,1,1
8543,454865.25397615286,2567422.262669877,367.02,13.043,11.443,16368,18115.4,391.342,43.929,2500.0,3,CONVERGED,13.04,1256.6,,7302.1,262874.0,331302.0,443947.0,236663.0,20474.0,317193.0,525220.0,356093.0,1,0,0,0,0,0,1
8063,447166.1167029501,2557854.398802112,316.65,15.924,14.324,14,16.19,0.669,0.094,492.2,1,REBREACH,20.39,,,7050.6,253823.0,383559.0,623768.0,8940.0,12088.0,355.0,179302.0,10175.0,0,1,1,1,1,1,1
21338,471490.7772361841,2562396.7683664914,427.48,13.18,11.58,24,16.64,0.687,0.078,912.2,2,REBREACH,16.66,105.6,,6910.2,248767.0,361866.0,554185.0,8099.0,12079.0,295.0,178337.0,9210.0,0,1,1,1,1,1,1
19703,458945.55839988496,2578391.039970178,424.34,14.38,12.78,510,723.23,23.069,2.892,533.9,1,REBREACH,19.26,,,6823.9,245661.0,362766.0,574813.0,55527.0,12783.0,14144.0,235684.0,66557.0,0,1,1,1,1,1,1
