zone,pkg,tier,pipes,chambers,len_m,median_pipe_m,props_direct,internal_junctions,head_chambers,outlets,simple_path,hull_ha,long_side_m,short_side_m,elongation,props_at_outlet,len_at_outlet_m,pipes_at_outlet,ds_zone,ds_tier,mh_lo,mh_hi,mh_span,has_levels,dia_max,mh_contiguous,chain_to_main
5A-1-B165,5A-1,lateral,3,3,74.3,26.1,13,0,1,1,1,0.063,53.1,18.5,2.88,13,74.3,3,5A-1-B164,lateral,1.0,2.0,2.0,0,,0,17
5A-1-B166,5A-1,lateral,5,5,113.8,20.6,32,0,1,1,1,0.158,51.5,39.9,1.29,32,113.8,5,5A-1-B164,lateral,1.0,4.0,4.0,0,,0,17
5A-1-B167,5A-1,lateral,2,2,47.6,23.8,0,0,1,1,1,0.0,47.6,0.0,,632,7179.9,253,5A-1-B168,lateral,1.0,1.0,1.0,0,,0,12
5A-1-B168,5A-1,lateral,3,3,106.3,35.8,0,0,1,1,1,0.0,106.3,0.0,,632,7286.2,256,5A-1-B174,lateral,1.0,2.0,2.0,0,,0,11
5A-1-B169,5A-1,lateral,6,6,178.0,29.9,4,0,1,1,1,0.295,137.6,37.6,3.66,79,549.8,20,5A-1-B167,lateral,1.0,5.0,5.0,0,,0,13
5A-1-B170,5A-1,lateral,4,4,111.0,27.1,20,0,1,1,1,0.153,78.5,38.9,2.02,20,111.0,4,5A-1-B169,lateral,1.0,3.0,3.0,0,,0,14
5A-1-B171,5A-1,lateral,3,3,81.2,30.7,3,0,1,1,1,0.06,62.4,16.7,3.74,55,260.8,10,5A-1-B169,lateral,1.0,2.0,2.0,0,,0,14
5A-1-B172,5A-1,lateral,1,1,22.2,22.2,13,0,1,1,1,0.0,,,,13,22.2,1,5A-1-B171,lateral,1.0,1.0,1.0,0,,1,15
5A-1-B173,5A-1,lateral,6,6,157.4,25.6,39,0,1,1,1,0.198,131.0,29.5,4.44,39,157.4,6,5A-1-B171,lateral,1.0,4.0,4.0,0,,0,15
5A-1-B174,5A-1,lateral,3,3,91.4,33.8,0,0,1,1,1,0.0,91.4,0.0,,702,8081.2,287,5A-1-B178,lateral,1.0,2.0,2.0,0,,0,10
5A-1-B175,5A-1,lateral,3,3,82.8,28.6,4,0,1,1,1,0.068,65.4,20.8,3.14,20,279.6,11,5A-1-B174,lateral,1.0,1.0,1.0,0,,0,11
5A-1-B176,5A-1,lateral,3,3,82.5,25.0,5,0,1,1,1,0.001,82.5,0.2,,5,82.5,3,5A-1-B175,lateral,1.0,1.0,1.0,0,,0,12
5A-1-B177,5A-1,lateral,5,5,114.3,24.2,11,1,2,1,0,0.147,80.0,36.9,2.17,11,114.3,5,5A-1-B175,lateral,1.0,2.0,2.0,0,,0,12
5A-1-B178,5A-1,lateral,2,2,47.3,23.6,0,0,1,1,1,0.0,47.3,0.0,,702,8128.5,289,5A-1-B184,lateral,1.0,1.0,1.0,0,,0,9
5A-1-B179,5A-1,lateral,3,3,71.0,23.5,1,1,2,1,0,0.056,47.5,23.5,2.02,50,424.1,17,5A-1-B174,lateral,1.0,1.0,1.0,0,,0,11
5A-1-B180,5A-1,lateral,1,1,39.5,39.5,7,0,1,1,1,0.0,,,,7,39.5,1,5A-1-B179,lateral,,,,0,,0,12
5A-1-B181,5A-1,lateral,1,1,27.1,27.1,2,0,1,1,1,0.0,,,,42,313.6,13,5A-1-B179,lateral,,,,0,,0,12
5A-1-B182,5A-1,lateral,8,8,193.9,23.4,33,1,2,1,0,0.345,125.9,44.4,2.84,33,193.9,8,5A-1-B181,lateral,1.0,5.0,5.0,0,,0,13
5A-1-B183,5A-1,lateral,4,4,92.5,22.5,7,1,2,1,0,0.079,47.9,22.7,2.11,7,92.5,4,5A-1-B181,lateral,1.0,2.0,2.0,0,,0,13
5A-1-B184,5A-1,lateral,3,3,79.1,29.0,0,0,1,1,1,0.019,78.2,4.8,16.43,702,8242.8,293,5A-1-B186,lateral,1.0,2.0,2.0,0,,0,8
5A-1-B185,5A-1,lateral,1,1,35.2,35.2,0,0,1,1,1,0.0,,,,0,35.2,1,5A-1-B184,lateral,,,,0,,0,9
5A-1-B186,5A-1,lateral,4,4,118.3,30.0,4,0,1,1,1,0.067,115.0,11.7,9.86,759,8657.4,310,5A-1-B188,lateral,1.0,3.0,3.0,0,,0,7
5A-1-B187,5A-1,lateral,13,13,296.4,21.1,53,4,5,1,0,0.599,219.0,42.4,5.16,53,296.4,13,5A-1-B186,lateral,1.0,7.0,7.0,0,,0,8
5A-1-B188,5A-1,lateral,3,3,85.7,31.0,1,0,1,1,1,0.018,85.0,4.3,19.8,787,8856.5,318,5A-1-B190,lateral,1.0,2.0,2.0,0,,0,6
5A-1-B189,5A-1,lateral,5,5,113.4,23.9,27,0,1,1,1,0.129,83.1,24.3,3.42,27,113.4,5,5A-1-B188,lateral,1.0,4.0,4.0,0,,0,7
5A-1-B190,5A-1,lateral,3,3,104.0,35.0,0,0,1,1,1,0.0,104.0,0.0,,891,10032.1,364,5A-1-B196,lateral,1.0,2.0,2.0,0,,0,5
5A-1-B191,5A-1,lateral,7,7,189.8,29.3,5,2,3,1,0,0.323,140.6,37.3,3.77,104,1071.6,43,5A-1-B190,lateral,1.0,4.0,4.0,0,,0,6
5A-1-B192,5A-1,lateral,2,2,55.9,28.0,6,0,1,1,1,0.039,31.0,24.9,1.24,6,55.9,2,5A-1-B191,lateral,1.0,1.0,1.0,0,,0,7
5A-1-B193,5A-1,lateral,3,3,79.5,33.6,0,0,1,1,1,0.041,68.6,12.0,5.74,13,206.9,9,5A-1-B191,lateral,1.0,2.0,2.0,0,,0,7
5A-1-B194,5A-1,lateral,2,2,39.2,19.6,1,0,1,1,1,0.019,30.1,12.6,2.39,1,39.2,2,5A-1-B193,lateral,1.0,1.0,1.0,0,,0,8
5A-1-B195,5A-1,lateral,4,4,88.2,22.5,12,0,1,1,1,0.092,63.9,19.6,3.25,12,88.2,4,5A-1-B193,lateral,1.0,3.0,3.0,0,,0,8
5A-1-B196,5A-1,lateral,3,3,105.6,33.0,0,0,1,1,1,0.001,105.6,0.1,,904,10336.3,374,5A-1-B205,lateral,1.0,2.0,2.0,0,,0,4
5A-1-B197,5A-1,lateral,2,2,55.6,27.8,1,0,1,1,1,0.0,55.6,0.2,,13,198.5,7,5A-1-B196,lateral,1.0,1.0,1.0,0,,0,5
5A-1-B198,5A-1,lateral,11,11,264.2,23.0,15,3,6,2,0,0.726,174.3,58.2,3.0,80,618.9,25,5A-1-B197,lateral,1.0,6.0,6.0,0,,0,6
5A-1-B20,5A-1,lateral,4,4,147.7,37.0,2,0,1,1,1,0.195,135.6,28.7,4.72,15,438.8,12,5A-1-B24,lateral,1.0,3.0,3.0,0,,0,21
5A-1-B200,5A-1,lateral,6,6,144.0,23.5,54,0,1,1,1,0.227,107.6,28.3,3.8,54,144.0,6,5A-1-B198,lateral,1.0,3.0,3.0,0,,0,7
5A-1-B201,5A-1,lateral,6,6,165.4,26.2,10,1,2,1,0,0.372,92.8,66.2,1.4,10,165.4,6,5A-1-B198,lateral,1.0,4.0,4.0,0,,0,7
5A-1-B202,5A-1,lateral,1,1,34.3,34.3,1,0,1,1,1,0.0,,,,11,120.2,4,5A-1-B197,lateral,,,,0,,0,6
5A-1-B203,5A-1,lateral,3,3,68.0,21.8,2,0,1,1,1,0.047,55.1,17.0,3.24,2,68.0,3,5A-1-B198,lateral,1.0,2.0,2.0,0,,0,7
5A-1-B204,5A-1,lateral,3,3,85.9,28.2,10,1,2,1,0,0.083,57.7,28.6,2.02,10,85.9,3,5A-1-B202,lateral,1.0,1.0,1.0,0,,0,7
5A-1-B205,5A-1,lateral,5,5,151.7,30.7,3,0,1,1,1,0.005,151.7,0.7,,935,10800.9,390,5A-1-B209,lateral,1.0,4.0,4.0,0,,0,3
5A-1-B206,5A-1,lateral,5,5,152.1,32.6,11,1,2,1,0,0.266,79.8,66.8,1.2,28,313.0,11,5A-1-B205,lateral,1.0,3.0,3.0,0,,0,4
5A-1-B207,5A-1,lateral,4,4,109.0,28.1,11,0,1,1,1,0.002,109.0,0.3,,11,109.0,4,5A-1-B206,lateral,1.0,3.0,3.0,0,,0,5
5A-1-B208,5A-1,lateral,2,2,51.8,25.9,6,0,1,1,1,0.033,40.3,16.2,2.49,6,51.8,2,5A-1-B206,lateral,1.0,1.0,1.0,0,,0,5
5A-1-B209,5A-1,lateral,24,24,816.9,35.0,18,0,1,1,1,0.724,814.9,16.2,50.21,997,12158.3,433,5A-1-A,lateral,1.0,23.0,23.0,0,,0,2
5A-1-B21,5A-1,lateral,1,1,44.1,44.1,4,0,1,1,1,0.0,,,,13,258.0,7,5A-1-B20,lateral,1.0,1.0,1.0,0,,1,22
5A-1-B210,5A-1,lateral,3,3,98.0,38.4,3,0,1,1,1,0.08,81.0,19.7,4.12,44,540.5,19,5A-1-B209,lateral,1.0,1.0,1.0,0,,0,3
5A-1-B211,5A-1,lateral,2,2,71.1,35.5,6,0,1,1,1,0.0,71.1,0.0,,6,71.1,2,5A-1-B210,lateral,1.0,1.0,1.0,0,,0,4
5A-1-B212,5A-1,lateral,1,1,33.0,33.0,1,0,1,1,1,0.0,,,,35,371.4,14,5A-1-B210,lateral,,,,0,,0,4
5A-1-B213,5A-1,lateral,8,8,191.5,26.1,16,1,2,1,0,0.238,103.7,36.4,2.85,16,191.5,8,5A-1-B212,lateral,1.0,5.0,5.0,0,,0,5
5A-1-B214,5A-1,lateral,2,2,71.5,35.8,8,0,1,1,1,0.007,71.4,1.9,37.94,18,147.0,5,5A-1-B212,lateral,1.0,1.0,1.0,0,,0,5
5A-1-B215,5A-1,lateral,2,2,51.7,25.9,4,0,1,1,1,0.033,29.5,22.3,1.32,4,51.7,2,5A-1-B214,lateral,2.0,3.0,2.0,0,,1,6
5A-1-B216,5A-1,lateral,1,1,23.7,23.7,6,0,1,1,1,0.0,,,,6,23.7,1,5A-1-B214,lateral,,,,0,,0,6
5A-1-B217,5A-1,lateral,1,1,24.5,24.5,1,0,1,1,1,0.0,,,,832,8875.7,311,5A-1-B227,lateral,,,,0,,0,12
5A-1-B218,5A-1,lateral,4,4,126.3,29.3,5,0,1,1,1,0.141,101.3,24.7,4.09,5,126.3,4,5A-1-B217,lateral,1.0,3.0,3.0,0,,0,13
5A-1-B219,5A-1,lateral,1,1,13.4,13.4,0,0,1,1,1,0.0,,,,826,8725.0,306,5A-1-B217,lateral,,,,0,,0,13
5A-1-B22,5A-1,lateral,5,5,176.2,35.0,7,0,1,1,1,0.179,167.5,19.4,8.63,7,176.2,5,5A-1-B21,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B220,5A-1,lateral,5,5,154.2,31.9,9,1,2,1,0,0.219,85.9,37.6,2.29,9,154.2,5,5A-1-B219,lateral,1.0,3.0,3.0,0,,0,14
5A-1-B221,5A-1,lateral,2,2,72.0,36.0,0,0,1,1,1,0.001,72.0,0.2,,817,8557.4,300,5A-1-B219,lateral,1.0,1.0,1.0,0,,0,14
5A-1-B222,5A-1,lateral,10,10,291.6,33.6,44,1,2,1,0,0.59,251.5,43.4,5.8,83,597.7,21,5A-1-B221,lateral,1.0,7.0,7.0,0,,0,15
5A-1-B223,5A-1,lateral,2,2,60.8,30.4,11,0,1,1,1,0.002,60.8,0.5,,11,60.8,2,5A-1-B222,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B224,5A-1,lateral,2,2,58.9,29.4,0,0,1,1,1,0.001,58.9,0.2,,28,245.3,9,5A-1-B222,lateral,1.0,1.0,1.0,0,,0,16
5A-1-B225,5A-1,lateral,3,3,88.1,29.2,24,0,1,1,1,0.004,88.1,0.9,,24,88.1,3,5A-1-B224,lateral,1.0,2.0,2.0,0,,0,17
5A-1-B226,5A-1,lateral,4,4,98.3,24.5,4,0,1,1,1,0.119,68.4,34.9,1.96,4,98.3,4,5A-1-B224,lateral,1.0,3.0,3.0,0,,0,17
5A-1-B227,5A-1,lateral,3,3,83.7,27.7,1,0,1,1,1,0.001,83.7,0.1,,858,9015.2,316,5A-1-B229,lateral,1.0,2.0,2.0,0,,0,11
5A-1-B228,5A-1,lateral,2,2,55.8,27.9,25,0,1,1,1,0.0,55.8,0.1,,25,55.8,2,5A-1-B227,lateral,1.0,1.0,1.0,0,,0,12
5A-1-B229,5A-1,lateral,2,2,58.9,29.5,0,0,1,1,1,0.0,58.9,0.0,,863,9164.0,321,5A-1-B231,lateral,1.0,1.0,1.0,0,,0,10
5A-1-B23,5A-1,lateral,1,1,37.6,37.6,2,0,1,1,1,0.0,,,,2,37.6,1,5A-1-B21,lateral,1.0,1.0,1.0,0,,1,23
5A-1-B230,5A-1,lateral,3,3,89.9,30.0,5,0,1,1,1,0.001,89.9,0.2,,5,89.9,3,5A-1-B229,lateral,3.0,5.0,3.0,0,,1,11
5A-1-B231,5A-1,lateral,2,2,64.6,32.3,0,0,1,1,1,0.0,64.6,0.0,,933,9502.3,332,5A-1-B234,lateral,1.0,1.0,1.0,0,,0,9
5A-1-B232,5A-1,lateral,7,7,213.6,33.3,67,0,1,1,1,0.448,159.3,42.5,3.75,67,213.6,7,5A-1-B231,lateral,1.0,6.0,6.0,0,,0,10
5A-1-B233,5A-1,lateral,2,2,60.0,30.0,3,0,1,1,1,0.0,60.0,0.0,,3,60.0,2,5A-1-B231,lateral,1.0,1.0,1.0,0,,0,10
5A-1-B234,5A-1,lateral,3,3,71.4,25.0,2,0,1,1,1,0.012,71.0,3.5,20.54,957,9726.7,340,5A-1-B236,lateral,1.0,2.0,2.0,0,,0,8
5A-1-B235,5A-1,lateral,5,5,153.0,32.4,22,0,1,1,1,0.149,132.1,21.3,6.22,22,153.0,5,5A-1-B234,lateral,1.0,4.0,4.0,0,,0,9
5A-1-B236,5A-1,lateral,1,1,7.1,7.1,0,0,1,1,1,0.0,,,,961,9804.8,343,5A-1-B241,lateral,,,,0,,0,7
5A-1-B237,5A-1,lateral,2,2,71.0,35.5,4,0,1,1,1,0.0,71.0,0.0,,4,71.0,2,5A-1-B236,lateral,1.0,1.0,1.0,0,,0,8
5A-1-B238,5A-1,lateral,2,2,65.4,32.7,0,0,1,1,1,0.018,64.5,5.5,11.65,92,199.3,8,5A-1-B241,lateral,1.0,1.0,1.0,0,,0,7
5A-1-B239,5A-1,lateral,2,2,42.5,21.2,4,0,1,1,1,0.0,42.5,0.1,,4,42.5,2,5A-1-B238,lateral,1.0,1.0,1.0,0,,0,8
5A-1-B24,5A-1,lateral,4,4,131.1,32.0,9,0,1,1,1,0.017,131.0,2.6,50.8,76,1835.9,58,5A-1-B25,lateral,1.0,3.0,3.0,0,,0,20
5A-1-B240,5A-1,lateral,4,4,91.4,23.4,88,0,1,1,1,0.08,74.1,21.3,3.47,88,91.4,4,5A-1-B238,lateral,1.0,3.0,3.0,0,,0,8
5A-1-B241,5A-1,lateral,3,3,89.9,28.5,0,0,1,1,1,0.0,89.9,0.0,,1053,10094.0,354,5A-1-B242,lateral,1.0,2.0,2.0,0,,0,6
5A-1-B242,5A-1,lateral,4,4,132.5,35.6,6,0,1,1,1,0.082,130.1,12.3,10.55,1091,10301.6,360,5A-1-B244,lateral,1.0,3.0,3.0,0,,0,5
5A-1-B243,5A-1,lateral,2,2,75.2,37.6,32,0,1,1,1,0.061,64.9,18.9,3.43,32,75.2,2,5A-1-B242,lateral,1.0,1.0,1.0,0,,0,6
5A-1-B244,5A-1,lateral,12,12,342.6,30.0,6,0,1,1,1,1.266,274.6,80.1,3.43,1128,10783.7,377,5A-1-A1,lateral,1.0,11.0,11.0,0,,0,4
5A-1-B245,5A-1,lateral,2,2,43.9,22.0,0,0,1,1,1,0.001,43.9,0.5,,31,139.5,5,5A-1-B244,lateral,1.0,1.0,1.0,0,,0,5
5A-1-B246,5A-1,lateral,1,1,30.8,30.8,25,0,1,1,1,0.0,,,,25,30.8,1,5A-1-B245,lateral,,,,0,,0,6
5A-1-B247,5A-1,lateral,2,2,64.8,32.4,6,0,1,1,1,0.052,35.4,29.4,1.2,6,64.8,2,5A-1-B245,lateral,1.0,1.0,1.0,0,,0,6
5A-1-B248,5A-1,lateral,8,8,284.8,35.0,62,0,1,1,1,0.007,284.8,0.4,,1687,19618.7,676,5A-1-A,lateral,1.0,7.0,7.0,0,,0,2
5A-1-B25,5A-1,lateral,3,3,100.1,33.1,32,0,1,1,1,0.0,100.1,0.0,,108,2203.6,69,5A-1-B42,lateral,1.0,2.0,2.0,0,,0,19
5A-1-B26,5A-1,lateral,8,8,267.6,31.7,0,0,1,1,1,0.777,207.2,75.0,2.76,0,267.6,8,5A-1-B25,lateral,1.0,7.0,7.0,0,,0,20
5A-1-B28,5A-1,lateral,2,2,71.6,35.8,1,0,1,1,1,0.008,71.4,2.4,30.07,52,1265.9,42,5A-1-B24,lateral,1.0,1.0,1.0,0,,0,21
5A-1-B29,5A-1,lateral,3,3,106.9,35.7,3,0,1,1,1,0.001,106.9,0.1,,13,171.8,5,5A-1-B28,lateral,1.0,2.0,2.0,0,,0,22
5A-1-B30,5A-1,lateral,1,1,29.3,29.3,4,0,1,1,1,0.0,,,,4,29.3,1,5A-1-B29,lateral,,,,0,,0,23
5A-1-B31,5A-1,lateral,1,1,35.7,35.7,6,0,1,1,1,0.0,,,,6,35.7,1,5A-1-B29,lateral,,,,0,,0,23
5A-1-B32,5A-1,lateral,3,3,81.9,21.6,4,0,1,1,1,0.079,66.7,23.7,2.81,38,1022.6,35,5A-1-B28,lateral,1.0,3.0,3.0,0,,1,22
5A-1-B33,5A-1,lateral,2,2,67.5,33.7,4,0,1,1,1,0.002,67.5,0.5,,8,179.3,6,5A-1-B32,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B34,5A-1,lateral,2,2,47.7,23.9,1,0,1,1,1,0.027,28.9,18.8,1.54,1,47.7,2,5A-1-B33,lateral,1.0,1.0,1.0,0,,0,24
5A-1-B35,5A-1,lateral,2,2,64.1,32.1,3,0,1,1,1,0.05,49.5,20.4,2.43,3,64.1,2,5A-1-B33,lateral,1.0,1.0,1.0,0,,0,24
5A-1-B36,5A-1,lateral,6,6,187.7,27.4,2,0,1,1,1,0.405,155.9,51.8,3.01,26,761.4,26,5A-1-B32,lateral,1.0,4.0,4.0,0,,0,23
5A-1-B37,5A-1,lateral,3,3,96.0,34.9,9,0,1,1,1,0.001,96.0,0.3,,9,96.0,3,5A-1-B36,lateral,1.0,2.0,2.0,0,,0,24
5A-1-B38,5A-1,lateral,2,2,46.6,23.3,1,0,1,1,1,0.0,46.6,0.2,,6,153.1,6,5A-1-B36,lateral,1.0,1.0,1.0,0,,0,24
5A-1-B39,5A-1,lateral,1,1,37.2,37.2,1,0,1,1,1,0.0,,,,1,37.2,1,5A-1-B38,lateral,,,,0,,0,25
5A-1-B40,5A-1,lateral,3,3,69.3,22.5,4,0,1,1,1,0.052,52.5,19.8,2.65,4,69.3,3,5A-1-B38,lateral,2.0,4.0,3.0,0,,1,25
5A-1-B41,5A-1,lateral,11,11,324.5,30.0,9,1,2,1,0,0.726,216.7,56.6,3.83,9,324.5,11,5A-1-B36,lateral,1.0,3.0,3.0,0,,0,24
5A-1-B42,5A-1,lateral,3,3,89.2,28.6,6,0,1,1,1,0.0,89.2,0.1,,296,3314.6,110,5A-1-B131,lateral,1.0,2.0,2.0,0,,0,18
5A-1-B43,5A-1,lateral,8,8,236.3,30.7,43,1,2,1,0,0.462,159.0,36.5,4.35,182,1021.8,38,5A-1-B42,lateral,1.0,6.0,6.0,0,,0,19
5A-1-B44,5A-1,lateral,4,4,90.2,22.2,11,0,1,1,1,0.078,69.7,20.4,3.41,55,574.9,23,5A-1-B43,lateral,1.0,3.0,3.0,0,,0,20
5A-1-B45,5A-1,lateral,4,4,101.8,24.2,8,1,2,1,0,0.091,54.9,24.8,2.21,28,326.4,12,5A-1-B44,lateral,1.0,2.0,2.0,0,,0,21
5A-1-B46,5A-1,lateral,7,7,210.6,26.4,84,0,1,1,1,0.022,210.4,2.1,98.38,84,210.6,7,5A-1-B43,lateral,1.0,5.0,5.0,0,,0,20
5A-1-B47,5A-1,lateral,7,7,158.3,23.2,16,0,1,1,1,0.01,158.3,1.0,151.14,16,158.3,7,5A-1-B44,lateral,1.0,6.0,6.0,0,,0,21
5A-1-B48,5A-1,lateral,2,2,83.7,41.9,11,0,1,1,1,0.0,83.7,0.1,,11,83.7,2,5A-1-B45,lateral,1.0,1.0,1.0,0,,0,22
5A-1-B49,5A-1,lateral,6,6,140.8,23.3,9,2,3,1,0,0.216,73.2,32.7,2.24,9,140.8,6,5A-1-B45,lateral,1.0,2.0,2.0,0,,0,22
5A-1-B50,5A-1,lateral,5,5,126.9,22.4,17,1,2,1,0,0.114,105.3,21.6,4.89,74,520.5,19,5A-1-B55,lateral,1.0,3.0,3.0,0,,0,26
5A-1-B51,5A-1,lateral,6,6,153.4,22.5,43,1,2,1,0,0.29,93.3,40.7,2.29,43,153.4,6,5A-1-B50,lateral,1.0,3.0,3.0,0,,0,27
5A-1-B52,5A-1,lateral,1,1,22.5,22.5,1,0,1,1,1,0.0,,,,1,22.5,1,5A-1-B53,lateral,,,,0,,0,29
5A-1-B53,5A-1,lateral,1,1,25.4,25.4,1,0,1,1,1,0.0,,,,2,47.9,2,5A-1-B63,lateral,,,,0,,0,28
5A-1-B55,5A-1,lateral,3,3,63.9,24.8,6,0,1,1,1,0.026,59.2,8.8,6.71,135,1376.4,52,5A-1-B69,lateral,1.0,2.0,2.0,0,,0,25
5A-1-B56,5A-1,lateral,1,1,31.9,31.9,0,0,1,1,1,0.0,,,,55,792.0,30,5A-1-B55,lateral,,,,0,,0,26
5A-1-B58,5A-1,lateral,2,2,74.3,37.1,9,0,1,1,1,0.069,52.3,26.2,1.99,55,760.1,29,5A-1-B56,lateral,1.0,1.0,1.0,0,,0,27
5A-1-B59,5A-1,lateral,12,12,290.2,23.8,35,1,3,2,0,0.913,188.8,58.2,3.24,29,263.8,11,5A-1-B72,lateral,1.0,9.0,9.0,0,,0,26
5A-1-B60,5A-1,lateral,3,3,90.8,30.5,5,1,2,1,0,0.086,67.0,25.6,2.61,40,659.4,26,5A-1-B58,lateral,1.0,1.0,1.0,0,,0,28
5A-1-B61,5A-1,lateral,1,1,23.4,23.4,0,0,1,1,1,0.0,,,,7,199.6,8,5A-1-B60,lateral,,,,0,,0,29
5A-1-B61.A,5A-1,lateral,5,5,122.9,23.7,6,1,2,1,0,0.187,80.0,33.7,2.37,6,122.9,5,5A-1-B61,lateral,1.0,3.0,3.0,0,,0,30
5A-1-B62,5A-1,lateral,2,2,53.3,26.7,1,0,1,1,1,0.035,41.0,16.8,2.44,1,53.3,2,5A-1-B61,lateral,1.0,1.0,1.0,0,,0,30
5A-1-B63,5A-1,lateral,6,6,192.4,31.3,12,1,3,1,0,0.368,131.1,49.0,2.67,14,240.2,8,5A-1-B50,lateral,1.0,1.0,1.0,0,,0,27
5A-1-B64,5A-1,lateral,1,1,31.3,31.3,3,0,1,1,1,0.0,,,,28,369.0,15,5A-1-B60,lateral,,,,0,,0,29
5A-1-B65,5A-1,lateral,2,2,55.3,27.7,5,0,1,1,1,0.001,55.3,0.2,,5,55.3,2,5A-1-B64,lateral,1.0,1.0,1.0,0,,0,30
5A-1-B66,5A-1,lateral,3,3,72.0,24.8,4,0,1,1,1,0.054,57.4,19.0,3.03,20,282.4,12,5A-1-B64,lateral,1.0,2.0,2.0,0,,0,30
5A-1-B67,5A-1,lateral,4,4,92.0,22.3,9,1,2,1,0,0.078,69.4,22.6,3.08,9,92.0,4,5A-1-B66,lateral,1.0,1.0,1.0,0,,0,31
5A-1-B68,5A-1,lateral,5,5,118.4,24.0,7,0,1,1,1,0.168,83.6,33.4,2.51,7,118.4,5,5A-1-B66,lateral,1.0,3.0,3.0,0,,0,31
5A-1-B69,5A-1,lateral,10,10,269.5,29.1,8,1,2,1,0,0.716,196.7,68.8,2.86,182,2065.3,80,5A-1-B73,lateral,1.0,6.0,6.0,0,,0,24
5A-1-B71,5A-1,lateral,1,1,19.7,19.7,3,0,1,1,1,0.0,,,,3,19.7,1,5A-1-B69,lateral,,,,0,,0,25
5A-1-B72,5A-1,lateral,6,6,136.0,22.2,7,1,2,1,0,0.156,83.0,37.5,2.21,36,399.7,17,5A-1-B69,lateral,1.0,4.0,4.0,0,,0,25
5A-1-B73,5A-1,lateral,5,5,169.6,36.6,10,1,2,1,0,0.317,118.6,53.4,2.22,228,2440.3,92,5A-1-B75,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B74,5A-1,lateral,7,7,205.4,30.0,36,1,2,1,0,0.251,165.5,23.4,7.06,36,205.4,7,5A-1-B73,lateral,1.0,4.0,4.0,0,,0,24
5A-1-B75,5A-1,lateral,1,1,22.7,22.7,0,0,1,1,1,0.0,,,,230,2545.3,96,5A-1-B77,lateral,,,,0,,0,22
5A-1-B76,5A-1,lateral,3,3,82.4,27.6,2,0,1,1,1,0.001,82.4,0.2,,2,82.4,3,5A-1-B75,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B77,5A-1,lateral,4,4,149.8,37.4,3,0,1,1,1,0.001,149.8,0.1,,265,3193.5,116,5A-1-B83,lateral,1.0,3.0,3.0,0,,0,21
5A-1-B78,5A-1,lateral,2,2,52.3,26.1,1,0,1,1,1,0.0,52.3,0.0,,32,498.4,16,5A-1-B77,lateral,1.0,1.0,1.0,0,,0,22
5A-1-B79,5A-1,lateral,7,7,224.3,30.4,13,0,1,1,1,0.353,210.4,33.3,6.33,13,224.3,7,5A-1-B78,lateral,1.0,6.0,6.0,0,,0,23
5A-1-B79.A,5A-1,lateral,1,1,22.9,22.9,0,0,1,1,1,0.0,,,,2,117.6,4,5A-1-A79,lateral,,,,0,,0,24
5A-1-B80,5A-1,lateral,2,2,60.9,30.5,0,0,1,1,1,0.0,60.9,0.0,,18,221.9,7,5A-1-B78,lateral,1.0,1.0,1.0,0,,0,23
5A-1-B81,5A-1,lateral,4,4,123.0,29.1,14,0,1,1,1,0.169,88.1,31.3,2.81,14,123.0,4,5A-1-B80,lateral,1.0,3.0,3.0,0,,0,24
5A-1-B82,5A-1,lateral,1,1,38.0,38.0,4,0,1,1,1,0.0,,,,4,38.0,1,5A-1-B80,lateral,,,,0,,0,24
5A-1-B83,5A-1,lateral,10,10,342.5,32.9,7,0,2,2,0,0.867,297.2,45.0,6.6,294,3849.5,137,5A-1-B104,lateral,1.0,8.0,8.0,0,,0,20
5A-1-B84,5A-1,lateral,1,1,25.8,25.8,1,0,1,1,1,0.0,,,,24,344.6,12,5A-1-B83,lateral,,,,0,,0,21
5A-1-B85,5A-1,lateral,1,1,25.0,25.0,2,0,1,1,1,0.0,,,,4,60.2,2,5A-1-B84,lateral,,,,0,,0,22
5A-1-B86,5A-1,lateral,8,8,227.6,26.8,17,1,2,1,0,0.521,155.6,53.9,2.89,17,227.6,8,5A-1-B84,lateral,1.0,6.0,6.0,0,,0,22
5A-1-B87,5A-1,lateral,6,6,169.7,29.8,6,1,3,2,0,0.478,110.6,71.6,1.54,128,794.2,28,5A-1-B85,lateral,1.0,2.0,2.0,0,,0,23
5A-1-B88,5A-1,lateral,7,7,194.5,26.4,9,2,3,1,0,0.347,114.9,44.7,2.57,25,362.6,13,5A-1-B87,lateral,1.0,3.0,3.0,0,,0,24
5A-1-B89,5A-1,lateral,3,3,71.4,22.8,14,0,1,1,1,0.046,64.3,14.2,4.52,14,71.4,3,5A-1-B88,lateral,1.0,2.0,2.0,0,,0,25
5A-1-B90,5A-1,lateral,3,3,96.7,30.6,2,0,1,1,1,0.001,96.7,0.2,,2,96.7,3,5A-1-B88,lateral,1.0,3.0,3.0,0,,1,25
