SRC,reaches,km,pct_of_pipe,corridor_km,used_pct
auto_block,7983,311.4,16.5,319.8,97.4
auto_link,2301,92.2,4.9,92.3,99.9
auto_road,3155,520.7,27.7,604.3,86.2
draft,7324,911.8,48.4,1195.4,76.3
trunk/other,173,46.8,2.5,,
