SUBNET,KM,PLOTS,JOIN_X,JOIN_Y,JOIN_Z
175,0.08,3,449147.8,2567800.2,352.37
150,0.08,2,451912.9,2566691.1,353.45
149,0.07,4,451133.9,2567085.2,353.99
209,0.07,8,469981.2,2574817.4,465.59
211,0.06,7,472398.0,2573518.1,478.79
213,0.05,0,473588.7,2572182.6,494.85
177,0.02,0,445197.2,2567665.7,337.69
201,0.02,1,461980.6,2578927.1,426.82
202,0.02,1,469503.4,2564325.9,417.45
186,0.02,0,442580.4,2568784.8,333.78
190,0.01,0,440655.1,2570219.3,344.97
193,0.01,0,440290.5,2570697.4,345.62
185,0.01,1,452596.6,2573123.5,381.48
203,0.01,0,470903.8,2563821.6,423.88
