ZONE2,plots,landuses,pkg,len_m,chambers,props_direct
5A-1-B163,1,0,5A-1,42.7,2,5
5A-1-B164,3,0,5A-1,20.9,1,2
5A-1-B165,7,0,5A-1,74.3,3,13
5A-1-B166,9,1,5A-1,113.8,5,32
5A-1-B169,7,0,5A-1,178.0,6,4
5A-1-B170,6,2,5A-1,111.0,4,20
5A-1-B171,6,0,5A-1,81.2,3,3
5A-1-B172,3,1,5A-1,22.2,1,13
5A-1-B173,14,1,5A-1,157.4,6,39
5A-1-B175,3,0,5A-1,82.8,3,4
5A-1-B176,3,0,5A-1,82.5,3,5
5A-1-B177,6,1,5A-1,114.3,5,11
5A-1-B178,1,0,5A-1,47.3,2,0
5A-1-B179,3,2,5A-1,71.0,3,1
5A-1-B180,3,0,5A-1,39.5,1,7
5A-1-B181,1,0,5A-1,27.1,1,2
5A-1-B182,11,1,5A-1,193.9,8,33
5A-1-B183,4,1,5A-1,92.5,4,7
5A-1-B186,1,0,5A-1,118.3,4,4
5A-1-B187,17,2,5A-1,296.4,13,53
5A-1-B189,12,2,5A-1,113.4,5,27
5A-1-B190,1,0,5A-1,104.0,3,0
5A-1-B191,9,1,5A-1,189.8,7,5
5A-1-B192,5,0,5A-1,55.9,2,6
5A-1-B193,2,1,5A-1,79.5,3,0
5A-1-B194,5,0,5A-1,39.2,2,1
5A-1-B195,5,0,5A-1,88.2,4,12
5A-1-B197,1,0,5A-1,55.6,2,1
5A-1-B198,16,0,5A-1,264.2,11,15
5A-1-B20,4,1,5A-1,147.7,4,2
5A-1-B200,7,1,5A-1,144.0,6,54
5A-1-B201,7,0,5A-1,165.4,6,10
5A-1-B202,1,0,5A-1,34.3,1,1
5A-1-B203,8,1,5A-1,68.0,3,2
5A-1-B204,9,1,5A-1,85.9,3,10
5A-1-B205,3,2,5A-1,151.7,5,3
5A-1-B206,5,1,5A-1,152.1,5,11
5A-1-B207,9,0,5A-1,109.0,4,11
5A-1-B208,9,1,5A-1,51.8,2,6
5A-1-B209,35,2,5A-1,816.9,24,18
5A-1-B21,1,0,5A-1,44.1,1,4
5A-1-B210,3,1,5A-1,98.0,3,3
5A-1-B211,5,1,5A-1,71.1,2,6
5A-1-B212,2,0,5A-1,33.0,1,1
5A-1-B213,15,1,5A-1,191.5,8,16
5A-1-B215,6,0,5A-1,51.7,2,4
5A-1-B216,1,1,5A-1,23.7,1,6
5A-1-B218,7,0,5A-1,126.3,4,5
5A-1-B22,8,1,5A-1,176.2,5,7
5A-1-B220,10,1,5A-1,154.2,5,9
5A-1-B221,1,0,5A-1,72.0,2,0
5A-1-B222,6,0,5A-1,291.6,10,44
5A-1-B223,5,0,5A-1,60.8,2,11
5A-1-B225,8,1,5A-1,88.1,3,24
5A-1-B226,8,0,5A-1,98.3,4,4
5A-1-B227,3,0,5A-1,83.7,3,1
5A-1-B228,3,0,5A-1,55.8,2,25
5A-1-B229,1,0,5A-1,58.9,2,0
5A-1-B23,4,1,5A-1,37.6,1,2
5A-1-B230,8,0,5A-1,89.9,3,5
5A-1-B232,17,2,5A-1,213.6,7,67
5A-1-B233,4,0,5A-1,60.0,2,3
5A-1-B234,4,0,5A-1,71.4,3,2
5A-1-B235,14,0,5A-1,153.0,5,22
5A-1-B237,7,0,5A-1,71.0,2,4
5A-1-B238,4,0,5A-1,65.4,2,0
5A-1-B239,5,0,5A-1,42.5,2,4
5A-1-B24,1,0,5A-1,131.1,4,9
5A-1-B240,8,1,5A-1,91.4,4,88
5A-1-B241,2,2,5A-1,89.9,3,0
5A-1-B242,5,1,5A-1,132.5,4,6
5A-1-B243,8,0,5A-1,75.2,2,32
5A-1-B244,19,2,5A-1,342.6,12,6
5A-1-B245,3,0,5A-1,43.9,2,0
5A-1-B246,4,0,5A-1,30.8,1,25
5A-1-B247,5,0,5A-1,64.8,2,6
5A-1-B248,12,0,5A-1,284.8,8,62
5A-1-B25,2,0,5A-1,100.1,3,32
5A-1-B26,6,2,5A-1,267.6,8,0
5A-1-B28,7,0,5A-1,71.6,2,1
5A-1-B29,7,1,5A-1,106.9,3,3
5A-1-B30,3,0,5A-1,29.3,1,4
5A-1-B31,2,0,5A-1,35.7,1,6
5A-1-B32,2,0,5A-1,81.9,3,4
5A-1-B33,1,0,5A-1,67.5,2,4
5A-1-B34,4,1,5A-1,47.7,2,1
5A-1-B35,5,1,5A-1,64.1,2,3
5A-1-B36,3,0,5A-1,187.7,6,2
5A-1-B37,7,1,5A-1,96.0,3,9
5A-1-B38,2,1,5A-1,46.6,2,1
5A-1-B39,1,0,5A-1,37.2,1,1
5A-1-B40,3,0,5A-1,69.3,3,4
5A-1-B41,14,0,5A-1,324.5,11,9
5A-1-B42,2,0,5A-1,89.2,3,6
5A-1-B43,6,2,5A-1,236.3,8,43
5A-1-B44,4,0,5A-1,90.2,4,11
5A-1-B45,4,0,5A-1,101.8,4,8
5A-1-B46,13,3,5A-1,210.6,7,84
5A-1-B47,15,0,5A-1,158.3,7,16
5A-1-B48,5,0,5A-1,83.7,2,11
5A-1-B49,14,0,5A-1,140.8,6,9
5A-1-B50,4,0,5A-1,126.9,5,17
5A-1-B51,13,1,5A-1,153.4,6,43
