BR_ID,KM,PLOTS,PROPS,POP,Q_M3D,M_PER_PRP,M_PER_M3D,N_LIFT,LIFT_M,OUT_X,OUT_Y,OUT_Z,ROUTE_KM,VILLAGE
1590,0.013,1,0.0,0,0.0,13232484684.6,13232484684.6,0,0.0,460909.8,2577125.4,421.9,88.13,AL DIREZ
1726,0.013,0,0.0,0,0.0,13486853574.7,13486853574.7,0,0.0,476916.7,2575544.9,519.1,97.91,-
1072,0.013,0,0.0,0,0.0,12700699181.5,12700699181.5,0,0.0,465241.7,2566925.4,399.9,71.06,-
53,0.013,2,2.9,15,2.16,4.4,6.0,0,0.0,443911.9,2565006.8,330.0,10.33,-
536,0.013,0,0.0,0,0.0,12649110640.7,12649110640.7,0,0.0,449041.9,2573325.6,378.2,33.71,-
423,0.013,1,1.5,8,1.08,8.6,11.6,0,0.0,448549.6,2571320.0,368.7,30.38,-
1488,0.013,0,0.0,0,0.0,12877595336.0,12877595336.0,0,0.0,464888.2,2577427.5,438.5,80.39,-
310,0.013,0,0.0,0,0.0,12623979081.9,12623979081.9,0,0.0,442731.8,2569898.7,341.2,27.08,-
1311,0.013,0,0.0,0,0.0,13223420631.4,13223420631.4,0,0.0,463142.7,2577706.0,430.6,76.42,-
1630,0.012,1,1.0,5,0.742,11.7,15.7,0,0.0,472863.7,2573262.7,480.8,90.78,-
372,0.012,0,0.0,0,0.0,12044359375.1,12044359375.1,0,0.0,447002.2,2572667.9,378.3,29.24,-
1327,0.012,0,0.0,0,0.0,12369316876.9,12369316876.9,0,0.0,461963.3,2578062.4,426.3,76.66,-
1636,0.012,0,0.0,0,0.0,11563342069.7,11563342069.7,0,0.0,462042.6,2579787.5,434.7,90.92,-
1395,0.012,1,0.0,0,0.0,12003031558.2,12003031558.2,0,0.0,460492.1,2576676.8,419.5,77.88,-
1336,0.012,0,0.0,0,0.0,12000000000.0,12000000000.0,0,0.0,463096.9,2577600.5,430.8,76.86,-
1052,0.012,1,0.0,0,0.0,11847776367.9,11847776367.9,0,0.0,457323.4,2577364.3,413.0,68.36,-
1061,0.012,1,0.0,0,0.0,12105308746.2,12105308746.2,0,0.0,451386.2,2566259.0,347.9,64.96,-
352,0.012,1,0.0,0,0.0,12020251195.0,12020251195.0,0,0.0,447201.5,2572437.3,376.9,28.67,-
1491,0.012,0,0.0,0,0.0,11931612442.5,11931612442.5,0,0.0,467120.9,2577180.3,454.9,79.75,-
1369,0.012,2,2.9,15,2.16,4.1,5.5,0,0.0,465042.7,2578739.3,436.4,77.47,-
290,0.012,0,0.0,0,0.0,12369316876.9,12369316876.9,0,0.0,449439.2,2565744.6,343.5,25.98,-
1612,0.012,1,1.5,8,1.08,8.0,10.8,0,0.0,473166.7,2574099.0,482.4,89.83,-
185,0.012,2,1.0,5,0.742,12.3,16.6,0,0.0,445913.5,2568237.2,342.5,19.33,-
1489,0.012,0,0.0,0,0.0,11704699910.7,11704699910.7,0,0.0,467148.0,2577187.1,465.1,79.78,-
991,0.012,1,0.0,0,0.0,12252161239.2,12252161239.2,0,0.0,462910.2,2567415.5,390.0,62.66,-
731,0.012,1,0.0,0,0.0,12083045973.6,12083045973.6,0,0.0,457531.2,2568274.6,374.3,48.07,-
1410,0.012,0,0.0,0,0.0,11606152237.7,11606152237.7,0,0.0,466605.2,2577298.5,444.8,78.08,-
