n,min,mean,max,p5,p25,p50,p75,p95,metric
532,1.0,9.1,80.0,1.0,3.0,6.0,12.0,29.0,plots
532,0.0,0.61,4.0,0.0,0.0,0.0,1.0,2.0,landuses
