FEATUREID,PKG,TIER,props_up,len_up_m,qadf_m3d,pf,qpk_ls,od_built_mm,dn_our_rules,slope_built_pct,slope_req_pct,slope_ratio,dod_built,v_built_ms,surcharged,dod_limit,over_dod,under_self_cleansing,over_vmax,depth_ds_m
L011706,5A-5,lateral,47.0,1414.2,41.27,3.57,1.7,160,200,0.503,0.5,1.01,0.267,0.447,0,0.65,0,1,0,4.069999999999993
L012052,5A-5,sub_main,406.0,9637.5,354.68,3.0,12.33,160,200,0.365,0.5,0.73,,,1,0.65,0,0,0,6.13900000000001
L012337,5A-5,lateral,23.0,253.3,19.88,3.57,0.82,160,200,0.578,0.5,1.16,0.18,0.377,0,0.65,0,1,0,3.5
L011704,5A-5,lateral,1.0,29.9,0.88,3.57,0.04,160,200,0.601,0.5,1.2,0.043,0.138,0,0.65,0,1,0,1.79000000000002
L012051,5A-5,sub_main,359.0,8202.2,313.39,3.05,11.06,160,200,0.364,0.5,0.73,,,1,0.65,0,0,0,6.182000000000016
L012050,5A-5,sub_main,359.0,8182.7,313.38,3.05,11.06,160,200,0.363,0.5,0.73,,,1,0.65,0,0,0,6.050999999999988
L012338,5A-5,lateral,23.0,225.6,19.86,3.57,0.82,160,200,0.607,0.5,1.21,0.178,0.383,0,0.65,0,1,0,3.319999999999993
L012457,5A-5,lateral,16.0,323.8,13.94,3.57,0.58,160,200,0.618,0.5,1.24,0.149,0.346,0,0.65,0,1,0,2.75
L011629,5A-5,lateral,16.0,276.2,13.9,3.57,0.57,160,200,0.616,0.5,1.23,0.149,0.345,0,0.65,0,1,0,1.836999999999989
L011993,5A-5,trunk_main,516.0,17464.3,454.53,2.92,15.34,200,250,0.21,0.375,0.56,,,1,0.65,0,0,0,4.326000000000022
L011630,5A-5,lateral,16.0,299.3,13.92,3.57,0.57,160,200,0.613,0.5,1.23,0.15,0.345,0,0.65,0,1,0,2.38900000000001
L012453,5A-5,lateral,11.0,128.8,9.51,3.57,0.39,160,200,0.599,0.5,1.2,0.126,0.303,0,0.65,0,1,0,3.610000000000014
L012459,5A-5,lateral,22.0,500.0,19.2,3.57,0.79,160,200,0.611,0.5,1.22,0.174,0.38,0,0.65,0,1,0,2.230000000000018
L012452,5A-5,lateral,8.0,92.1,6.92,3.57,0.29,160,200,0.597,0.5,1.19,0.108,0.274,0,0.65,0,1,0,3.289999999999964
L011994,5A-5,trunk_main,492.0,16929.0,433.59,2.93,14.71,200,200,0.208,0.5,0.42,,,1,0.65,0,0,0,2.912000000000035
L012460,5A-5,lateral,22.0,475.7,19.19,3.57,0.79,160,200,0.611,0.5,1.22,0.174,0.38,0,0.65,0,1,0,2.010999999999967
L012461,5A-5,lateral,18.0,390.9,15.7,3.57,0.65,160,200,0.496,0.5,0.99,0.167,0.332,0,0.65,0,1,0,2.839999999999975
L012049,5A-5,sub_main,359.0,8143.8,313.35,3.05,11.06,160,200,0.364,0.5,0.73,,,1,0.65,0,0,0,5.349999999999966
L012336,5A-5,lateral,32.0,38.8,27.44,3.57,1.13,160,200,1.108,0.5,2.22,0.179,0.523,0,0.65,0,1,0,1.259999999999991
L012339,5A-5,lateral,23.0,195.9,19.84,3.57,0.82,160,200,0.616,0.5,1.23,0.177,0.385,0,0.65,0,1,0,3.019999999999982
L012048,5A-5,sub_main,306.0,7268.5,267.32,3.11,9.62,160,200,0.366,0.5,0.73,0.839,0.603,0,0.65,1,1,0,4.916999999999973
L012041,5A-5,lateral,53.0,838.7,46.0,3.57,1.9,160,200,0.503,0.5,1.01,0.281,0.462,0,0.65,0,1,0,2.92999999999995
L012047,5A-5,sub_main,306.0,7237.2,267.3,3.11,9.62,160,200,0.362,0.5,0.72,0.845,0.599,0,0.65,1,1,0,4.861999999999966
L012343,5A-5,lateral,52.0,818.9,45.13,3.57,1.86,160,200,0.5,0.5,1.0,0.279,0.458,0,0.65,0,1,0,3.160000000000025
L012340,5A-5,lateral,22.0,158.6,18.96,3.57,0.78,160,200,0.585,0.5,1.17,0.175,0.373,0,0.65,0,1,0,1.189999999999998
L012348,5A-5,lateral,10.0,201.0,8.71,3.57,0.36,160,200,0.474,0.5,0.95,0.128,0.272,0,0.65,0,1,0,2.300000000000011
L012344,5A-5,lateral,42.0,595.9,36.4,3.57,1.5,160,200,0.482,0.5,0.96,0.253,0.424,0,0.65,0,1,0,3.54000000000002
L012334,5A-5,lateral,32.0,115.6,27.49,3.57,1.14,160,200,1.098,0.5,2.2,0.18,0.522,0,0.65,0,1,0,2.039999999999964
L012335,5A-5,lateral,32.0,77.4,27.46,3.57,1.13,160,200,1.115,0.5,2.23,0.179,0.524,0,0.65,0,1,0,1.680000000000007
L012451,5A-5,lateral,8.0,59.8,6.9,3.57,0.28,160,200,0.599,0.5,1.2,0.108,0.274,0,0.65,0,1,0,2.37700000000001
L011599,5A-5,lateral,4.0,17.8,3.44,3.57,0.14,160,200,0.596,0.5,1.19,0.079,0.218,0,0.65,0,1,0,2.676000000000045
