SRC,km,wadi_km,dual_km,plotin_km,surplus_km,removable_km,wadi_pct,dual_pct,plotin_pct,surplus_pct,removable_pct
auto_block,311.4,14.6,0.05,46.7,30.0,21.9,4.7,0.0,15.0,9.6,7.0
auto_link,92.2,6.5,0.14,21.1,7.5,4.7,7.0,0.2,22.9,8.1,5.1
auto_road,520.7,60.0,2.68,46.5,82.4,59.6,11.5,0.5,8.9,15.8,11.4
draft,911.8,49.5,0.43,15.5,73.4,30.4,5.4,0.0,1.7,8.1,3.3
trunk/other,46.8,5.4,0.34,1.6,1.7,0.7,11.5,0.7,3.4,3.6,1.5
