DEPTH_M,EXC_M,STATUS,MAXDEPTH_NOPS,recover_m,best_depth,q,diff
13.383,70.2,REBREACH,14.31,70.18293173612393,1.65,684.9507528037358,0.0
13.389,23.2,REBREACH,14.72,23.181611252055752,1.6,76.82235277380106,0.0
13.394,364.4,REBREACH,13.98,364.41724800572416,1.8,1310.2021218284444,0.0
13.408,47.8,REBREACH,14.07,47.79204052171984,1.6,44.52397520122119,0.0
13.469,54.0,CONVERGED,13.47,54.014845615822246,-3.1263137573843665,25.075830863978,0.0
13.494,43.0,REBREACH,13.8,42.98003171857158,1.6,9.913815744,0.0
13.513,105.1,REBREACH,14.75,105.05544609116528,1.6,64.75954624114557,0.0
13.517,1189.5,CONVERGED,13.52,159.3259597622741,0.9410272834338116,75.47622122438625,1030.2
13.574,21.3,REBREACH,16.62,21.340568430061158,1.6,6.478687487999999,0.0
13.583,135.0,REBREACH,14.04,134.99593759016744,1.6,402.199634975601,0.0
13.585,161.8,REBREACH,14.26,161.75003283623315,1.6,170.31042029339795,0.0
13.595,36.9,REBREACH,13.6,36.89769152546487,1.6,56.92587771044365,0.0
13.599,346.3,REBREACH,15.73,346.3154812599171,1.9,2641.9256652957724,0.0
13.661,234.8,CONVERGED,13.66,41.29019436289498,-4.527812087009238,7.558468735999999,193.5
13.665,55.7,REBREACH,14.69,55.70754410251607,1.715,913.0639920698328,0.0
13.762,260.3,REBREACH,14.0,260.3400826595675,1.6,117.51344721439963,0.0
13.796,141.4,REBREACH,15.44,141.42160677232712,1.6,171.62295848570972,0.0
13.819,230.0,REBREACH,15.76,230.03170339883164,1.6,59.47700923044364,0.0
13.828,24.6,REBREACH,20.76,24.609796870835662,-13.34307652535341,9.718031232,0.0
13.83,295.4,REBREACH,15.5,295.3628224362772,1.6,396.40414055872,0.0
13.911,63.6,REBREACH,13.91,63.62904296864953,1.8,1395.610900124019,0.0
13.974,198.5,REBREACH,14.24,198.4581133915658,1.6,8.400983054443639,0.0
13.993,1609.9,REBREACH,14.5,1609.8529288043153,1.6,1.821389248,0.0
14.088,339.6,REBREACH,15.61,339.6482827261274,1.8,1558.4195838749993,0.0
14.102,153.5,REBREACH,14.65,153.50412490963083,1.65,453.9471845524241,0.0
14.112,36.1,REBREACH,16.95,36.09893507044893,1.6,85.57963241294632,0.0
14.176,632.2,REBREACH,27.61,632.2467720648965,1.6,2.966432,0.0
