n,min,mean,max,p5,p25,p50,p75,p95,tier,metric
1675,334.03,350.61,378.9,335.72,339.3,342.16,366.24,370.61,lateral,ground_level_m
322,333.61,349.1,374.88,334.76,338.32,341.33,363.7,369.69,sub_main,ground_level_m
145,334.43,358.7,366.94,335.84,355.24,362.54,365.01,366.27,trunk_main,ground_level_m
