MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0621,Sanitary Pattern Load,0.0297,Fixed
MH-0346,Sanitary Pattern Load,0.1586,Fixed
MH-1613,Sanitary Pattern Load,0.0397,Fixed
MH-1594,Sanitary Pattern Load,0.0099,Fixed
MH-1405,Sanitary Pattern Load,0.0198,Fixed
MH-0381,Sanitary Pattern Load,0.0099,Fixed
MH-1126,Sanitary Pattern Load,0.0099,Fixed
MH-1005,Sanitary Pattern Load,0.0099,Fixed
MH-0695,Sanitary Pattern Load,0.0694,Fixed
MH-0280,Sanitary Pattern Load,0.0099,Fixed
MH-0179,Sanitary Pattern Load,0.0397,Fixed
MH-1736,Sanitary Pattern Load,0.0099,Fixed
MH-1606,Sanitary Pattern Load,0.0099,Fixed
MH-0323,Sanitary Pattern Load,0.0099,Fixed
MH-0233,Sanitary Pattern Load,0.0099,Fixed
MH-0649,Sanitary Pattern Load,0.0595,Fixed
MH-0972,Sanitary Pattern Load,0.0991,Fixed
MH-1384,Sanitary Pattern Load,0.0198,Fixed
MH-1498,Sanitary Pattern Load,0.0198,Fixed
MH-1538,Sanitary Pattern Load,0.0099,Fixed
MH-1473,Sanitary Pattern Load,0.0099,Fixed
MH-1519,Sanitary Pattern Load,0.0198,Fixed
MH-1535,Sanitary Pattern Load,0.0198,Fixed
MH-1525,Sanitary Pattern Load,0.0496,Fixed
MH-1561,Sanitary Pattern Load,0.0397,Fixed
MH-1515,Sanitary Pattern Load,0.0297,Fixed
MH-1500,Sanitary Pattern Load,0.0099,Fixed
MH-1463,Sanitary Pattern Load,0.0099,Fixed
MH-1076,Sanitary Pattern Load,0.0198,Fixed
MH-1036,Sanitary Pattern Load,0.0198,Fixed
MH-1006,Sanitary Pattern Load,0.0099,Fixed
MH-1057,Sanitary Pattern Load,0.0198,Fixed
MH-0830,Sanitary Pattern Load,0.0198,Fixed
MH-0992,Sanitary Pattern Load,0.0397,Fixed
MH-0954,Sanitary Pattern Load,0.0099,Fixed
MH-0986,Sanitary Pattern Load,0.0297,Fixed
MH-0946,Sanitary Pattern Load,0.0099,Fixed
MH-0917,Sanitary Pattern Load,0.0198,Fixed
MH-0940,Sanitary Pattern Load,0.0099,Fixed
MH-0971,Sanitary Pattern Load,0.0198,Fixed
MH-0938,Sanitary Pattern Load,0.0099,Fixed
MH-0881,Sanitary Pattern Load,0.0198,Fixed
MH-0967,Sanitary Pattern Load,0.0198,Fixed
MH-1047,Sanitary Pattern Load,0.0099,Fixed
MH-0905,Sanitary Pattern Load,0.0694,Fixed
MH-1114,Sanitary Pattern Load,0.228,Fixed
MH-0696,Sanitary Pattern Load,0.0099,Fixed
MH-0758,Sanitary Pattern Load,0.0397,Fixed
MH-0787,Sanitary Pattern Load,0.0297,Fixed
MH-0336,Sanitary Pattern Load,0.0099,Fixed
MH-0298,Sanitary Pattern Load,0.0099,Fixed
MH-0279,Sanitary Pattern Load,0.0496,Fixed
MH-0192,Sanitary Pattern Load,0.0198,Fixed
MH-0212,Sanitary Pattern Load,0.0198,Fixed
MH-0665,Sanitary Pattern Load,0.0099,Fixed
MH-0253,Sanitary Pattern Load,0.0496,Fixed
MH-0186,Sanitary Pattern Load,0.0297,Fixed
MH-0150,Sanitary Pattern Load,0.0099,Fixed
MH-0167,Sanitary Pattern Load,0.0496,Fixed
MH-0099,Sanitary Pattern Load,0.0297,Fixed
MH-0232,Sanitary Pattern Load,0.0297,Fixed
MH-0052,Sanitary Pattern Load,0.0099,Fixed
MH-0038,Sanitary Pattern Load,0.0496,Fixed
MH-0025,Sanitary Pattern Load,0.0198,Fixed
MH-0040,Sanitary Pattern Load,0.0397,Fixed
MH-1772,Sanitary Pattern Load,0.0198,Fixed
MH-1773,Sanitary Pattern Load,0.0198,Fixed
MH-1806,Sanitary Pattern Load,0.0496,Fixed
MH-1896,Sanitary Pattern Load,0.0099,Fixed
MH-1880,Sanitary Pattern Load,0.0099,Fixed
MH-1845,Sanitary Pattern Load,0.0397,Fixed
MH-1798,Sanitary Pattern Load,0.0198,Fixed
MH-1763,Sanitary Pattern Load,0.0297,Fixed
MH-1810,Sanitary Pattern Load,0.0397,Fixed
MH-1759,Sanitary Pattern Load,0.0297,Fixed
MH-1603,Sanitary Pattern Load,0.0099,Fixed
MH-1501,Sanitary Pattern Load,0.0397,Fixed
MH-1447,Sanitary Pattern Load,0.0694,Fixed
MH-0951,Sanitary Pattern Load,0.0099,Fixed
MH-0882,Sanitary Pattern Load,0.0397,Fixed
MH-1130,Sanitary Pattern Load,0.0198,Fixed
MH-1033,Sanitary Pattern Load,0.0694,Fixed
MH-0953,Sanitary Pattern Load,0.0892,Fixed
MH-0975,Sanitary Pattern Load,0.0099,Fixed
MH-0915,Sanitary Pattern Load,0.0297,Fixed
MH-0873,Sanitary Pattern Load,0.119,Fixed
MH-0777,Sanitary Pattern Load,0.0595,Fixed
MH-0786,Sanitary Pattern Load,0.0297,Fixed
MH-0684,Sanitary Pattern Load,0.0397,Fixed
MH-0699,Sanitary Pattern Load,0.0397,Fixed
MH-1108,Sanitary Pattern Load,0.1685,Fixed
MH-0958,Sanitary Pattern Load,0.1487,Fixed
MH-0391,Sanitary Pattern Load,0.0496,Fixed
MH-0343,Sanitary Pattern Load,0.0099,Fixed
MH-0760,Sanitary Pattern Load,0.109,Fixed
MH-0640,Sanitary Pattern Load,0.0099,Fixed
MH-0434,Sanitary Pattern Load,0.0397,Fixed
MH-0660,Sanitary Pattern Load,0.0099,Fixed
MH-0235,Sanitary Pattern Load,0.1289,Fixed
MH-0265,Sanitary Pattern Load,0.0099,Fixed
MH-1234,Sanitary Pattern Load,0.0892,Fixed
MH-0254,Sanitary Pattern Load,0.0397,Fixed
MH-0304,Sanitary Pattern Load,0.0198,Fixed
MH-0129,Sanitary Pattern Load,0.0297,Fixed
MH-0592,Sanitary Pattern Load,0.0793,Fixed
MH-0425,Sanitary Pattern Load,0.0892,Fixed
MH-1233,Sanitary Pattern Load,0.0496,Fixed
MH-1364,Sanitary Pattern Load,0.0099,Fixed
MH-1749,Sanitary Pattern Load,0.0694,Fixed
MH-1078,Sanitary Pattern Load,0.0198,Fixed
MH-1048,Sanitary Pattern Load,0.0793,Fixed
MH-1224,Sanitary Pattern Load,0.0397,Fixed
MH-1139,Sanitary Pattern Load,0.0099,Fixed
MH-1322,Sanitary Pattern Load,0.0198,Fixed
MH-1712,Sanitary Pattern Load,0.0198,Fixed
MH-1708,Sanitary Pattern Load,0.0198,Fixed
MH-1142,Sanitary Pattern Load,0.0099,Fixed
MH-1257,Sanitary Pattern Load,0.0397,Fixed
MH-1677,Sanitary Pattern Load,0.0496,Fixed
MH-1691,Sanitary Pattern Load,0.0496,Fixed
MH-1686,Sanitary Pattern Load,0.0099,Fixed
MH-1699,Sanitary Pattern Load,0.0297,Fixed
MH-1678,Sanitary Pattern Load,0.0099,Fixed
MH-1671,Sanitary Pattern Load,0.0099,Fixed
MH-1658,Sanitary Pattern Load,0.0198,Fixed
MH-1660,Sanitary Pattern Load,0.0099,Fixed
MH-1654,Sanitary Pattern Load,0.0099,Fixed
MH-1323,Sanitary Pattern Load,0.0099,Fixed
MH-1302,Sanitary Pattern Load,0.0297,Fixed
MH-1469,Sanitary Pattern Load,0.0198,Fixed
MH-1651,Sanitary Pattern Load,0.0198,Fixed
MH-1287,Sanitary Pattern Load,0.0297,Fixed
MH-1380,Sanitary Pattern Load,0.0297,Fixed
MH-1470,Sanitary Pattern Load,0.0198,Fixed
MH-1242,Sanitary Pattern Load,0.0198,Fixed
MH-1231,Sanitary Pattern Load,0.0099,Fixed
MH-1230,Sanitary Pattern Load,0.0099,Fixed
MH-1253,Sanitary Pattern Load,0.0297,Fixed
MH-1306,Sanitary Pattern Load,0.0595,Fixed
MH-1276,Sanitary Pattern Load,0.0198,Fixed
MH-1245,Sanitary Pattern Load,0.0099,Fixed
MH-1330,Sanitary Pattern Load,0.0099,Fixed
MH-1274,Sanitary Pattern Load,0.0099,Fixed
MH-1246,Sanitary Pattern Load,0.0099,Fixed
MH-1220,Sanitary Pattern Load,0.0297,Fixed
MH-1334,Sanitary Pattern Load,0.0099,Fixed
MH-1489,Sanitary Pattern Load,0.0099,Fixed
MH-1357,Sanitary Pattern Load,0.0297,Fixed
MH-1640,Sanitary Pattern Load,0.0397,Fixed
MH-1648,Sanitary Pattern Load,0.0099,Fixed
MH-1643,Sanitary Pattern Load,0.0397,Fixed
MH-1634,Sanitary Pattern Load,0.0397,Fixed
MH-1555,Sanitary Pattern Load,0.0099,Fixed
MH-1566,Sanitary Pattern Load,0.0397,Fixed
MH-1200,Sanitary Pattern Load,0.0099,Fixed
MH-1449,Sanitary Pattern Load,0.0198,Fixed
MH-1546,Sanitary Pattern Load,0.0397,Fixed
MH-1584,Sanitary Pattern Load,0.0198,Fixed
MH-1493,Sanitary Pattern Load,0.0099,Fixed
MH-1348,Sanitary Pattern Load,0.0397,Fixed
MH-1480,Sanitary Pattern Load,0.0198,Fixed
MH-1413,Sanitary Pattern Load,0.0099,Fixed
MH-1597,Sanitary Pattern Load,0.0297,Fixed
MH-1536,Sanitary Pattern Load,0.0198,Fixed
MH-1461,Sanitary Pattern Load,0.0397,Fixed
MH-1521,Sanitary Pattern Load,0.0099,Fixed
MH-1414,Sanitary Pattern Load,0.0198,Fixed
MH-1526,Sanitary Pattern Load,0.0099,Fixed
MH-1540,Sanitary Pattern Load,0.0397,Fixed
MH-1563,Sanitary Pattern Load,0.0198,Fixed
MH-1553,Sanitary Pattern Load,0.0198,Fixed
MH-1554,Sanitary Pattern Load,0.0099,Fixed
MH-1579,Sanitary Pattern Load,0.0198,Fixed
MH-1569,Sanitary Pattern Load,0.0397,Fixed
MH-1491,Sanitary Pattern Load,0.0397,Fixed
MH-1556,Sanitary Pattern Load,0.0198,Fixed
MH-1574,Sanitary Pattern Load,0.0099,Fixed
MH-1570,Sanitary Pattern Load,0.0297,Fixed
MH-1492,Sanitary Pattern Load,0.0198,Fixed
MH-1462,Sanitary Pattern Load,0.0099,Fixed
MH-1417,Sanitary Pattern Load,0.0099,Fixed
MH-1382,Sanitary Pattern Load,0.0099,Fixed
MH-1427,Sanitary Pattern Load,0.0099,Fixed
MH-1410,Sanitary Pattern Load,0.0099,Fixed
MH-1514,Sanitary Pattern Load,0.0198,Fixed
MH-1453,Sanitary Pattern Load,0.0099,Fixed
MH-1422,Sanitary Pattern Load,0.0099,Fixed
MH-1441,Sanitary Pattern Load,0.0099,Fixed
MH-1504,Sanitary Pattern Load,0.0099,Fixed
MH-1438,Sanitary Pattern Load,0.0496,Fixed
MH-1483,Sanitary Pattern Load,0.0099,Fixed
MH-1548,Sanitary Pattern Load,0.0297,Fixed
MH-1465,Sanitary Pattern Load,0.0297,Fixed
MH-1396,Sanitary Pattern Load,0.0198,Fixed
MH-1317,Sanitary Pattern Load,0.0397,Fixed
MH-1363,Sanitary Pattern Load,0.0099,Fixed
MH-1341,Sanitary Pattern Load,0.0297,Fixed
MH-1373,Sanitary Pattern Load,0.0198,Fixed
MH-1377,Sanitary Pattern Load,0.0198,Fixed
MH-1421,Sanitary Pattern Load,0.0198,Fixed
MH-1418,Sanitary Pattern Load,0.0198,Fixed
MH-0781,Sanitary Pattern Load,0.0198,Fixed
MH-1337,Sanitary Pattern Load,0.0099,Fixed
MH-1494,Sanitary Pattern Load,0.0595,Fixed
MH-1446,Sanitary Pattern Load,0.0099,Fixed
MH-1360,Sanitary Pattern Load,0.0099,Fixed
MH-1419,Sanitary Pattern Load,0.0099,Fixed
MH-1428,Sanitary Pattern Load,0.0297,Fixed
MH-0384,Sanitary Pattern Load,0.0099,Fixed
MH-0813,Sanitary Pattern Load,0.0496,Fixed
MH-1370,Sanitary Pattern Load,0.0099,Fixed
MH-1354,Sanitary Pattern Load,0.0297,Fixed
MH-1325,Sanitary Pattern Load,0.0496,Fixed
MH-1295,Sanitary Pattern Load,0.0198,Fixed
MH-1255,Sanitary Pattern Load,0.0099,Fixed
MH-1213,Sanitary Pattern Load,0.0297,Fixed
MH-1236,Sanitary Pattern Load,0.0397,Fixed
MH-1198,Sanitary Pattern Load,0.0099,Fixed
MH-1239,Sanitary Pattern Load,0.0099,Fixed
MH-1201,Sanitary Pattern Load,0.0099,Fixed
MH-1183,Sanitary Pattern Load,0.0297,Fixed
MH-1184,Sanitary Pattern Load,0.0397,Fixed
MH-1141,Sanitary Pattern Load,0.0099,Fixed
MH-1137,Sanitary Pattern Load,0.0099,Fixed
MH-1164,Sanitary Pattern Load,0.0099,Fixed
MH-1113,Sanitary Pattern Load,0.0397,Fixed
MH-1082,Sanitary Pattern Load,0.0099,Fixed
MH-1105,Sanitary Pattern Load,0.0198,Fixed
MH-1180,Sanitary Pattern Load,0.0198,Fixed
MH-1226,Sanitary Pattern Load,0.0099,Fixed
MH-1039,Sanitary Pattern Load,0.0297,Fixed
MH-1127,Sanitary Pattern Load,0.0198,Fixed
MH-1146,Sanitary Pattern Load,0.0297,Fixed
MH-1160,Sanitary Pattern Load,0.0099,Fixed
MH-1143,Sanitary Pattern Load,0.0099,Fixed
MH-1117,Sanitary Pattern Load,0.0099,Fixed
MH-1123,Sanitary Pattern Load,0.0099,Fixed
MH-1081,Sanitary Pattern Load,0.0099,Fixed
MH-1304,Sanitary Pattern Load,0.0198,Fixed
MH-0839,Sanitary Pattern Load,0.0099,Fixed
MH-1228,Sanitary Pattern Load,0.0198,Fixed
MH-0889,Sanitary Pattern Load,0.0297,Fixed
MH-0414,Sanitary Pattern Load,0.0198,Fixed
MH-0437,Sanitary Pattern Load,0.0099,Fixed
MH-1339,Sanitary Pattern Load,0.0297,Fixed
MH-0393,Sanitary Pattern Load,0.0595,Fixed
