LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0001,200,5.0,3.51,0.539,0.284,,,,,
P-0002,200,5.0,1.35,0.405,0.177,,,,,
P-0003,200,9.135,1.56,0.524,0.164,,,,,
P-0004,200,22.31,1.88,0.758,0.144,,,,,
P-0005,200,5.0,1.99,0.456,0.214,,,,,
P-0006,200,-151.261,30.26,1.088,,,,,,
P-0007,315,2.7,30.29,0.748,0.568,,,,,
P-0008,315,2.7,27.36,0.731,0.533,,,,,
P-0009,200,5.0,1.81,0.443,0.204,,,,,
P-0010,200,41.616,0.04,0.253,0.021,,,,,
P-0011,200,5.0,0.18,0.214,0.069,,,,,
P-0012,200,16.448,1.52,0.639,0.141,,,,,
P-0013,200,5.0,1.74,0.438,0.2,,,,,
P-0014,200,5.0,2.09,0.463,0.219,,,,,
P-0015,200,5.0,2.62,0.495,0.245,,,,,
P-0016,200,5.0,0.5,0.297,0.11,,,,,
P-0017,200,5.0,9.31,0.706,0.479,,,,,
P-0018,200,8.679,9.39,0.868,0.412,,,,,
P-0019,200,5.0,1.6,0.427,0.192,,,,,
P-0020,200,5.0,1.81,0.444,0.204,,,,,
P-0021,200,5.0,1.99,0.456,0.214,,,,,
P-0022,200,5.0,2.1,0.463,0.219,,,,,
P-0023,200,5.0,0.04,0.125,0.034,,,,,
P-0024,200,5.0,0.14,0.198,0.062,,,,,
P-0025,200,5.0,0.11,0.182,0.055,,,,,
P-0026,200,5.0,0.29,0.249,0.086,,,,,
P-0027,200,5.0,0.32,0.259,0.09,,,,,
P-0028,200,5.0,0.43,0.284,0.103,,,,,
P-0029,200,5.0,0.5,0.298,0.111,,,,,
P-0030,500,1.55,59.7,0.716,0.441,,,,,
P-0031,500,1.55,54.08,0.698,0.417,,,,,
P-0032,500,1.55,54.08,0.698,0.417,,,,,
P-0033,500,1.55,54.12,0.698,0.417,,,,,
P-0034,500,1.55,54.17,0.698,0.417,,,,,
P-0035,200,5.0,0.04,0.124,0.034,,,,,
P-0036,200,6.035,1.63,0.459,0.185,,,,,
P-0037,200,5.0,1.96,0.454,0.212,,,,,
P-0038,200,5.0,3.23,0.526,0.272,,,,,
P-0039,200,5.0,3.23,0.526,0.272,,,,,
P-0040,200,5.0,2.3,0.477,0.23,,,,,
P-0041,200,5.0,2.94,0.512,0.26,,,,,
P-0042,200,5.0,3.12,0.521,0.268,,,,,
P-0043,200,5.0,3.16,0.523,0.269,,,,,
P-0044,200,12.853,3.19,0.734,0.213,,,,,
P-0045,200,5.0,3.19,0.525,0.271,,,,,
P-0046,200,5.0,0.0,0.026,0.006,,,,,
P-0047,200,5.0,0.04,0.125,0.034,,,,,
P-0048,200,5.0,0.5,0.297,0.11,,,,,
P-0049,200,5.0,0.5,0.297,0.11,,,,,
P-0050,200,5.0,0.5,0.298,0.111,,,,,
P-0051,200,5.0,0.82,0.348,0.139,,,,,
P-0052,200,5.0,0.89,0.357,0.145,,,,,
P-0053,200,5.0,0.89,0.357,0.145,,,,,
P-0054,200,5.0,0.57,0.31,0.117,,,,,
P-0055,200,5.0,0.35,0.267,0.094,,,,,
P-0056,200,5.0,0.57,0.31,0.117,,,,,
P-0057,200,5.0,0.57,0.31,0.117,,,,,
P-0058,600,1.25,86.73,0.723,0.441,,,,,
P-0059,600,1.25,86.79,0.723,0.441,,,,,
P-0060,600,1.25,86.79,0.723,0.441,,,,,
P-0061,600,1.265,86.65,0.726,0.439,,,,,
P-0062,600,1.25,86.34,0.722,0.439,,,,,
P-0063,600,1.25,86.34,0.722,0.439,,,,,
P-0064,200,5.0,6.82,0.65,0.403,,,,,
P-0065,200,5.538,7.36,0.689,0.408,,,,,
P-0066,200,7.232,0.11,0.205,0.05,,,,,
P-0067,200,5.0,9.14,0.703,0.475,,,,,
P-0068,200,5.0,0.14,0.199,0.062,,,,,
P-0069,200,15.85,0.25,0.355,0.061,,,,,
P-0070,200,5.0,0.43,0.283,0.103,,,,,
P-0071,250,3.75,18.52,0.751,0.553,,,,,
P-0072,250,3.75,18.24,0.748,0.548,,,,,
P-0073,200,14.423,0.5,0.429,0.086,,,,,
P-0074,200,11.882,0.25,0.321,0.066,,,,,
P-0075,200,19.537,0.14,0.316,0.045,,,,,
P-0076,200,5.0,0.14,0.199,0.062,,,,,
P-0077,200,5.0,0.32,0.258,0.09,,,,,
P-0078,200,5.0,0.21,0.227,0.075,,,,,
P-0079,200,5.0,1.56,0.424,0.19,,,,,
P-0080,200,5.0,1.57,0.424,0.19,,,,,
P-0081,200,5.0,0.07,0.157,0.046,,,,,
P-0082,200,23.013,0.71,0.565,0.091,,,,,
P-0083,200,53.887,0.04,0.276,0.02,,,,,
P-0084,200,7.228,0.0,0.008,0.002,,,,,
P-0085,200,29.421,0.0,0.045,0.004,,,,,
P-0086,200,5.0,0.14,0.198,0.062,,,,,
P-0087,200,5.0,0.04,0.124,0.034,,,,,
P-0088,200,5.0,0.0,0.025,0.006,,,,,
P-0089,200,5.0,0.0,0.021,0.005,,,,,
P-0090,200,5.0,0.07,0.158,0.046,,,,,
P-0091,200,5.0,0.0,0.028,0.007,,,,,
P-0092,200,5.0,0.0,0.037,0.009,,,,,
P-0093,200,5.0,0.15,0.2,0.063,,,,,
P-0094,200,5.0,0.39,0.275,0.099,,,,,
P-0095,200,5.0,1.28,0.399,0.173,,,,,
P-0096,200,5.0,0.04,0.124,0.034,,,,,
P-0097,200,5.0,0.25,0.238,0.08,,,,,
P-0098,200,5.0,0.14,0.199,0.062,,,,,
P-0099,200,7.637,0.79,0.398,0.124,,,,,
P-0100,200,8.005,10.46,0.867,0.448,,,,,
P-0101,200,-208.878,10.43,0.75,,,,,,
P-0102,200,5.0,0.0,0.024,0.006,,,,,
P-0103,200,5.0,0.0,0.031,0.007,,,,,
P-0104,200,5.0,0.0,0.043,0.01,,,,,
P-0105,250,3.75,17.02,0.736,0.525,,,,,
P-0106,250,3.75,17.19,0.738,0.528,,,,,
P-0107,250,3.75,17.62,0.742,0.536,,,,,
