LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0108,250,3.75,18.56,0.751,0.554,,,,,
P-0109,250,3.75,18.69,0.752,0.556,,,,,
P-0110,250,3.75,18.76,0.753,0.557,,,,,
P-0111,200,5.0,0.11,0.182,0.055,,,,,
P-0112,200,5.0,0.0,0.025,0.006,,,,,
P-0113,200,5.0,0.0,0.038,0.009,,,,,
P-0114,200,10.704,0.0,0.033,0.005,,,,,
P-0115,200,28.308,7.34,1.242,0.265,,,,,
P-0116,200,5.0,7.42,0.665,0.422,,,,,
P-0117,200,5.0,3.64,0.545,0.29,,,,,
P-0118,200,5.0,0.04,0.125,0.034,,,,,
P-0119,200,5.0,2.67,0.498,0.247,,,,,
P-0120,200,5.0,1.99,0.456,0.214,,,,,
P-0121,200,5.0,0.07,0.157,0.046,,,,,
P-0122,200,5.0,0.14,0.198,0.062,,,,,
P-0123,200,5.0,0.04,0.125,0.034,,,,,
P-0124,200,5.0,0.11,0.181,0.055,,,,,
P-0125,200,5.0,0.71,0.333,0.131,,,,,
P-0126,200,5.0,0.11,0.181,0.055,,,,,
P-0127,200,5.0,0.14,0.199,0.062,,,,,
P-0128,200,5.0,0.0,0.025,0.006,,,,,
P-0129,200,8.341,0.04,0.149,0.03,,,,,
P-0130,200,5.0,0.5,0.297,0.11,,,,,
P-0131,200,5.0,0.11,0.181,0.055,,,,,
P-0132,200,7.64,0.0,0.022,0.004,,,,,
P-0133,200,5.0,6.65,0.646,0.397,,,,,
P-0134,200,5.0,7.33,0.663,0.419,,,,,
P-0135,200,5.0,7.42,0.665,0.422,,,,,
P-0136,200,5.0,7.59,0.669,0.427,,,,,
P-0137,200,5.0,7.64,0.67,0.429,,,,,
P-0138,200,5.0,0.57,0.31,0.118,,,,,
P-0139,200,5.0,1.31,0.402,0.175,,,,,
P-0140,200,6.293,1.35,0.44,0.167,,,,,
P-0141,200,5.0,0.82,0.347,0.139,,,,,
P-0142,200,5.0,0.0,0.033,0.008,,,,,
P-0143,200,10.073,0.14,0.252,0.053,,,,,
P-0144,200,5.0,0.36,0.267,0.094,,,,,
P-0145,200,13.224,0.89,0.5,0.115,,,,,
P-0146,200,6.338,1.2,0.426,0.158,,,,,
P-0147,200,19.35,1.38,0.656,0.129,,,,,
P-0148,200,5.0,0.92,0.361,0.148,,,,,
P-0149,200,5.0,0.85,0.352,0.142,,,,,
P-0150,200,12.357,0.92,0.495,0.119,,,,,
P-0151,200,5.0,0.04,0.125,0.034,,,,,
P-0152,200,5.0,1.78,0.441,0.203,,,,,
P-0153,200,5.0,1.5,0.419,0.186,,,,,
P-0154,200,5.0,0.07,0.158,0.046,,,,,
P-0155,200,5.0,0.07,0.158,0.046,,,,,
P-0156,600,1.25,87.98,0.725,0.444,,,,,
P-0157,600,1.25,87.98,0.725,0.444,,,,,
P-0158,400,7.049,87.98,1.402,0.5,,,,,
P-0159,200,5.0,0.18,0.213,0.069,,,,,
P-0160,200,5.0,0.18,0.213,0.069,,,,,
P-0161,200,6.6,0.53,0.335,0.107,,,,,
P-0162,200,5.0,0.0,0.019,0.005,,,,,
P-0163,200,5.0,3.45,0.537,0.282,,,,,
P-0164,200,5.0,3.45,0.537,0.282,,,,,
P-0165,200,5.0,4.26,0.57,0.314,,,,,
P-0166,200,5.0,0.36,0.268,0.095,,,,,
P-0167,200,5.0,2.7,0.499,0.249,,,,,
P-0168,200,5.0,2.77,0.503,0.252,,,,,
P-0169,200,10.372,0.64,0.415,0.104,,,,,
P-0170,200,7.221,0.68,0.372,0.117,,,,,
P-0171,200,5.0,0.96,0.365,0.15,,,,,
P-0172,200,5.0,4.02,0.561,0.304,,,,,
P-0173,200,5.0,4.08,0.563,0.307,,,,,
P-0174,200,5.0,4.08,0.563,0.307,,,,,
P-0175,200,8.895,2.56,0.604,0.21,,,,,
P-0176,200,14.768,2.57,0.722,0.185,,,,,
P-0177,200,16.5,2.6,0.754,0.182,,,,,
P-0178,200,5.0,1.42,0.412,0.182,,,,,
P-0179,200,5.0,1.38,0.409,0.179,,,,,
P-0180,200,5.0,10.01,0.719,0.5,,,,,
P-0181,200,5.0,3.52,0.54,0.284,,,,,
P-0182,200,5.0,3.68,0.547,0.291,,,,,
P-0183,200,5.0,3.83,0.553,0.297,,,,,
P-0184,200,5.0,6.93,0.653,0.406,,,,,
P-0185,200,5.0,6.93,0.653,0.406,,,,,
P-0186,200,5.0,0.0,0.022,0.005,,,,,
P-0187,200,5.0,0.39,0.275,0.099,,,,,
P-0188,200,5.0,1.06,0.377,0.158,,,,,
P-0189,200,5.0,0.15,0.2,0.063,,,,,
P-0190,200,5.0,0.15,0.2,0.063,,,,,
P-0191,200,5.0,0.15,0.2,0.063,,,,,
P-0192,200,5.0,0.07,0.159,0.046,,,,,
P-0193,200,5.0,0.11,0.182,0.055,,,,,
P-0194,200,10.585,2.17,0.61,0.186,,,,,
P-0195,200,7.902,0.72,0.391,0.117,,,,,
P-0196,200,8.336,0.72,0.398,0.116,,,,,
P-0197,200,8.453,0.0,0.042,0.007,,,,,
P-0198,200,5.0,6.87,0.652,0.404,,,,,
P-0199,200,5.0,6.87,0.652,0.404,,,,,
P-0200,200,12.407,1.35,0.558,0.142,,,,,
P-0201,200,10.931,0.68,0.43,0.106,,,,,
P-0202,200,5.0,0.92,0.361,0.148,,,,,
P-0203,200,5.0,3.3,0.53,0.275,,,,,
P-0204,200,6.561,0.71,0.366,0.123,,,,,
P-0205,200,10.464,0.71,0.431,0.11,,,,,
P-0206,200,7.006,0.71,0.375,0.121,,,,,
P-0207,200,5.0,0.0,0.02,0.005,,,,,
P-0208,200,5.0,0.28,0.249,0.085,,,,,
P-0209,315,2.7,23.99,0.708,0.493,,,,,
P-0210,250,3.75,22.11,0.781,0.62,,,,,
P-0211,250,3.75,22.31,0.783,0.623,,,,,
P-0212,250,3.75,22.89,0.787,0.634,,,,,
P-0213,200,14.289,0.36,0.384,0.074,,,,,
P-0214,200,5.0,0.07,0.158,0.046,,,,,
P-0215,250,3.75,18.8,0.754,0.558,,,,,
P-0216,250,3.75,16.29,0.728,0.511,,,,,
P-0217,250,3.75,16.42,0.73,0.514,,,,,
P-0218,200,5.0,0.28,0.249,0.085,,,,,
P-0219,200,5.527,0.04,0.129,0.033,,,,,
P-0220,200,5.0,0.89,0.356,0.145,,,,,
P-0221,200,5.0,10.72,0.731,0.521,,,,,
P-0222,200,5.0,10.88,0.734,0.526,,,,,
P-0223,200,11.112,0.14,0.261,0.052,,,,,
P-0224,200,5.0,0.21,0.227,0.075,,,,,
P-0225,200,13.481,2.66,0.707,0.193,,,,,
P-0226,200,13.101,2.66,0.7,0.194,,,,,
P-0227,200,21.255,2.66,0.829,0.173,,,,,
P-0228,200,7.448,0.85,0.405,0.129,,,,,
P-0229,200,5.0,1.49,0.418,0.186,,,,,
P-0230,200,5.0,1.6,0.427,0.192,,,,,
P-0231,200,5.0,1.67,0.433,0.196,,,,,
P-0232,200,42.602,0.0,0.056,0.004,,,,,
P-0233,200,5.0,0.04,0.126,0.034,,,,,
P-0234,200,5.0,0.43,0.283,0.103,,,,,
P-0235,200,5.0,0.85,0.352,0.142,,,,,
P-0236,200,5.0,1.03,0.373,0.155,,,,,
P-0237,200,5.0,1.1,0.381,0.161,,,,,
P-0238,200,19.279,1.7,0.699,0.143,,,,,
P-0239,200,16.169,1.92,0.682,0.158,,,,,
P-0240,200,5.0,1.92,0.451,0.21,,,,,
P-0241,200,8.308,1.92,0.54,0.185,,,,,
P-0242,200,5.0,0.0,0.024,0.006,,,,,
P-0243,200,5.0,0.0,0.031,0.007,,,,,
P-0244,200,5.0,0.0,0.037,0.009,,,,,
P-0245,200,5.0,0.0,0.041,0.01,,,,,
P-0246,200,5.0,0.0,0.047,0.011,,,,,
P-0247,200,5.0,0.0,0.047,0.011,,,,,
P-0248,200,5.0,0.0,0.038,0.009,,,,,
P-0249,200,5.0,0.04,0.126,0.034,,,,,
P-0250,200,5.0,0.0,0.024,0.006,,,,,
P-0251,200,5.0,0.0,0.017,0.004,,,,,
P-0252,200,5.0,1.31,0.402,0.175,,,,,
P-0253,200,5.0,1.31,0.402,0.175,,,,,
P-0254,200,5.0,0.21,0.227,0.075,,,,,
P-0255,200,5.0,0.39,0.275,0.099,,,,,
P-0256,200,5.0,0.85,0.352,0.142,,,,,
P-0257,200,5.0,0.32,0.258,0.09,,,,,
P-0258,200,22.352,0.0,0.042,0.005,,,,,
P-0259,200,15.28,0.0,0.038,0.005,,,,,
P-0260,200,5.0,0.32,0.258,0.09,,,,,
P-0261,200,5.0,0.43,0.283,0.103,,,,,
P-0262,200,5.0,0.85,0.352,0.142,,,,,
P-0263,200,-196.143,7.47,0.75,,,,,,
P-0264,200,7.026,0.0,0.028,0.006,,,,,
P-0265,200,5.0,1.53,0.421,0.188,,,,,
P-0266,200,5.0,0.0,0.052,0.012,,,,,
P-0267,200,5.0,0.0,0.018,0.005,,,,,
P-0268,200,5.0,0.0,0.056,0.013,,,,,
P-0269,200,5.0,3.27,0.528,0.274,,,,,
P-0270,200,5.0,4.26,0.57,0.314,,,,,
P-0271,200,8.916,0.0,0.03,0.005,,,,,
P-0272,200,5.0,0.04,0.125,0.034,,,,,
P-0273,200,5.0,0.04,0.125,0.034,,,,,
P-0274,200,5.0,4.74,0.588,0.332,,,,,
P-0275,200,5.0,4.74,0.588,0.332,,,,,
P-0276,200,7.53,0.71,0.383,0.118,,,,,
P-0277,200,5.0,4.89,0.593,0.337,,,,,
P-0278,200,5.0,5.48,0.612,0.358,,,,,
P-0279,200,10.418,0.04,0.159,0.028,,,,,
P-0280,200,5.0,5.89,0.625,0.372,,,,,
P-0281,200,5.552,0.0,0.032,0.007,,,,,
P-0282,200,24.724,0.0,0.041,0.004,,,,,
P-0283,200,5.0,0.0,0.037,0.009,,,,,
P-0284,200,5.0,0.04,0.126,0.034,,,,,
P-0285,200,30.182,0.0,0.066,0.006,,,,,
P-0286,200,8.345,0.0,0.033,0.006,,,,,
P-0287,200,14.441,0.0,0.042,0.006,,,,,
P-0288,200,5.0,0.53,0.304,0.114,,,,,
P-0289,200,5.0,0.53,0.304,0.114,,,,,
P-0290,200,5.0,0.18,0.214,0.069,,,,,
P-0291,200,5.0,0.0,0.023,0.006,,,,,
P-0292,200,5.0,0.18,0.213,0.069,,,,,
P-0293,200,5.0,0.04,0.127,0.034,,,,,
P-0294,200,5.0,0.04,0.128,0.035,,,,,
P-0295,200,5.0,0.07,0.16,0.046,,,,,
P-0296,200,5.0,0.11,0.182,0.055,,,,,
P-0297,200,10.476,0.0,0.034,0.006,,,,,
P-0298,200,8.405,0.0,0.036,0.006,,,,,
P-0299,200,5.0,0.18,0.214,0.069,,,,,
P-0300,200,5.0,0.07,0.158,0.046,,,,,
P-0301,200,5.0,0.43,0.283,0.103,,,,,
P-0302,200,14.581,0.78,0.497,0.106,,,,,
P-0303,200,5.0,0.82,0.347,0.139,,,,,
P-0304,200,5.0,0.89,0.357,0.145,,,,,
P-0305,200,5.0,1.31,0.402,0.175,,,,,
P-0306,200,5.0,0.0,0.017,0.004,,,,,
P-0307,200,5.0,1.31,0.402,0.175,,,,,
P-0308,250,8.393,33.04,1.171,0.618,,,,,
P-0309,250,7.722,32.05,1.125,0.623,,,,,
P-0310,315,2.7,33.32,0.764,0.604,,,,,
P-0311,315,2.7,33.11,0.763,0.602,,,,,
P-0312,315,2.7,31.96,0.757,0.588,,,,,
P-0313,200,11.851,0.0,0.03,0.005,,,,,
P-0314,200,15.085,0.0,0.034,0.005,,,,,
P-0315,200,38.905,0.21,0.456,0.047,,,,,
P-0316,315,2.7,31.94,0.757,0.588,,,,,
P-0317,200,5.0,0.39,0.276,0.099,,,,,
P-0318,200,5.0,0.46,0.291,0.107,,,,,
P-0319,315,2.7,31.49,0.755,0.582,,,,,
P-0320,200,5.0,0.32,0.259,0.09,,,,,
P-0321,315,2.7,31.49,0.755,0.582,,,,,
P-0322,200,5.0,6.62,0.645,0.396,,,,,
P-0323,200,10.442,0.0,0.028,0.005,,,,,
P-0324,200,5.0,0.96,0.365,0.15,,,,,
P-0325,200,5.0,0.11,0.18,0.055,,,,,
P-0326,200,5.0,0.81,0.347,0.139,,,,,
P-0327,200,5.0,0.0,0.024,0.006,,,,,
P-0328,200,5.0,0.0,0.032,0.008,,,,,
P-0329,315,2.7,31.49,0.755,0.582,,,,,
P-0330,200,5.0,1.74,0.438,0.2,,,,,
P-0331,200,5.0,1.78,0.441,0.202,,,,,
P-0332,200,5.0,8.98,0.699,0.47,,,,,
P-0333,200,5.0,0.32,0.259,0.09,,,,,
P-0334,200,5.0,0.18,0.214,0.069,,,,,
P-0335,200,43.049,0.0,0.036,0.003,,,,,
P-0336,200,5.0,0.0,0.024,0.006,,,,,
P-0337,200,5.0,0.0,0.032,0.008,,,,,
P-0338,200,5.0,0.0,0.037,0.009,,,,,
P-0339,200,5.0,0.0,0.01,0.003,,,,,
P-0340,200,5.0,0.0,0.03,0.007,,,,,
P-0341,200,5.0,0.28,0.249,0.085,,,,,
P-0342,200,5.0,0.0,0.022,0.006,,,,,
P-0343,200,5.0,0.14,0.199,0.062,,,,,
P-0344,200,5.0,4.57,0.582,0.325,,,,,
P-0345,200,5.0,0.0,0.025,0.006,,,,,
P-0346,200,5.0,0.64,0.322,0.124,,,,,
P-0347,200,5.0,0.39,0.276,0.099,,,,,
P-0348,200,5.0,0.11,0.181,0.055,,,,,
P-0349,200,5.0,4.6,0.583,0.326,,,,,
P-0350,200,5.0,3.52,0.54,0.284,,,,,
P-0351,200,5.0,0.21,0.227,0.075,,,,,
P-0352,200,5.0,0.18,0.213,0.069,,,,,
P-0353,200,5.0,0.0,0.018,0.005,,,,,
P-0354,200,5.0,0.43,0.283,0.103,,,,,
P-0355,200,5.0,0.85,0.352,0.142,,,,,
P-0356,200,7.73,0.11,0.209,0.049,,,,,
P-0357,200,5.0,0.14,0.199,0.062,,,,,
P-0358,200,5.0,0.0,0.02,0.005,,,,,
P-0359,200,5.0,0.0,0.026,0.006,,,,,
P-0360,200,5.0,0.0,0.021,0.005,,,,,
P-0361,200,5.0,0.89,0.356,0.145,,,,,
P-0362,200,44.524,0.0,0.046,0.004,,,,,
P-0363,200,5.0,0.11,0.181,0.055,,,,,
P-0364,200,7.765,0.0,0.021,0.004,,,,,
P-0365,200,12.647,0.0,0.033,0.005,,,,,
P-0366,200,5.0,0.53,0.304,0.114,,,,,
P-0367,315,2.7,30.64,0.75,0.572,,,,,
P-0368,200,5.0,0.25,0.239,0.08,,,,,
P-0369,200,5.0,0.32,0.259,0.09,,,,,
P-0370,200,5.0,8.16,0.682,0.445,,,,,
P-0371,200,5.0,8.19,0.683,0.446,,,,,
P-0372,200,5.0,0.96,0.365,0.151,,,,,
P-0373,200,5.0,0.96,0.365,0.151,,,,,
P-0374,200,22.901,0.0,0.023,0.003,,,,,
P-0375,200,5.0,9.03,0.7,0.471,,,,,
P-0376,200,7.151,0.0,0.008,0.002,,,,,
P-0377,200,5.0,10.09,0.72,0.503,,,,,
P-0378,200,21.809,0.04,0.205,0.024,,,,,
P-0379,200,10.357,0.07,0.202,0.039,,,,,
P-0380,200,5.0,9.25,0.705,0.478,,,,,
P-0381,315,2.7,26.53,0.725,0.523,,,,,
P-0382,200,66.786,0.04,0.296,0.019,,,,,
P-0383,200,5.0,0.0,0.023,0.006,,,,,
P-0384,200,12.082,0.0,0.019,0.003,,,,,
P-0385,200,19.098,0.07,0.249,0.034,,,,,
P-0386,200,5.0,0.36,0.267,0.094,,,,,
P-0387,200,5.275,0.39,0.281,0.097,,,,,
P-0388,200,5.0,0.07,0.158,0.046,,,,,
P-0389,200,5.0,0.14,0.199,0.062,,,,,
P-0390,200,11.838,0.14,0.267,0.051,,,,,
P-0391,200,5.343,0.18,0.219,0.068,,,,,
P-0392,200,5.0,0.57,0.31,0.117,,,,,
P-0393,200,5.0,0.71,0.332,0.13,,,,,
P-0394,200,5.0,0.74,0.338,0.133,,,,,
P-0395,200,5.0,0.0,0.018,0.005,,,,,
P-0396,200,5.0,0.07,0.157,0.046,,,,,
P-0397,200,5.0,0.32,0.258,0.09,,,,,
P-0398,200,5.0,0.14,0.198,0.062,,,,,
P-0399,200,5.0,0.0,0.017,0.004,,,,,
P-0400,200,5.0,0.0,0.016,0.004,,,,,
P-0401,200,5.0,1.89,0.449,0.209,,,,,
P-0402,200,5.0,0.28,0.249,0.085,,,,,
P-0403,200,5.0,0.21,0.227,0.075,,,,,
P-0404,200,5.0,1.53,0.422,0.188,,,,,
P-0405,200,6.516,0.32,0.283,0.084,,,,,
P-0406,200,15.881,0.14,0.294,0.048,,,,,
P-0407,200,5.0,0.21,0.227,0.075,,,,,
P-0408,200,12.864,1.53,0.588,0.15,,,,,
P-0409,200,12.495,0.07,0.215,0.037,,,,,
P-0410,200,5.0,4.01,0.56,0.304,,,,,
P-0411,200,5.0,4.01,0.561,0.304,,,,,
P-0412,250,3.75,18.12,0.747,0.545,,,,,
P-0413,250,3.75,18.04,0.746,0.544,,,,,
P-0414,200,5.0,2.8,0.505,0.254,,,,,
P-0415,200,5.0,3.12,0.521,0.268,,,,,
P-0416,200,5.0,4.99,0.596,0.341,,,,,
P-0417,200,5.0,4.63,0.584,0.328,,,,,
P-0418,200,5.0,14.28,0.781,0.625,,,,,
P-0419,200,13.297,0.04,0.173,0.027,,,,,
P-0420,200,14.598,0.0,0.025,0.004,,,,,
P-0421,200,5.0,0.07,0.157,0.046,,,,,
P-0422,200,5.0,0.36,0.268,0.095,,,,,
P-0423,200,5.0,0.04,0.125,0.034,,,,,
P-0424,200,5.0,0.25,0.239,0.08,,,,,
P-0425,200,5.0,0.25,0.238,0.08,,,,,
P-0426,200,5.0,0.96,0.366,0.151,,,,,
P-0427,200,5.0,1.0,0.37,0.153,,,,,
P-0428,200,5.0,1.03,0.374,0.156,,,,,
P-0429,200,38.882,0.11,0.361,0.034,,,,,
P-0430,200,10.188,0.0,0.024,0.004,,,,,
P-0431,200,5.0,0.61,0.317,0.121,,,,,
P-0432,200,5.0,0.21,0.226,0.075,,,,,
P-0433,200,5.0,0.18,0.213,0.069,,,,,
P-0434,200,5.0,0.0,0.018,0.005,,,,,
P-0435,200,5.0,14.22,0.78,0.623,,,,,
P-0436,200,5.0,0.5,0.297,0.11,,,,,
P-0437,200,5.0,0.57,0.31,0.117,,,,,
P-0438,200,5.0,0.57,0.31,0.117,,,,,
P-0439,200,5.0,0.11,0.18,0.055,,,,,
P-0440,200,5.0,0.18,0.214,0.069,,,,,
P-0441,200,5.0,0.0,0.024,0.006,,,,,
P-0442,200,12.215,0.11,0.245,0.044,,,,,
P-0443,200,40.48,0.0,0.03,0.003,,,,,
P-0444,200,5.0,0.0,0.029,0.007,,,,,
P-0445,200,5.0,0.07,0.158,0.046,,,,,
P-0446,200,5.0,0.0,0.025,0.006,,,,,
P-0447,200,5.0,0.29,0.249,0.086,,,,,
P-0448,200,17.819,0.21,0.35,0.056,,,,,
P-0449,200,39.833,0.14,0.402,0.039,,,,,
P-0450,200,5.0,0.18,0.213,0.069,,,,,
P-0451,200,5.0,0.11,0.18,0.055,,,,,
P-0452,200,5.0,1.98,0.456,0.214,,,,,
P-0453,200,9.884,0.0,0.015,0.003,,,,,
P-0454,200,5.0,0.0,0.029,0.007,,,,,
P-0455,200,5.0,0.07,0.158,0.046,,,,,
P-0456,200,5.0,0.0,0.021,0.005,,,,,
P-0457,200,5.0,0.39,0.275,0.099,,,,,
P-0458,200,5.0,1.66,0.432,0.196,,,,,
P-0459,200,5.137,0.18,0.215,0.068,,,,,
P-0460,200,5.0,0.82,0.347,0.139,,,,,
P-0461,200,5.0,0.18,0.213,0.069,,,,,
P-0462,200,5.0,0.07,0.158,0.046,,,,,
P-0463,200,5.0,0.0,0.021,0.005,,,,,
P-0464,200,5.0,0.18,0.213,0.069,,,,,
P-0465,200,5.0,0.18,0.214,0.069,,,,,
P-0466,200,5.0,0.28,0.249,0.085,,,,,
P-0467,200,5.0,0.39,0.275,0.099,,,,,
P-0468,200,5.0,0.14,0.198,0.062,,,,,
P-0469,200,5.0,0.25,0.238,0.08,,,,,
P-0470,200,5.0,3.27,0.528,0.274,,,,,
P-0471,200,5.0,0.07,0.157,0.045,,,,,
P-0472,200,5.0,0.0,0.019,0.005,,,,,
P-0473,200,5.0,0.0,0.011,0.003,,,,,
P-0474,200,5.0,2.38,0.481,0.234,,,,,
P-0475,200,5.0,1.99,0.456,0.214,,,,,
P-0476,200,5.0,13.91,0.777,0.614,,,,,
P-0477,200,5.0,13.91,0.777,0.614,,,,,
P-0478,200,5.0,13.91,0.777,0.614,,,,,
P-0479,200,5.0,0.36,0.267,0.094,,,,,
P-0480,200,5.0,0.32,0.258,0.09,,,,,
P-0481,200,5.0,1.99,0.456,0.214,,,,,
P-0482,200,5.0,1.82,0.444,0.205,,,,,
P-0483,200,5.0,1.64,0.43,0.195,,,,,
P-0484,200,9.174,1.35,0.502,0.153,,,,,
P-0485,200,5.0,0.21,0.226,0.075,,,,,
P-0486,200,20.146,0.25,0.384,0.058,,,,,
P-0487,200,5.0,0.04,0.124,0.034,,,,,
P-0488,200,41.194,0.04,0.253,0.021,,,,,
P-0489,200,5.0,1.25,0.396,0.17,,,,,
P-0490,200,5.0,13.52,0.772,0.602,,,,,
P-0491,200,5.0,13.52,0.772,0.602,,,,,
P-0492,200,5.0,0.07,0.157,0.046,,,,,
P-0493,200,46.685,0.0,0.031,0.003,,,,,
