node,x,y,grd_m,inv_m,cover_m,why,discharge,dx,dy,discharge_grd_m,static_lift_m,rm_len_m,q_adf_m3d,q_pk_ls,n_prop
69,445113.2076483548,2567694.9860499627,336.5556640625,323.9373166661223,12.38502171011329,cap,73,445523.13302864373,2567654.3087638137,338.569091796875,13.031775130752692,420.7209445949942,5553.788961783474,139.2185538244353,6932.674000000004
92,447697.6285090485,2567164.4593304605,346.5245056152344,333.7351098632814,12.394187011718657,cap,93,447783.9607524755,2567113.9940577983,347.029296875,11.694187011718554,100.00000000005471,9297.683661720597,219.04943954305008,11866.348000000004
624,464359.159601988,2566792.1129928255,395.7336730957031,384.29648071289114,12.643786621092907,cap,627,464098.60679819825,2566940.6357715526,398.16754150390625,12.271060791015088,300.00000000006025,963.4224071467602,29.90730314672645,1275.0860000000005
