Station,Chamber,Type,Reason,Duty flow (L/s),Qadf (m3/d),Static lift (m),Wet well (m3),Starts per hour,Flood level (m),Land take (m2),Properties,Package,Phase
P315-L-MH0040,N0013785,Type 1,cap,0.0,0.0,10.541,0.0,10.0,409.225,100.0,0.0,P315,0
P333-SM-MH0029,N0013792,Type 1,cap,0.0,0.0,10.267,0.0,10.0,320.986,100.0,0.0,P333,1
P340-SM-MH0059,N0014145,Type 1,cap,0.0,0.0,10.662,0.0,10.0,319.498,100.0,0.0,P340,1
P347-SM-MH0070,N0014772,Type 1,cap,0.0,0.0,10.559,0.0,10.0,318.914,100.0,0.0,P347,1
P350-M-MH0036,N0014790,Type 1,cap,0.0,0.0,9.256,0.0,10.0,317.319,100.0,0.0,P350,1
P359-M-MH0042,N0015439,Type 1,cap,0.0,0.0,10.396,0.0,10.0,317.376,100.0,0.0,P359,1
P368-SM-MH0230,N0019653,Type 1,cap,0.0,0.0,10.39,0.0,10.0,351.196,100.0,0.0,P368,1
P355-SM-MH0243,N0020110,Type 1,cap,0.0,0.0,10.652,0.0,10.0,371.143,100.0,0.0,P355,1
P362-L-MH0006,N0020213,Type 1,cap,0.0,0.0,10.448,0.0,10.0,356.63,100.0,0.0,P362,1
P366-SM-MH0605,N0020658,Type 1,cap,0.0,0.0,10.634,0.0,10.0,379.809,100.0,0.0,P366,1
P400-SM-MH0258,N0021730,Type 1,cap,0.0,0.0,10.541,0.0,10.0,368.039,100.0,0.0,P400,1
P386-SM-MH0108,N0022193,Type 1,cap,0.0,0.0,10.194,0.0,10.0,347.125,100.0,0.0,P386,1
P390-SM-MH0067,N0022417,Type 1,cap,0.0,0.0,10.451,0.0,10.0,371.485,100.0,0.0,P390,1
P361-L-MH0011,N0022544,Type 1,cap,0.0,0.0,9.273,0.0,10.0,370.068,100.0,0.0,P361,1
P409-SM-MH0046,N0022768,Type 1,cap,0.0,0.0,10.418,0.0,10.0,370.234,100.0,0.0,P409,1
P387-SM-MH0191,N0023516,Type 1,cap,0.0,0.0,10.65,0.0,10.0,381.281,100.0,0.0,P387,1
P424-SM-MH0099,N0023916,Type 1,cap,0.0,0.0,9.736,0.0,10.0,375.39,100.0,0.0,P424,1
P419-SM-MH0119,N0024167,Type 1,cap,0.0,0.0,10.58,0.0,10.0,369.912,100.0,0.0,P419,1
P426-SM-MH0053,N0024443,Type 1,cap,0.0,0.0,10.434,0.0,10.0,373.88,100.0,0.0,P426,1
P439-SM-MH0131,N0025016,Type 1,cap,0.0,0.0,10.493,0.0,10.0,374.693,100.0,0.0,P439,1
P437-M-MH0117,N0025539,Type 1,cap,0.0,0.0,8.503,0.0,10.0,372.162,100.0,0.0,P437,1
P434-SM-MH0200,N0025665,Type 1,cap,0.0,0.0,10.263,0.0,10.0,373.49,100.0,0.0,P434,1
P435-SM-MH0088,N0027237,Type 1,cap,0.0,0.0,10.697,0.0,10.0,371.638,100.0,0.0,P435,1
P475-SM-MH0137,N0029941,Type 1,cap,0.0,0.0,10.534,0.0,10.0,364.642,100.0,0.0,P475,1
P430-SM-MH0285,N0029968,Type 1,cap,0.0,0.0,10.337,0.0,10.0,325.155,100.0,0.0,P430,1
P444-SM-MH0009,N0030541,Type 1,cap,0.0,0.0,10.555,0.0,10.0,324.468,100.0,0.0,P444,1
P432-SM-MH0111,N0030717,Type 1,cap,0.0,0.0,10.489,0.0,10.0,376.533,100.0,0.0,P432,1
P450-SM-MH0284,N0030829,Type 1,cap,0.0,0.0,9.888,0.0,10.0,366.104,100.0,0.0,P450,1
P452-SM-MH0133,N0032520,Type 1,cap,0.0,0.0,10.553,0.0,10.0,368.149,100.0,0.0,P452,1
P461-L-MH0011,N0033269,Type 1,cap,0.0,0.0,6.887,0.0,10.0,379.68,100.0,0.0,P461,0
P446-L-MH0002,N0033271,Type 1,cap,0.0,0.0,8.861,0.0,10.0,379.026,100.0,0.0,P446,0
P395-L-MH0026,N0033451,Type 1,cap,0.0,0.0,10.334,0.0,10.0,384.692,100.0,0.0,P395,0
P473-M-MH0095,N0034505,Type 1,cap,0.0,0.0,10.569,0.0,10.0,367.99,100.0,0.0,P473,1
P493-SM-MH0038,N0036356,Type 1,cap,0.0,0.0,10.517,0.0,10.0,363.209,100.0,0.0,P493,0
P496-SM-MH0137,N0036779,Type 1,cap,0.0,0.0,9.97,0.0,10.0,361.498,100.0,0.0,P496,1
P499-SM-MH0039,N0039560,Type 1,cap,0.0,0.0,10.472,0.0,10.0,352.137,100.0,0.0,P499,1
P460-SM-MH0059,N0043045,Type 1,cap,0.0,0.0,10.218,0.0,10.0,423.942,100.0,0.0,P460,1
P470-M-MH0133,N0043190,Type 1,cap,0.0,0.0,10.474,0.0,10.0,427.524,100.0,0.0,P470,1
P472-SM-MH0128,N0043226,Type 1,cap,0.0,0.0,10.585,0.0,10.0,429.362,100.0,0.0,P472,1
P465-SM-MH0271,N0043354,Type 1,cap,0.0,0.0,10.614,0.0,10.0,434.081,100.0,0.0,P465,1
P464-SM-MH0275,N0043529,Type 1,cap,0.0,0.0,10.677,0.0,10.0,424.522,100.0,0.0,P464,1
P476-M-MH0127,N0043713,Type 1,cap,0.0,0.0,10.657,0.0,10.0,424.561,100.0,0.0,P476,1
P463-SM-MH0262,N0043764,Type 1,cap,0.0,0.0,10.613,0.0,10.0,434.404,100.0,0.0,P463,1
P478-M-MH0133,N0043817,Type 1,cap,0.0,0.0,10.668,0.0,10.0,426.057,100.0,0.0,P478,1
P469-SM-MH0156,N0044052,Type 1,cap,0.0,0.0,10.694,0.0,10.0,427.479,100.0,0.0,P469,1
P477-SM-MH0106,N0044720,Type 1,cap,0.0,0.0,10.203,0.0,10.0,424.265,100.0,0.0,P477,1
P480-M-MH0035,N0044765,Type 1,cap,0.0,0.0,10.111,0.0,10.0,428.349,100.0,0.0,P480,1
P484-M-MH0133,N0045519,Type 1,cap,0.0,0.0,10.621,0.0,10.0,422.156,100.0,0.0,P484,1
P486-M-MH0049,N0047678,Type 1,cap,0.0,0.0,10.605,0.0,10.0,475.987,100.0,0.0,P486,1
P490-TM-MH0003,N0047798,Type 1,cap,0.0,0.0,5.1,0.0,10.0,482.629,100.0,0.0,P490,0
P485-M-MH0071,N0048175,Type 1,cap,0.0,0.0,10.627,0.0,10.0,485.576,100.0,0.0,P485,1
P497-M-MH0071,N0048341,Type 1,cap,0.0,0.0,10.685,0.0,10.0,490.054,100.0,0.0,P497,1
P489-L-MH0008,N0048536,Type 1,cap,0.0,0.0,10.666,0.0,10.0,487.88,100.0,0.0,P489,0
P487-M-MH0042,N0048651,Type 1,cap,0.0,0.0,10.46,0.0,10.0,486.719,100.0,0.0,P487,1
