break_m_per_prop,decentralised_settlements,properties_off_network,pct_of_properties,load_off_network_m3d,pct_of_load,exclusive_km_not_built
10.0,56,16469.0,16.69,12640.4,16.92,312.8
15.0,54,15439.0,15.65,11874.0,15.9,301.7
18.0,50,931.0,0.94,861.8,1.15,66.5
20.0,48,888.0,0.9,829.9,1.11,65.8
25.0,45,784.0,0.79,744.8,1.0,63.2
30.0,42,416.0,0.42,420.3,0.56,53.8
40.0,40,341.0,0.35,364.1,0.49,51.2
80.0,31,219.0,0.22,271.7,0.36,44.7
150.0,23,139.0,0.14,209.5,0.28,34.0
