EDGE_UID,US_NODE,DS_NODE,TIER,LEN_M,SRC,CONFIDENCE,STAGE,QADF_M3D,N_PROP,QINF_LS,PF,PF_METH,QPK_LS,UPSTR_KM,ON_WADI_M,ON_DUAL_M,CROSS_ID,DN,MATERIAL,SLOPE_LAID,SLOPE_MIN,GRAD_BY,SIZED_BY,CLEAN_BY,TAU_PA,INV_UP,INV_DN,US_DEPTH,DS_DEPTH,COVER_US,COVER_DN,V_PK_MS,DOD_PK,RET_MIN,PAST_CAP,CAP_EXIT,CAP_LEN_M,TIE_TYPE,PACKAGE,PHASE
E0000012,N0000012,N0000013,trunk main,74.99999999997947,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.895485,1.6261,merrimack,1076.426729,1307.4582,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.85000457181786,316.7750045718179,9.289338689900887,8.538960271932126,8.039338689900887,7.288960271932126,1.1907578100857659,0.7452978229674054,1.0497516702490701,0,,0.0,none,P06,1
E0000013,N0000013,N0000014,trunk main,31.42553061074096,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.89611,1.6261,merrimack,1076.427354,1307.5332,0.0,0.0,,1200,GRP,0.15,0.075,table11,dod,velocity,1.0,316.7750045718179,316.72786627590176,8.538960271932126,8.770760433082614,7.288960271932126,7.520760433082614,1.4125937291232624,0.6382657683417678,0.37077811738370414,0,,0.0,none,P06,1
E0000014,N0000014,N0000015,trunk main,8.57446938912246,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.896372,1.6261,merrimack,1076.427616,1307.5647,0.0,0.0,,1200,GRP,0.5,0.075,table11,minimum,velocity,1.0,316.72786627590176,316.68499392895615,8.770760433082614,8.975681119871979,7.520760433082614,7.725681119871979,2.250132096877535,0.4393631964957653,0.06351085936259095,0,,0.0,none,P06,1
E0000015,N0000015,N0000016,trunk main,35.000000000146116,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.896444,1.6261,merrimack,1076.427687,1307.5732,0.0,0.0,,1200,GRP,0.15,0.075,table11,dod,velocity,1.0,316.68499392895615,316.6324939289559,8.975681119871979,10.701093717528465,7.725681119871979,9.451093717528465,1.4125938132186031,0.6382659059085978,0.41295192423832033,0,,0.0,none,P06,1
E0000016,N0000016,N0000017,trunk main,24.99999999978862,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.896735,1.6261,merrimack,1076.427979,1307.6082,0.0,0.0,,1200,GRP,0.2,0.075,table11,dod,velocity,1.0,316.6324939289559,316.58249392895635,10.701093717528465,11.083887906981147,9.451093717528465,9.833887906981147,1.5843719731330432,0.5794445045301686,0.2629853807873154,0,,0.0,none,P06,1
E0000017,N0000017,N0000018,trunk main,70.00000000030482,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.896944,1.6261,merrimack,1076.428187,1307.6332,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.58249392895635,316.5124939289561,11.083887906981147,10.9093505534658,9.833887906981147,9.6593505534658,1.190757994466357,0.7452986872142602,0.9797680738600401,0,,0.0,none,P06,1
E0000018,N0000018,N0000019,trunk main,69.99999999985019,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.897527,1.6261,merrimack,1076.428771,1307.7032,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.5124939289561,316.44249392895625,10.9093505534658,11.384654508543747,9.6593505534658,10.134654508543747,1.1907580683192636,0.7452990333877094,0.9797680130867402,0,,0.0,none,P06,1
E0000019,N0000019,N0000020,trunk main,10.40455580939545,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.89811,1.6261,merrimack,1076.429354,1307.7732,0.0,0.0,,1200,GRP,0.4,0.075,table11,minimum,velocity,1.0,316.44249392895625,316.40087570571865,11.384654508543747,11.355532985687603,10.134654508543747,10.105532985687603,2.0687079011695637,0.4686268317009712,0.08382491476534004,0,,0.0,none,P06,1
E0000020,N0000020,N0000021,trunk main,69.59544419054467,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.898197,1.6261,merrimack,1076.429441,1307.7836,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.40087570571865,316.3312802615281,11.355532985687603,10.056354015815657,10.105532985687603,8.806354015815657,1.1907581530474172,0.7452994305391063,0.9741055031820739,0,,0.0,none,P06,1
E0000021,N0000021,N0000022,trunk main,59.99999999992279,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.898777,1.6261,merrimack,1076.430021,1307.8532,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.3312802615281,316.27128026152815,10.056354015815657,10.601247814643727,8.806354015815657,9.351247814643727,1.1907582263938734,0.7452997743421104,0.839801042590436,0,,0.0,none,P06,1
E0000022,N0000022,N0000023,trunk main,60.000000000296026,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.899277,1.6261,merrimack,1076.430521,1307.9132,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.27128026152815,316.21128026152786,10.601247814643727,11.390068615425264,9.351247814643727,10.140068615425264,1.1907582896233513,0.7453000707242361,0.8398009980020745,0,,0.0,none,P06,1
E0000023,N0000023,N0000024,trunk main,79.99999999992633,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.899777,1.6261,merrimack,1076.431021,1307.9732,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.21128026152786,316.13128026152793,11.390068615425264,11.498175304878316,10.140068615425264,10.248175304878316,1.1907583528526196,0.7453003671065705,1.1197346045383,0,,0.0,none,P06,1
E0000024,N0000024,N0000025,trunk main,79.99999999989706,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.900444,1.6261,merrimack,1076.431687,1308.0532,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.13128026152793,316.05128026152806,11.498175304878316,12.291401623237562,10.248175304878316,11.041401623237562,1.1907584370736797,0.745300761888164,1.1197345253402693,0,,0.0,none,P06,1
E0000025,N0000025,N0000026,trunk main,79.9999999999556,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.90111,1.6261,merrimack,1076.432354,1308.1332,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,316.05128026152806,315.97128026152814,12.291401623237562,12.233431652534364,11.041401623237562,10.983431652534364,1.1907585214208256,0.7453011572628938,1.1197344460249137,0,,0.0,none,P06,1
E0000026,N0000026,N0000027,trunk main,65.00000000005357,main_pipe,drafted,s5c_flows,56616.0765,74912.94,10.901777,1.6261,merrimack,1076.433021,1308.2132,0.0,0.0,,1200,GRP,0.1,0.075,table11,dod,velocity,1.0,315.97128026152814,315.9062802615281,12.233431652534364,13.448791759956293,10.983431652534364,12.198791759956293,1.190758605767599,0.7453015526379951,0.9097841729523986,1,recovers_500m,129.03,none,P06,1
