Pipe,US manhole,DS manhole,US invert (m),DS invert (m),US depth (m),DS depth (m),Length (m),DN (mm),Material,Laid gradient (%),Minimum gradient (%),Gradient set by,Diameter set by,Peak factor,PF method,Qadf (m3/d),Qpeak (L/s),Velocity (m/s),d/D,Self-cleansing by,Tier,Package,Confidence
E0000011,N0000709,N0000710,342.75617310852857,342.55617310852875,6.7819738641276786,4.780252672721247,199.99999999982322,1700,GRP,0.1,0.075,table11,dod,1.6269909314460973,merrimack,56352.76376353279,1069.2752564418518,1.212496307351514,0.4119928648424207,velocity,trunk main,,drafted
E0000012,N0000710,N0000711,342.55617310852875,342.4565391452642,4.780252672721247,4.409336098876452,99.6339632646036,1700,GRP,0.1,0.075,table11,dod,1.6268929460237174,merrimack,56380.819866879676,1069.7450468979941,1.2126321930269346,0.4120943054879356,velocity,trunk main,,drafted
E0000013,N0000001,N0000005,344.0369995117188,343.636999511719,1.6999999999999318,1.9501281738278635,99.99999999994712,250,PVC-U,0.4,0.375,table11,capacity,2.735357554643636,merrimack,769.5077148790592,24.4646748699424,0.8182586342576345,0.6496051506078877,velocity,trunk main,,drafted
E0000014,N0000005,N0000009,343.571999511719,343.2719995117193,2.0151281738278612,2.3863256835932134,99.99999999991226,315,GRP,0.3,0.27,table11,dod,2.7348934874064743,merrimack,770.5874961270592,24.49569835017479,0.7402734962329497,0.4837715536566344,tractive,trunk main,,drafted
E0000015,N0000009,N0000013,343.2719995117193,342.9719995117183,2.3863256835932134,2.279312744141066,100.00000000032006,315,GRP,0.3,0.27,table11,dod,2.7344301485518367,merrimack,771.6672773750593,24.526716736503918,0.7405086948919787,0.48412873211229657,tractive,trunk main,,drafted
E0000016,N0000013,N0000017,342.9719995117183,342.6719995117186,2.279312744141066,2.6704077148439183,99.99999999990479,315,GRP,0.3,0.27,table11,dod,2.733967535919664,merrimack,772.7470586230593,24.557730036919402,0.7407435549022008,0.48448577001818705,tractive,trunk main,,drafted
E0000017,N0000017,N0000021,342.6719995117186,342.37199951171897,2.6704077148439183,2.7963049316404067,99.99999999986274,315,GRP,0.3,0.27,table11,dod,2.732043826621906,merrimack,777.2553784484749,24.684516477834133,0.7417005837498749,0.48594454413165666,tractive,trunk main,,drafted
E0000018,N0000021,N0000025,342.37199951171897,342.0719995117184,2.7963049316404067,2.9127111816409865,100.00000000019332,315,GRP,0.3,0.27,table11,dod,2.7312701807565283,merrimack,779.0767676964748,24.73621067506698,0.7420893613680961,0.4865389405334992,tractive,trunk main,,drafted
E0000019,N0000025,N0000029,342.0719995117184,341.7719995117189,2.9127111816409865,2.6496923828123613,99.99999999982683,315,GRP,0.3,0.27,table11,dod,2.730812493960779,merrimack,780.1565489444748,24.767189289437958,0.742321947911873,0.48689503706499015,tractive,trunk main,,drafted
E0000020,N0000029,N0000033,341.7719995117189,341.471999511719,2.6496923828123613,1.834030761718509,99.99999999996768,315,GRP,0.3,0.27,table11,dod,2.730812493960779,merrimack,780.1565489444748,24.768022622771287,0.742328200472599,0.4869046150739994,tractive,trunk main,,drafted
E0000021,N0000033,N0000037,341.471999511719,341.17199951171875,1.834030761718509,1.8085913085937477,100.00000000007864,315,GRP,0.3,0.27,table11,dod,2.728661835891063,merrimack,785.2529267509185,24.911068702784043,0.7433983268245962,0.4885478958318028,tractive,trunk main,,drafted
E0000022,N0000037,N0000041,341.17199951171875,340.7719995117191,1.8085913085937477,1.760135498046509,99.99999999990328,315,GRP,0.4,0.27,cover_min,dod,2.7284249846772397,merrimack,785.8164667290954,24.927620597212236,0.8283701892295677,0.44958332867246964,velocity,trunk main,,drafted
E0000023,N0000041,N0000045,340.8869995117191,339.4369995117161,1.6451354980464998,2.199780273440126,100.00000000020722,200,PVC-U,1.4500000000000002,0.5,ground,minimum,2.7284249846772397,merrimack,785.8164667290954,24.92845393054557,1.3399982611383545,0.6339570529866545,velocity,trunk main,,drafted
E0000024,N0000045,N0000049,339.3219995117161,339.02199951171644,2.3147802734401353,2.0877416992210556,99.99999999989501,315,GRP,0.3,0.27,table11,dod,2.724818047044205,merrimack,794.4547167130954,25.170060770028485,0.7453199808427162,0.491519009540905,tractive,trunk main,,drafted
E0000025,N0000049,N0000053,339.08699951171644,338.43699951171635,2.022741699221058,1.7044189453148988,100.0000000000104,250,PVC-U,0.65,0.375,cover_min,capacity,2.7170932239949166,merrimack,813.3153389995391,25.695505562472903,1.0021178447593162,0.5706812387135405,velocity,trunk main,,drafted
