PLOT_ID,X,Y,REACH,STATION_M,SHORT_BY_M,CH_REQ,ISSUE
1109334,454784.68450874265,2567508.015059049,E0020042,36.98,33.74,R00187,beyond the 45 m tertiary run
1109408,455266.7977417998,2568499.8901809566,E0022016,62.88,14.76,R00234,beyond the 45 m tertiary run
1109432,454819.6198553354,2568416.344437786,E0021121,38.08,5.34,R00209,beyond the 45 m tertiary run
1109556,455971.2006196611,2568783.106180837,E0022398,22.75,20.37,R00239,beyond the 45 m tertiary run
1109593,456387.1301460118,2568626.9863839806,E0021724,35.83,33.9,R00220,beyond the 45 m tertiary run
1109595,456327.11489562737,2568602.031038818,E0021723,40.83,28.3,R00218,beyond the 45 m tertiary run
1109670,456189.1245131024,2572202.1646694127,E0033736,43.04,38.71,R00455,beyond the 45 m tertiary run
1109671,456205.62450596364,2572190.874468073,E0033736,23.05,18.17,R00454,beyond the 45 m tertiary run
1109679,456468.2213407343,2571998.1044029444,E0034218,51.11,30.05,R00467,beyond the 45 m tertiary run
1109863,456688.6875620335,2572332.313197842,E0034744,54.59,30.58,R00483,beyond the 45 m tertiary run
1109958,457701.7997846854,2570218.3121138914,E0024993,2.75,0.12,R00287,beyond the 45 m tertiary run
1109961,457795.3393909565,2570175.1433019293,E0025073,15.22,10.54,R00288,beyond the 45 m tertiary run
1110068,454789.8021131213,2571184.775207059,E0023926,16.93,15.6,R00270,beyond the 45 m tertiary run
1110125,456621.97059750056,2571886.09003399,E0035148,58.15,19.73,R00489,beyond the 45 m tertiary run
1110126,456642.7750107162,2571870.9155888436,E0035148,32.4,29.85,R00488,beyond the 45 m tertiary run
1110129,456663.57947154326,2571855.7411089707,E0035148,6.65,4.16,R00487,beyond the 45 m tertiary run
1110211,459990.46084119583,2568216.912173524,E0026325,27.85,20.21,R00304,beyond the 45 m tertiary run
1110229,459919.61454588536,2567729.842490796,E0023143,25.86,22.69,R00258,beyond the 45 m tertiary run
1110244,460214.4878112338,2568735.4716418684,E0026914,54.47,4.11,R00325,beyond the 45 m tertiary run
1110312,460570.87774141383,2569969.4537271457,E0033162,50.26,19.89,R00441,beyond the 45 m tertiary run
1110454,460024.7276243526,2570033.060822067,E0031565,40.15,0.5,R00424,beyond the 45 m tertiary run
1110562,460151.12345688744,2569750.977083033,E0030975,39.92,37.07,R00413,beyond the 45 m tertiary run
1110592,460340.30825678346,2569879.064613397,E0030413,66.12,13.79,R00401,beyond the 45 m tertiary run
1110594,460325.2022778934,2569842.026445073,E0030414,26.12,25.82,R00402,beyond the 45 m tertiary run
1110595,460317.6492463492,2569823.5072576893,E0030414,46.12,33.49,R00403,beyond the 45 m tertiary run
1110597,460293.10199907847,2569763.3201567465,E0030415,31.12,30.4,R00405,beyond the 45 m tertiary run
1110639,461015.7537427829,2569726.107419043,E0033676,14.78,5.42,R00451,beyond the 45 m tertiary run
1110688,460535.9878683509,2569688.3181015803,E0030996,25.14,23.44,R00416,beyond the 45 m tertiary run
1110723,460755.51067588973,2569555.7759840433,E0032646,40.46,38.81,R00437,beyond the 45 m tertiary run
