check,can_run,missing
H1,True,
H2,True,
H3,True,
H4,True,
H5,True,
H6,True,
H7,True,
H8,True,
H9,True,
H10,True,
H11,True,
H12,True,
H13,True,
H14,True,
H15,True,
H16,True,
R1,True,
R2,True,
R3,True,
R4,False,external.crossings
G1,True,
G2,True,
G3,True,
