LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0001,200,5.0,3.51,0.539,0.284,,,,,
P-0002,200,5.0,1.35,0.405,0.177,,,,,
P-0003,200,9.468,1.56,0.531,0.163,,,,,
P-0004,200,22.31,1.88,0.758,0.144,,,,,
P-0005,200,5.0,1.99,0.456,0.214,,,,,
P-0006,315,2.7,31.29,0.754,0.58,,,,,
P-0007,315,2.7,31.31,0.754,0.58,,,,,
P-0008,315,2.7,27.36,0.731,0.533,,,,,
P-0009,200,5.0,2.09,0.463,0.219,,,,,
P-0010,200,5.0,0.14,0.199,0.062,,,,,
P-0011,200,5.0,0.11,0.181,0.055,,,,,
P-0012,200,30.26,0.14,0.366,0.041,,,,,
P-0013,200,16.448,1.52,0.639,0.141,,,,,
P-0014,200,5.0,1.74,0.438,0.2,,,,,
P-0015,200,5.0,2.09,0.463,0.219,,,,,
P-0016,200,5.0,2.62,0.495,0.245,,,,,
P-0017,200,5.0,0.5,0.297,0.11,,,,,
P-0018,200,5.0,0.75,0.338,0.133,,,,,
P-0019,200,5.0,6.45,0.64,0.391,,,,,
P-0020,200,8.679,6.53,0.786,0.339,,,,,
P-0021,200,5.0,0.6,0.316,0.121,,,,,
P-0022,200,5.0,0.82,0.347,0.139,,,,,
P-0023,200,5.0,0.99,0.369,0.153,,,,,
P-0024,200,5.0,1.1,0.381,0.16,,,,,
P-0025,200,5.0,0.04,0.125,0.034,,,,,
P-0026,200,5.0,0.14,0.198,0.062,,,,,
P-0027,200,5.0,0.11,0.182,0.055,,,,,
P-0028,200,5.0,0.29,0.249,0.086,,,,,
P-0029,200,5.0,0.32,0.259,0.09,,,,,
P-0030,200,5.0,0.43,0.284,0.103,,,,,
P-0031,200,5.0,0.5,0.298,0.111,,,,,
P-0032,500,1.55,58.76,0.713,0.437,,,,,
P-0033,500,1.55,49.82,0.683,0.398,,,,,
P-0034,500,1.55,49.82,0.683,0.398,,,,,
P-0035,500,1.55,49.86,0.683,0.399,,,,,
P-0036,500,1.55,49.91,0.683,0.399,,,,,
P-0037,200,5.0,0.04,0.124,0.034,,,,,
P-0038,200,6.377,1.63,0.468,0.183,,,,,
P-0039,200,5.0,1.96,0.454,0.212,,,,,
P-0040,200,5.0,3.23,0.526,0.272,,,,,
P-0041,200,5.0,3.23,0.526,0.272,,,,,
P-0042,200,5.0,3.26,0.528,0.274,,,,,
P-0043,200,5.0,2.3,0.477,0.23,,,,,
P-0044,200,5.0,2.94,0.512,0.26,,,,,
P-0045,200,5.0,3.12,0.521,0.268,,,,,
P-0046,200,5.0,3.16,0.523,0.269,,,,,
P-0047,200,12.853,3.19,0.734,0.213,,,,,
P-0048,200,5.0,3.19,0.525,0.271,,,,,
P-0049,200,5.0,0.0,0.026,0.006,,,,,
P-0050,200,5.0,0.04,0.125,0.034,,,,,
P-0051,200,5.0,0.5,0.297,0.11,,,,,
P-0052,200,5.0,0.5,0.297,0.11,,,,,
P-0053,200,5.0,0.5,0.297,0.11,,,,,
P-0054,200,5.0,0.71,0.333,0.131,,,,,
P-0055,200,5.0,1.03,0.374,0.156,,,,,
P-0056,200,5.0,1.1,0.381,0.161,,,,,
P-0057,200,5.0,1.1,0.381,0.161,,,,,
P-0058,200,5.0,0.0,0.027,0.006,,,,,
P-0059,200,29.355,0.21,0.415,0.05,,,,,
P-0060,600,1.25,86.61,0.722,0.44,,,,,
P-0061,600,1.25,86.67,0.723,0.44,,,,,
P-0062,600,1.25,86.67,0.723,0.44,,,,,
P-0063,600,1.265,86.52,0.725,0.438,,,,,
P-0064,600,1.25,86.24,0.722,0.439,,,,,
P-0065,600,1.25,86.24,0.722,0.439,,,,,
P-0066,200,5.0,6.84,0.651,0.403,,,,,
P-0067,200,5.538,7.38,0.69,0.409,,,,,
P-0068,200,5.0,6.74,0.648,0.4,,,,,
P-0069,200,5.0,13.31,0.769,0.596,,,,,
P-0070,200,5.0,0.25,0.239,0.08,,,,,
P-0071,200,15.85,0.36,0.399,0.072,,,,,
P-0072,200,43.568,0.07,0.327,0.028,,,,,
P-0073,200,5.0,0.32,0.258,0.09,,,,,
P-0074,200,5.0,14.56,0.784,0.633,,,,,
P-0075,200,5.0,14.2,0.78,0.622,,,,,
P-0076,200,5.0,8.15,0.682,0.444,,,,,
P-0077,200,5.0,0.82,0.348,0.14,,,,,
P-0078,200,17.199,0.07,0.24,0.034,,,,,
P-0079,200,5.0,0.07,0.158,0.046,,,,,
P-0080,200,5.0,0.25,0.238,0.08,,,,,
P-0081,200,5.0,0.14,0.198,0.062,,,,,
P-0082,200,5.0,5.72,0.62,0.366,,,,,
P-0083,200,5.0,5.72,0.62,0.366,,,,,
P-0084,200,5.0,0.07,0.157,0.046,,,,,
P-0085,200,23.013,0.85,0.598,0.099,,,,,
P-0086,200,53.887,0.18,0.479,0.04,,,,,
P-0087,200,7.228,0.0,0.008,0.002,,,,,
P-0088,200,29.421,0.0,0.045,0.004,,,,,
P-0089,200,5.0,0.07,0.157,0.045,,,,,
P-0090,200,43.526,0.14,0.414,0.038,,,,,
P-0091,200,5.0,0.0,0.025,0.006,,,,,
P-0092,200,5.0,0.0,0.021,0.005,,,,,
P-0093,200,5.0,0.07,0.158,0.046,,,,,
P-0094,200,5.0,0.0,0.028,0.007,,,,,
P-0095,200,5.0,0.0,0.037,0.009,,,,,
P-0096,200,5.0,0.15,0.2,0.063,,,,,
P-0097,200,5.0,0.53,0.304,0.114,,,,,
P-0098,200,5.0,1.11,0.382,0.161,,,,,
P-0099,200,5.0,0.28,0.249,0.085,,,,,
P-0100,200,5.0,0.25,0.238,0.08,,,,,
P-0101,200,8.156,0.25,0.282,0.071,,,,,
P-0102,200,5.0,0.0,0.03,0.007,,,,,
P-0103,200,7.637,0.43,0.329,0.093,,,,,
P-0104,200,8.005,10.27,0.863,0.443,,,,,
P-0105,200,5.0,10.24,0.723,0.507,,,,,
P-0106,200,5.0,0.0,0.024,0.006,,,,,
P-0107,200,5.0,0.0,0.031,0.007,,,,,
