MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0536,Sanitary Pattern Load,0.0198,Fixed
MH-0311,Sanitary Pattern Load,0.2082,Fixed
MH-1467,Sanitary Pattern Load,0.0595,Fixed
MH-1449,Sanitary Pattern Load,0.0099,Fixed
MH-1278,Sanitary Pattern Load,0.0198,Fixed
MH-1214,Sanitary Pattern Load,0.0198,Fixed
MH-1032,Sanitary Pattern Load,0.0099,Fixed
MH-0808,Sanitary Pattern Load,0.0297,Fixed
MH-0602,Sanitary Pattern Load,0.0694,Fixed
MH-0231,Sanitary Pattern Load,0.0099,Fixed
MH-0137,Sanitary Pattern Load,0.0397,Fixed
MH-1563,Sanitary Pattern Load,0.0099,Fixed
MH-1460,Sanitary Pattern Load,0.0198,Fixed
MH-0290,Sanitary Pattern Load,0.0099,Fixed
MH-0194,Sanitary Pattern Load,0.0595,Fixed
MH-0177,Sanitary Pattern Load,0.0099,Fixed
MH-0560,Sanitary Pattern Load,0.0595,Fixed
MH-1035,Sanitary Pattern Load,0.0297,Fixed
MH-1256,Sanitary Pattern Load,0.0297,Fixed
MH-1306,Sanitary Pattern Load,0.0297,Fixed
MH-1361,Sanitary Pattern Load,0.0397,Fixed
MH-1395,Sanitary Pattern Load,0.0099,Fixed
MH-1337,Sanitary Pattern Load,0.0099,Fixed
MH-1378,Sanitary Pattern Load,0.0198,Fixed
MH-1397,Sanitary Pattern Load,0.0198,Fixed
MH-1382,Sanitary Pattern Load,0.0397,Fixed
MH-1418,Sanitary Pattern Load,0.0397,Fixed
MH-1375,Sanitary Pattern Load,0.0297,Fixed
MH-1364,Sanitary Pattern Load,0.0099,Fixed
MH-1332,Sanitary Pattern Load,0.0297,Fixed
MH-0983,Sanitary Pattern Load,0.0198,Fixed
MH-0924,Sanitary Pattern Load,0.0198,Fixed
MH-0889,Sanitary Pattern Load,0.0099,Fixed
MH-1092,Sanitary Pattern Load,0.0198,Fixed
MH-0710,Sanitary Pattern Load,0.0198,Fixed
MH-0800,Sanitary Pattern Load,0.0397,Fixed
MH-0758,Sanitary Pattern Load,0.0099,Fixed
MH-0863,Sanitary Pattern Load,0.0198,Fixed
MH-0736,Sanitary Pattern Load,0.0397,Fixed
MH-0728,Sanitary Pattern Load,0.0198,Fixed
MH-0820,Sanitary Pattern Load,0.0198,Fixed
MH-0853,Sanitary Pattern Load,0.0297,Fixed
MH-0888,Sanitary Pattern Load,0.0099,Fixed
MH-0837,Sanitary Pattern Load,0.0198,Fixed
MH-0849,Sanitary Pattern Load,0.0198,Fixed
MH-0942,Sanitary Pattern Load,0.0099,Fixed
MH-0790,Sanitary Pattern Load,0.0694,Fixed
MH-1016,Sanitary Pattern Load,0.228,Fixed
MH-0603,Sanitary Pattern Load,0.0099,Fixed
MH-0651,Sanitary Pattern Load,0.0496,Fixed
MH-0677,Sanitary Pattern Load,0.0297,Fixed
MH-0320,Sanitary Pattern Load,0.0397,Fixed
MH-0300,Sanitary Pattern Load,0.0198,Fixed
MH-0260,Sanitary Pattern Load,0.0099,Fixed
MH-0233,Sanitary Pattern Load,0.0496,Fixed
MH-0187,Sanitary Pattern Load,0.0198,Fixed
MH-0210,Sanitary Pattern Load,0.0198,Fixed
MH-0572,Sanitary Pattern Load,0.0397,Fixed
MH-0199,Sanitary Pattern Load,0.0496,Fixed
MH-0143,Sanitary Pattern Load,0.0297,Fixed
MH-0117,Sanitary Pattern Load,0.0099,Fixed
MH-0126,Sanitary Pattern Load,0.0397,Fixed
MH-0101,Sanitary Pattern Load,0.0297,Fixed
MH-0081,Sanitary Pattern Load,0.0099,Fixed
MH-0172,Sanitary Pattern Load,0.0297,Fixed
MH-0052,Sanitary Pattern Load,0.0198,Fixed
MH-0043,Sanitary Pattern Load,0.0099,Fixed
MH-0032,Sanitary Pattern Load,0.0694,Fixed
MH-0020,Sanitary Pattern Load,0.0198,Fixed
MH-0034,Sanitary Pattern Load,0.0397,Fixed
MH-1479,Sanitary Pattern Load,0.0198,Fixed
MH-1501,Sanitary Pattern Load,0.0198,Fixed
MH-1532,Sanitary Pattern Load,0.0496,Fixed
MH-1678,Sanitary Pattern Load,0.0099,Fixed
MH-1700,Sanitary Pattern Load,0.0297,Fixed
MH-1688,Sanitary Pattern Load,0.0297,Fixed
MH-1705,Sanitary Pattern Load,0.0297,Fixed
MH-1713,Sanitary Pattern Load,0.0099,Fixed
MH-1721,Sanitary Pattern Load,0.0297,Fixed
MH-1738,Sanitary Pattern Load,0.0297,Fixed
MH-1719,Sanitary Pattern Load,0.0397,Fixed
MH-1695,Sanitary Pattern Load,0.0297,Fixed
MH-1458,Sanitary Pattern Load,0.0099,Fixed
MH-1363,Sanitary Pattern Load,0.0397,Fixed
MH-1405,Sanitary Pattern Load,0.0198,Fixed
MH-1318,Sanitary Pattern Load,0.0694,Fixed
MH-0829,Sanitary Pattern Load,0.0099,Fixed
MH-0765,Sanitary Pattern Load,0.0397,Fixed
MH-1039,Sanitary Pattern Load,0.0198,Fixed
MH-0919,Sanitary Pattern Load,0.0694,Fixed
MH-0831,Sanitary Pattern Load,0.0892,Fixed
MH-0855,Sanitary Pattern Load,0.0099,Fixed
MH-0798,Sanitary Pattern Load,0.0297,Fixed
MH-0756,Sanitary Pattern Load,0.119,Fixed
MH-0668,Sanitary Pattern Load,0.0595,Fixed
MH-0675,Sanitary Pattern Load,0.0297,Fixed
MH-0588,Sanitary Pattern Load,0.0397,Fixed
