QUANTITY,VALUE,UNIT
reaches whose laid gradient would carry the flow in a SMALLER pipe,402.0,-
length of those reaches,10.659233121000002,km
share of the network,0.7155404023787713,%
"worst case, size steps larger than needed",4.0,-
"reaches at the series minimum DN200, where there is no smaller size",52378.0,-
