CROSS_ID,N_REACH,LEN_M,ANGLE_DEG,SQUARE_ENOUGH,CHAMBERS_ON_WADI,MIN_COVER_M,MEETS_1P50,H1A_OK,WHY
X000362,3,66.96,11.8,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000363,1,25.79,75.8,1,2,1.3,0,0,crossing
X000364,1,24.87,0.9,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000365,32,873.68,33.6,0,33,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000366,1,28.76,57.9,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000367,1,28.96,89.9,1,2,2.15,1,0,crossing
X000368,2,42.88,77.6,1,3,1.98,1,0,crossing
X000369,1,25.15,78.1,1,2,1.31,0,0,crossing
X000370,5,64.35,75.0,1,6,1.3,0,0,crossing
X000371,3,78.55,73.2,1,4,1.31,0,0,crossing
X000372,5,125.01,47.4,0,6,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000373,10,281.51,8.9,0,11,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000374,20,503.05,78.6,1,21,1.3,0,0,crossing
X000375,7,199.56,5.9,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000376,4,111.67,28.2,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000377,1,4.47,37.4,0,2,2.66,1,0,runs ALONG the wadi - H1a condition 1 fails
X000378,1,20.61,6.8,0,2,9.57,1,0,runs ALONG the wadi - H1a condition 1 fails
X000379,1,25.81,60.8,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000380,2,33.87,68.2,1,3,1.52,1,0,crossing
X000381,1,22.09,80.9,1,2,2.08,1,0,crossing
X000382,4,70.91,8.6,0,5,5.66,1,0,runs ALONG the wadi - H1a condition 1 fails
X000383,2,32.84,69.6,1,3,1.86,1,0,crossing
X000384,1,21.33,53.9,0,2,6.63,1,0,runs ALONG the wadi - H1a condition 1 fails
X000385,10,265.49,75.7,1,11,1.3,0,0,crossing
X000386,5,131.58,24.3,0,6,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000387,5,142.68,40.1,0,6,2.39,1,0,runs ALONG the wadi - H1a condition 1 fails
X000388,4,110.81,32.5,0,5,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000389,1,25.8,41.7,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000390,4,111.24,74.2,1,5,1.3,0,0,crossing
X000391,1,25.98,41.4,0,2,1.32,0,0,runs ALONG the wadi - H1a condition 1 fails
X000392,5,123.6,17.7,0,6,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000393,1,25.17,21.4,0,2,2.32,1,0,runs ALONG the wadi - H1a condition 1 fails
X000394,2,42.42,88.5,1,3,2.01,1,0,crossing
X000395,1,28.97,4.7,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000396,15,373.71,13.8,0,16,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000397,1,27.56,89.7,1,2,1.31,0,0,crossing
X000398,4,99.56,7.0,0,5,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000399,28,714.1,6.7,0,29,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000400,1,26.6,11.7,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000401,2,48.27,83.6,1,3,2.75,1,0,crossing
X000402,2,52.2,2.2,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000403,9,261.76,43.1,0,10,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000404,2,58.38,6.7,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000405,1,29.91,6.8,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000406,4,119.66,20.9,0,5,2.03,1,0,runs ALONG the wadi - H1a condition 1 fails
X000407,3,89.74,6.8,0,4,1.88,1,0,runs ALONG the wadi - H1a condition 1 fails
X000408,18,538.47,50.2,0,19,1.44,0,0,runs ALONG the wadi - H1a condition 1 fails
X000409,5,149.57,40.3,0,6,3.46,1,0,runs ALONG the wadi - H1a condition 1 fails
X000410,11,300.54,3.6,0,12,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000411,4,108.49,62.4,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000412,7,152.85,3.8,0,8,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000413,1,27.29,65.4,1,2,1.3,0,0,crossing
X000414,1,22.35,65.7,1,2,7.35,1,0,crossing
X000415,2,49.41,31.0,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000416,1,15.59,23.0,0,2,1.9,1,0,runs ALONG the wadi - H1a condition 1 fails
X000417,2,57.76,29.5,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000418,1,28.01,13.4,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000419,2,51.7,29.8,0,3,1.42,0,0,runs ALONG the wadi - H1a condition 1 fails
X000420,2,51.7,89.4,1,3,1.58,1,0,crossing
X000421,2,54.83,45.3,0,3,1.86,1,0,runs ALONG the wadi - H1a condition 1 fails
X000422,15,409.5,64.1,0,16,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000423,2,51.76,25.4,0,3,1.43,0,0,runs ALONG the wadi - H1a condition 1 fails
X000424,1,29.27,21.9,0,2,1.35,0,0,runs ALONG the wadi - H1a condition 1 fails
X000425,5,146.64,50.2,0,6,2.21,1,0,runs ALONG the wadi - H1a condition 1 fails
X000426,1,28.22,11.1,0,2,1.57,1,0,runs ALONG the wadi - H1a condition 1 fails
X000427,1,27.38,79.0,1,2,6.2,1,0,crossing
X000428,1,24.15,30.1,0,2,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000429,2,52.49,40.7,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000430,2,49.97,36.0,0,3,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000431,9,259.43,17.3,0,10,1.93,1,0,runs ALONG the wadi - H1a condition 1 fails
X000432,1,19.62,10.1,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000433,4,104.48,25.7,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000434,3,67.55,11.6,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000435,3,84.55,36.8,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000436,2,59.71,28.8,0,3,5.11,1,0,runs ALONG the wadi - H1a condition 1 fails
X000437,1,29.86,69.3,1,2,5.62,1,0,crossing
X000438,10,290.16,75.9,1,11,5.34,1,0,crossing
X000439,6,153.72,21.6,0,7,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000440,25,643.74,27.2,0,26,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000441,7,163.2,80.4,1,8,1.3,0,0,crossing
X000442,2,53.6,83.0,1,3,1.31,0,0,crossing
X000443,2,55.64,50.7,0,3,1.36,0,0,runs ALONG the wadi - H1a condition 1 fails
X000444,1,26.73,47.7,0,2,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000445,3,77.42,35.5,0,4,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000446,3,79.71,2.3,0,4,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000447,2,55.87,33.6,0,3,2.73,1,0,runs ALONG the wadi - H1a condition 1 fails
X000448,1,29.61,21.7,0,2,2.24,1,0,runs ALONG the wadi - H1a condition 1 fails
X000449,13,365.88,5.1,0,14,1.75,1,0,runs ALONG the wadi - H1a condition 1 fails
X000450,5,93.06,45.6,0,6,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
