CROSS_ID,N_REACH,LEN_M,ANGLE_DEG,SQUARE_ENOUGH,CHAMBERS_ON_WADI,MIN_COVER_M,MEETS_1P50,H1A_OK,WHY
X000122,11,267.9,26.8,0,12,2.75,1,0,runs ALONG the wadi - H1a condition 1 fails
X000123,4,89.05,19.2,0,5,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000124,2,49.4,69.4,1,3,2.58,1,0,crossing
X000125,1,22.69,84.4,1,2,1.3,0,0,crossing
X000126,2,32.9,71.5,1,3,6.47,1,0,crossing
X000127,11,301.84,4.4,0,12,1.31,0,0,runs ALONG the wadi - H1a condition 1 fails
X000128,9,233.65,13.1,0,10,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000129,19,541.44,12.9,0,20,1.5,0,0,runs ALONG the wadi - H1a condition 1 fails
X000130,3,88.65,12.6,0,4,2.62,1,0,runs ALONG the wadi - H1a condition 1 fails
X000131,1,29.55,12.6,0,2,4.41,1,0,runs ALONG the wadi - H1a condition 1 fails
X000132,9,265.95,12.6,0,10,4.39,1,0,runs ALONG the wadi - H1a condition 1 fails
X000133,1,29.83,38.9,0,2,10.55,1,0,runs ALONG the wadi - H1a condition 1 fails
X000134,9,268.07,44.5,0,10,9.68,1,0,runs ALONG the wadi - H1a condition 1 fails
X000135,14,399.09,30.9,0,15,3.9,1,0,runs ALONG the wadi - H1a condition 1 fails
X000136,2,55.56,29.2,0,3,4.7,1,0,runs ALONG the wadi - H1a condition 1 fails
X000137,1,29.0,70.6,1,2,5.36,1,0,crossing
X000138,2,58.0,70.6,1,3,6.32,1,0,crossing
X000139,2,58.0,51.7,0,3,6.07,1,0,runs ALONG the wadi - H1a condition 1 fails
X000140,15,442.62,40.1,0,16,8.51,1,0,runs ALONG the wadi - H1a condition 1 fails
X000141,2,53.29,33.4,0,3,7.73,1,0,runs ALONG the wadi - H1a condition 1 fails
X000142,3,87.85,52.7,0,4,6.71,1,0,runs ALONG the wadi - H1a condition 1 fails
X000143,6,144.8,51.7,0,7,1.84,1,0,runs ALONG the wadi - H1a condition 1 fails
X000144,2,54.6,43.0,0,3,1.75,1,0,runs ALONG the wadi - H1a condition 1 fails
X000145,9,227.02,71.4,1,10,5.85,1,0,crossing
X000146,6,167.38,53.5,0,7,5.17,1,0,runs ALONG the wadi - H1a condition 1 fails
X000147,4,109.94,28.3,0,5,2.16,1,0,runs ALONG the wadi - H1a condition 1 fails
X000148,2,42.08,27.5,0,3,2.49,1,0,runs ALONG the wadi - H1a condition 1 fails
X000149,1,24.21,72.9,1,2,6.2,1,0,crossing
X000150,1,26.11,43.0,0,2,2.11,1,0,runs ALONG the wadi - H1a condition 1 fails
X000151,1,22.59,21.1,0,2,11.2,1,0,runs ALONG the wadi - H1a condition 1 fails
X000152,5,118.01,25.5,0,6,11.94,1,0,runs ALONG the wadi - H1a condition 1 fails
X000153,3,73.4,9.7,0,4,3.42,1,0,runs ALONG the wadi - H1a condition 1 fails
X000154,5,139.3,62.4,0,6,3.51,1,0,runs ALONG the wadi - H1a condition 1 fails
X000155,7,180.06,1.2,0,8,4.01,1,0,runs ALONG the wadi - H1a condition 1 fails
X000156,26,704.27,8.5,0,27,1.3,0,0,runs ALONG the wadi - H1a condition 1 fails
X000157,19,520.23,69.2,1,20,6.0,1,0,crossing
X000158,1,26.26,75.1,1,2,6.98,1,0,crossing
X000159,26,737.04,52.9,0,27,9.21,1,0,runs ALONG the wadi - H1a condition 1 fails
X000160,13,338.29,81.3,1,14,2.13,1,0,crossing
X000161,4,84.71,74.0,1,5,1.7,1,0,crossing
X000162,3,88.31,70.8,1,4,8.47,1,0,crossing
X000163,5,133.84,38.4,0,6,3.11,1,0,runs ALONG the wadi - H1a condition 1 fails
X000164,4,113.04,39.4,0,5,6.57,1,0,runs ALONG the wadi - H1a condition 1 fails
X000165,1,29.1,1.0,0,2,9.71,1,0,runs ALONG the wadi - H1a condition 1 fails
X000166,6,174.6,1.0,0,7,11.1,1,0,runs ALONG the wadi - H1a condition 1 fails
X000167,1,29.02,28.3,0,2,5.82,1,0,runs ALONG the wadi - H1a condition 1 fails
