QUANTITY,VALUE,UNIT,BUILT,BAND
"cover to crown, median (length-weighted)",2.361056050000002,m,1.72,1.34 - 2.07
"cover to crown, 90th percentile",7.674794830499479,m,4.38,2.82 - 4.48
"cover to crown, 99th percentile",11.364475952265309,m,,-
deepest cover on any reach,19.091851443453322,m,8.19,<= 12  G203-p33
deepest EXCAVATION at any chamber,19.77843962712518,m,,<= 12  G203-p33
length below the 1.30 m minimum cover,0.0,km,22.68,0  G203-p33 4.6.3
share of length below the 1.30 m minimum cover,0.0,%,35.9,0  G203-p33 4.6.3
chambers past the 12 m cap,325.0,-,0.0,0 unless a sec 5 exit applies
