BAND,N,Q_TOTAL_LS,N_PROP,ON_UPHILL
under 1 L/s,15,4.746911550134605,137.064,13
1 - 5 L/s,22,55.973557536997454,1630.8960000000002,20
5 - 20 L/s,29,310.7755371182082,11526.020000000002,25
20 - 100 L/s,16,792.1001965720002,36713.18,11
over 100 L/s,1,111.49692006599668,5431.836000000007,1
