EXIT,N,KM,MAX_COVER_M,MEDIAN_COVER_M,MAX_DROP_M,CEILING_M
outfall_1000m,731,18.66422552179875,19.235807112734335,13.786904984765442,8.388999859687942,20.0
recovers_500m,145,3.77203634,19.77843962712518,12.650038628593517,4.232898853921654,20.0
DEEPEST SINGLE CHAMBER: N0031347 at 453649 E 2570142 N,1,0.028789541000000043,19.77843962712518,19.77843962712518,0.0,20.0
