MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-1647,Sanitary Pattern Load,0.0238,Fixed
MH-1613,Sanitary Pattern Load,0.0238,Fixed
MH-1494,Sanitary Pattern Load,0.0595,Fixed
MH-1505,Sanitary Pattern Load,0.0119,Fixed
MH-1485,Sanitary Pattern Load,0.0238,Fixed
MH-1427,Sanitary Pattern Load,0.0476,Fixed
MH-1400,Sanitary Pattern Load,0.0357,Fixed
MH-1472,Sanitary Pattern Load,0.0357,Fixed
MH-1484,Sanitary Pattern Load,0.0476,Fixed
MH-1543,Sanitary Pattern Load,0.0119,Fixed
MH-1462,Sanitary Pattern Load,0.0357,Fixed
MH-1498,Sanitary Pattern Load,0.0476,Fixed
MH-1459,Sanitary Pattern Load,0.0714,Fixed
MH-1527,Sanitary Pattern Load,0.0476,Fixed
MH-1510,Sanitary Pattern Load,0.0476,Fixed
MH-1473,Sanitary Pattern Load,0.1071,Fixed
MH-1496,Sanitary Pattern Load,0.0119,Fixed
MH-1524,Sanitary Pattern Load,0.0119,Fixed
MH-1508,Sanitary Pattern Load,0.0119,Fixed
MH-1604,Sanitary Pattern Load,0.0119,Fixed
MH-1572,Sanitary Pattern Load,0.0238,Fixed
MH-1558,Sanitary Pattern Load,0.0238,Fixed
MH-1551,Sanitary Pattern Load,0.0119,Fixed
MH-1531,Sanitary Pattern Load,0.0119,Fixed
MH-1607,Sanitary Pattern Load,0.0238,Fixed
MH-1591,Sanitary Pattern Load,0.0119,Fixed
MH-1645,Sanitary Pattern Load,0.0357,Fixed
MH-1497,Sanitary Pattern Load,0.0119,Fixed
MH-1492,Sanitary Pattern Load,0.0952,Fixed
MH-1506,Sanitary Pattern Load,0.0119,Fixed
MH-1500,Sanitary Pattern Load,0.0357,Fixed
MH-1522,Sanitary Pattern Load,0.0119,Fixed
MH-1439,Sanitary Pattern Load,0.0238,Fixed
MH-1520,Sanitary Pattern Load,0.0238,Fixed
MH-1535,Sanitary Pattern Load,0.0238,Fixed
MH-1595,Sanitary Pattern Load,0.0476,Fixed
MH-1515,Sanitary Pattern Load,0.0238,Fixed
MH-1631,Sanitary Pattern Load,0.0595,Fixed
MH-1529,Sanitary Pattern Load,0.0119,Fixed
MH-1563,Sanitary Pattern Load,0.0238,Fixed
MH-1491,Sanitary Pattern Load,0.0238,Fixed
MH-1454,Sanitary Pattern Load,0.0238,Fixed
MH-1525,Sanitary Pattern Load,0.0238,Fixed
MH-1486,Sanitary Pattern Load,0.0357,Fixed
MH-1431,Sanitary Pattern Load,0.0476,Fixed
MH-1446,Sanitary Pattern Load,0.0119,Fixed
MH-1474,Sanitary Pattern Load,0.0476,Fixed
MH-1541,Sanitary Pattern Load,0.0119,Fixed
MH-1596,Sanitary Pattern Load,0.0119,Fixed
MH-1546,Sanitary Pattern Load,0.0357,Fixed
MH-1581,Sanitary Pattern Load,0.0119,Fixed
MH-1519,Sanitary Pattern Load,0.0833,Fixed
MH-1650,Sanitary Pattern Load,0.0357,Fixed
MH-1365,Sanitary Pattern Load,0.0357,Fixed
MH-1392,Sanitary Pattern Load,0.0238,Fixed
MH-1389,Sanitary Pattern Load,0.0595,Fixed
MH-1445,Sanitary Pattern Load,0.0238,Fixed
MH-1416,Sanitary Pattern Load,0.0119,Fixed
MH-1303,Sanitary Pattern Load,0.0119,Fixed
MH-1404,Sanitary Pattern Load,0.0238,Fixed
MH-1372,Sanitary Pattern Load,0.0119,Fixed
MH-1437,Sanitary Pattern Load,0.0476,Fixed
MH-1374,Sanitary Pattern Load,0.0714,Fixed
MH-1349,Sanitary Pattern Load,0.0238,Fixed
MH-1318,Sanitary Pattern Load,0.0119,Fixed
