LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0001,200,5.13,0.0,0.03,0.007,,,,,
P-0002,200,5.0,0.0,0.04,0.009,,,,,
P-0003,200,5.0,0.0,0.047,0.011,,,,,
P-0004,200,5.0,0.0,0.052,0.012,,,,,
P-0005,200,5.0,0.0,0.056,0.013,,,,,
P-0006,200,5.0,0.0,0.06,0.014,,,,,
P-0007,200,5.0,0.01,0.063,0.015,,,,,
P-0008,200,5.0,0.01,0.066,0.016,,,,,
P-0009,600,1.25,82.95,0.714,0.43,,,,,
P-0010,600,1.25,82.95,0.714,0.43,,,,,
P-0011,600,1.25,82.95,0.714,0.43,,,,,
P-0012,200,5.0,0.51,0.299,0.111,,,,,
P-0013,200,5.0,0.51,0.299,0.111,,,,,
P-0014,200,5.0,0.51,0.299,0.111,,,,,
P-0015,200,5.0,0.51,0.299,0.111,,,,,
P-0016,200,5.0,0.26,0.241,0.081,,,,,
P-0017,200,5.0,0.26,0.241,0.081,,,,,
P-0018,200,5.0,0.25,0.24,0.081,,,,,
P-0019,200,5.0,0.25,0.24,0.081,,,,,
P-0020,200,5.0,0.26,0.24,0.081,,,,,
P-0021,600,1.383,82.95,0.742,0.418,,,,,
P-0022,200,5.0,0.26,0.241,0.081,,,,,
P-0023,200,5.0,0.04,0.132,0.036,,,,,
P-0024,200,5.0,0.04,0.132,0.036,,,,,
P-0025,200,5.0,0.09,0.167,0.049,,,,,
P-0026,200,5.0,1.26,0.397,0.171,,,,,
P-0027,200,5.0,1.55,0.423,0.189,,,,,
P-0028,200,5.0,1.76,0.44,0.201,,,,,
P-0029,200,5.0,1.09,0.38,0.16,,,,,
P-0030,200,5.0,1.09,0.38,0.16,,,,,
P-0031,200,5.0,0.59,0.313,0.119,,,,,
P-0032,200,5.0,0.59,0.313,0.119,,,,,
P-0033,200,5.0,0.59,0.314,0.119,,,,,
P-0034,200,5.0,0.59,0.314,0.119,,,,,
P-0035,200,5.0,0.13,0.191,0.059,,,,,
P-0036,200,5.0,0.04,0.132,0.036,,,,,
P-0037,200,5.0,0.04,0.133,0.037,,,,,
P-0038,200,5.0,0.13,0.191,0.059,,,,,
