fid,tariff,x,y,lon,lat,plot_name,plot_class,moh_class,build_st
22216,CRT Seasonal,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22217,CRT Time of Use,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22218,CRT Seasonal,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22219,CRT Time of Use,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22220,CRT Seasonal,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22221,CRT Seasonal,56.4,23.3,56.368993,23.283684,CRT Time of Use,Agricultural,4,EXisting
22260,CRT Seasonal,56.4,23.3,56.383154,23.275625,CRT Seasonal,Residential,0,EXisting
22365,CRT Time of Use,56.5,23.2,56.49229,23.220108,Additional Account Tariff,Residential,0,EXisting
22436,CRT Seasonal,56.5,23.2,56.517806,23.21539,Additional Account Tariff,Residential,1,EXisting
22635,CRT Time of Use,56.5,23.2,56.513383,23.205234,Commercial,Residential,5,EXisting
22668,CRT Seasonal,56.5,23.2,56.511162,23.208949,CRT Seasonal,Residential,0,EXisting
22718,CRT Time of Use,56.5,23.2,56.493697,23.216387,Commercial,Residential,0,EXisting
22719,CRT Time of Use,56.5,23.2,56.493697,23.216387,Commercial,Residential,0,EXisting
22736,CRT Seasonal,56.5,23.2,56.469071,23.216793,Commercial,Residential-Commercial,2,EXisting
22737,CRT Seasonal,56.5,23.2,56.469071,23.216793,Commercial,Residential-Commercial,2,EXisting
22738,CRT Seasonal,56.5,23.2,56.469071,23.216793,Commercial,Residential-Commercial,2,EXisting
22740,CRT Seasonal,56.5,23.2,56.469071,23.216793,Commercial,Residential-Commercial,2,EXisting
22895,CRT Seasonal,56.5,23.2,56.50009,23.23742,CRT Seasonal,Residential,0,EXisting
22903,CRT Seasonal,56.4,23.3,56.377092,23.275099,CRT Seasonal,Residential,0,EXisting
22977,CRT Seasonal,56.5,23.2,56.472937,23.162809,CRT Seasonal,Agricultural,4,EXisting
22981,CRT Seasonal,56.5,23.2,56.495433,23.227712,CRT Seasonal,Residential,5,EXisting
22982,CRT Seasonal,56.8,23.3,56.753223,23.255133,CRT Seasonal,Agricultural,4,EXisting
22995,CRT Time of Use,56.5,23.2,56.466715,23.198915,Commercial,Residential,1,EXisting
