MH_LABEL,LOADTYPE,BASEFLOW,PATTERN
MH-0096,Sanitary Pattern Load,0.0198,Fixed
MH-0019,Sanitary Pattern Load,0.0694,Fixed
MH-1061,Sanitary Pattern Load,0.0595,Fixed
MH-1120,Sanitary Pattern Load,0.0099,Fixed
MH-1775,Sanitary Pattern Load,0.0198,Fixed
MH-1808,Sanitary Pattern Load,0.0297,Fixed
MH-0677,Sanitary Pattern Load,0.0991,Fixed
MH-0623,Sanitary Pattern Load,0.0198,Fixed
MH-0345,Sanitary Pattern Load,0.0496,Fixed
MH-0959,Sanitary Pattern Load,0.0099,Fixed
MH-0732,Sanitary Pattern Load,0.0198,Fixed
MH-0013,Sanitary Pattern Load,0.0099,Fixed
MH-0138,Sanitary Pattern Load,0.0595,Fixed
MH-0235,Sanitary Pattern Load,0.0099,Fixed
MH-1871,Sanitary Pattern Load,0.0793,Fixed
MH-1641,Sanitary Pattern Load,0.109,Fixed
MH-1499,Sanitary Pattern Load,0.0198,Fixed
MH-1414,Sanitary Pattern Load,0.0198,Fixed
MH-1406,Sanitary Pattern Load,0.0099,Fixed
MH-1518,Sanitary Pattern Load,0.0297,Fixed
MH-0624,Sanitary Pattern Load,0.0198,Fixed
MH-0610,Sanitary Pattern Load,0.0397,Fixed
MH-0581,Sanitary Pattern Load,0.0099,Fixed
MH-0527,Sanitary Pattern Load,0.0297,Fixed
MH-1644,Sanitary Pattern Load,0.0198,Fixed
MH-1526,Sanitary Pattern Load,0.0198,Fixed
MH-1713,Sanitary Pattern Load,0.0198,Fixed
MH-1671,Sanitary Pattern Load,0.0198,Fixed
MH-1039,Sanitary Pattern Load,0.0099,Fixed
MH-1002,Sanitary Pattern Load,0.0198,Fixed
MH-1809,Sanitary Pattern Load,0.0297,Fixed
MH-1773,Sanitary Pattern Load,0.0099,Fixed
MH-1717,Sanitary Pattern Load,0.0099,Fixed
MH-1755,Sanitary Pattern Load,0.0397,Fixed
MH-1763,Sanitary Pattern Load,0.0198,Fixed
MH-1433,Sanitary Pattern Load,0.0198,Fixed
MH-1447,Sanitary Pattern Load,0.0297,Fixed
MH-1450,Sanitary Pattern Load,0.0198,Fixed
MH-1509,Sanitary Pattern Load,0.0198,Fixed
MH-1456,Sanitary Pattern Load,0.0297,Fixed
MH-1366,Sanitary Pattern Load,0.0099,Fixed
MH-0957,Sanitary Pattern Load,0.0991,Fixed
MH-0320,Sanitary Pattern Load,0.228,Fixed
MH-1075,Sanitary Pattern Load,0.0397,Fixed
MH-0993,Sanitary Pattern Load,0.0496,Fixed
MH-1197,Sanitary Pattern Load,0.0297,Fixed
MH-1016,Sanitary Pattern Load,0.0099,Fixed
MH-0701,Sanitary Pattern Load,0.0099,Fixed
MH-0681,Sanitary Pattern Load,0.0099,Fixed
MH-0750,Sanitary Pattern Load,0.0099,Fixed
MH-0878,Sanitary Pattern Load,0.0397,Fixed
