LABEL,DIA_MM,SLOPE_PMIL,OUR_Q_LS,OUR_V_MS,OUR_DOD,SG_Q_LS,SG_V_MS,SG_DOD,DQ_PCT,DV_PCT
P-0001,200,5.0,2.16,0.468,0.223,,,,,
P-0002,200,5.0,1.42,0.412,0.182,,,,,
P-0003,200,5.0,2.55,0.491,0.242,,,,,
P-0004,200,5.0,2.59,0.493,0.244,,,,,
P-0005,200,5.0,2.7,0.499,0.249,,,,,
P-0006,200,5.0,2.73,0.501,0.25,,,,,
P-0007,200,5.0,0.46,0.291,0.107,,,,,
P-0008,200,9.846,0.78,0.461,0.112,,,,,
P-0009,200,5.0,1.63,0.429,0.194,,,,,
P-0010,200,5.0,1.67,0.433,0.196,,,,,
P-0011,200,5.0,3.86,0.555,0.298,,,,,
P-0012,200,5.0,3.92,0.557,0.301,,,,,
P-0013,200,5.0,0.96,0.365,0.15,,,,,
P-0014,200,5.0,0.04,0.125,0.034,,,,,
P-0015,200,5.0,0.14,0.198,0.062,,,,,
P-0016,200,5.0,0.11,0.182,0.055,,,,,
P-0017,200,5.0,0.29,0.249,0.086,,,,,
P-0018,200,5.0,0.32,0.259,0.09,,,,,
P-0019,200,5.0,0.43,0.284,0.103,,,,,
P-0020,200,5.0,0.5,0.298,0.111,,,,,
P-0021,315,2.7,25.67,0.72,0.513,,,,,
P-0022,250,7.058,20.18,0.975,0.481,,,,,
P-0023,250,3.75,20.18,0.766,0.584,,,,,
P-0024,250,3.75,20.23,0.766,0.585,,,,,
P-0025,250,3.776,20.28,0.769,0.584,,,,,
P-0026,200,5.0,1.14,0.385,0.163,,,,,
P-0027,200,5.0,1.14,0.385,0.163,,,,,
P-0028,200,5.0,1.17,0.389,0.166,,,,,
P-0029,200,5.0,5.46,0.612,0.357,,,,,
P-0030,200,5.0,5.46,0.612,0.357,,,,,
P-0031,200,5.0,5.46,0.612,0.357,,,,,
P-0032,200,5.0,5.46,0.612,0.357,,,,,
P-0033,200,5.0,5.49,0.613,0.358,,,,,
P-0034,200,5.0,9.64,0.712,0.489,,,,,
P-0035,200,5.0,3.08,0.519,0.266,,,,,
P-0036,200,5.0,0.0,0.051,0.012,,,,,
P-0037,200,5.0,1.29,0.4,0.173,,,,,
P-0038,200,5.0,1.6,0.428,0.193,,,,,
P-0039,200,5.0,1.68,0.433,0.197,,,,,
P-0040,200,5.0,1.68,0.433,0.197,,,,,
P-0041,200,5.0,2.41,0.483,0.235,,,,,
P-0042,200,5.0,2.2,0.47,0.225,,,,,
P-0043,200,5.0,2.41,0.483,0.235,,,,,
P-0044,200,5.0,2.41,0.483,0.235,,,,,
P-0045,315,2.7,29.45,0.743,0.558,,,,,
P-0046,315,2.7,29.52,0.744,0.559,,,,,
P-0047,315,2.7,29.52,0.744,0.559,,,,,
P-0048,315,2.7,29.35,0.743,0.557,,,,,
P-0049,315,2.7,29.02,0.741,0.553,,,,,
P-0050,315,2.7,29.02,0.741,0.553,,,,,
P-0051,200,5.0,4.56,0.582,0.325,,,,,
P-0052,200,5.0,4.35,0.574,0.317,,,,,
P-0053,200,5.0,0.07,0.158,0.046,,,,,
P-0054,200,5.0,3.92,0.557,0.301,,,,,
P-0055,200,53.867,0.11,0.404,0.032,,,,,
P-0056,200,5.0,0.0,0.029,0.007,,,,,
P-0057,200,43.57,0.28,0.522,0.052,,,,,
P-0058,200,5.0,0.32,0.258,0.09,,,,,
P-0059,200,5.0,2.74,0.502,0.251,,,,,
P-0060,200,5.0,0.75,0.338,0.134,,,,,
P-0061,200,7.115,0.14,0.198,0.062,,,,,
P-0062,200,5.0,3.77,0.551,0.295,,,,,
P-0063,200,17.207,0.07,0.24,0.034,,,,,
P-0064,200,5.0,0.07,0.158,0.046,,,,,
P-0065,200,5.0,0.18,0.213,0.069,,,,,
P-0066,200,11.891,0.28,0.249,0.085,,,,,
P-0067,200,5.0,0.4,0.276,0.099,,,,,
P-0068,200,5.0,0.07,0.157,0.046,,,,,
P-0069,200,24.948,0.57,0.541,0.08,,,,,
P-0070,200,62.866,0.53,0.756,0.061,,,,,
P-0071,200,20.796,0.07,0.255,0.033,,,,,
P-0072,200,29.401,0.07,0.287,0.03,,,,,
P-0073,200,11.891,0.36,0.394,0.072,,,,,
P-0074,200,62.866,0.5,0.639,0.066,,,,,
P-0075,200,7.459,0.0,0.027,0.005,,,,,
P-0076,200,17.927,0.0,0.035,0.004,,,,,
P-0077,200,5.0,0.07,0.158,0.046,,,,,
P-0078,200,5.0,0.0,0.028,0.007,,,,,
P-0079,200,5.0,0.0,0.037,0.009,,,,,
P-0080,200,5.01,9.14,0.703,0.474,,,,,
P-0081,200,12.59,0.07,0.246,0.034,,,,,
P-0082,200,7.637,1.42,0.478,0.164,,,,,
P-0083,200,55.65,0.07,0.337,0.027,,,,,
P-0084,200,55.65,0.07,0.352,0.027,,,,,
P-0085,200,5.0,0.32,0.258,0.09,,,,,
P-0086,200,13.198,0.0,0.038,0.005,,,,,
P-0087,200,5.0,1.56,0.424,0.19,,,,,
P-0088,200,5.0,1.28,0.399,0.172,,,,,
P-0089,200,5.0,1.31,0.402,0.175,,,,,
P-0090,200,5.0,0.0,0.024,0.006,,,,,
P-0091,200,5.0,0.0,0.031,0.007,,,,,
P-0092,200,5.0,0.0,0.043,0.01,,,,,
P-0093,200,5.0,2.16,0.468,0.223,,,,,
